===2023-07-27 08:32:27===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 1.7323 | Train Acc: 0.6844
 Site-MNIST                         | Train Loss: 1.7321 | Train Acc: 0.6479
 Site-MNIST                         | Train Loss: 1.7859 | Train Acc: 0.6075
 Site-MNIST                         | Train Loss: 1.7480 | Train Acc: 0.6360
 Site-MNIST                         | Train Loss: 1.7470 | Train Acc: 0.6480
 Site-USPS                          | Train Loss: 1.6739 | Train Acc: 0.6331
 Site-USPS                          | Train Loss: 1.6777 | Train Acc: 0.6741
 Site-USPS                          | Train Loss: 1.6530 | Train Acc: 0.6976
 Site-SynthDigits                   | Train Loss: 2.1303 | Train Acc: 0.2973
 Site-SynthDigits                   | Train Loss: 2.1023 | Train Acc: 0.3548
 Site-MNIST_M                       | Train Loss: 2.2002 | Train Acc: 0.2812
 Site-MNIST_M                       | Train Loss: 2.2143 | Train Acc: 0.2708
 Site-SVHN                          | Train Loss: 2.2347 | Train Acc: 0.2624
Average Train Accuracy: 0.5150
 Site-MNIST                         | Val  Loss: 1.7926 | Val  Acc: 0.5893
 Site-MNIST                         | Val  Loss: 1.8093 | Val  Acc: 0.6190
 Site-MNIST                         | Val  Loss: 1.7387 | Val  Acc: 0.6508
 Site-MNIST                         | Val  Loss: 1.7715 | Val  Acc: 0.6211
 Site-MNIST                         | Val  Loss: 1.7628 | Val  Acc: 0.6281
 Site-USPS                          | Val  Loss: 1.7109 | Val  Acc: 0.7019
 Site-USPS                          | Val  Loss: 1.7180 | Val  Acc: 0.6218
 Site-USPS                          | Val  Loss: 1.6721 | Val  Acc: 0.6239
 Site-SynthDigits                   | Val  Loss: 2.1940 | Val  Acc: 0.3258
 Site-SynthDigits                   | Val  Loss: 2.1289 | Val  Acc: 0.2727
