===2023-06-16 21:47:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[14,20,30,44,65,96,142,208,307,451,31,46,68,101,149,219,322,51,74,110,162,239,64,94,139,119,175,200,136,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Best site-East_Asian-6              | Epoch:0 | Val Acc: 0.1522
 Best site-Indian_utk-0              | Epoch:0 | Val Acc: 0.5714
 Best site-Indian_utk-1              | Epoch:0 | Val Acc: 0.2000
 Best site-Indian_utk-2              | Epoch:0 | Val Acc: 0.2667
 Best site-Indian_utk-3              | Epoch:0 | Val Acc: 0.3913
 Best site-Indian_utk-4              | Epoch:0 | Val Acc: 0.2353
 Best site-Black_utk-0               | Epoch:0 | Val Acc: 0.3333
 Best site-Black_utk-1               | Epoch:0 | Val Acc: 0.3077
 Best site-Black_utk-2               | Epoch:0 | Val Acc: 0.1053
 Best site-Southeast_Asian-0         | Epoch:0 | Val Acc: 0.1765
 Best site-Southeast_Asian-1         | Epoch:0 | Val Acc: 0.2400
 Best site-Asian_ffhq-0              | Epoch:0 | Val Acc: 0.3929
 Best site-Latino_Hispanic_ffhq-0    | Epoch:0 | Val Acc: 0.2632
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.47_1_random_dis_cluster_-1_split/fedavg...
============ Train epoch 1 ============
 Site-White_utk-0                   | Train Loss: 2.2191 | Train Acc: 0.0000
 Site-White_utk-1                   | Train Loss: 2.1781 | Train Acc: 0.2500
 Site-White_utk-2                   | Train Loss: 2.1933 | Train Acc: 0.1000
 Site-White_utk-3                   | Train Loss: 2.1920 | Train Acc: 0.1364
 Site-White_utk-4                   | Train Loss: 2.2651 | Train Acc: 0.1077
 Site-White_utk-5                   | Train Loss: 2.1940 | Train Acc: 0.1458
 Site-White_utk-6                   | Train Loss: 2.1997 | Train Acc: 0.1127
 Site-White_utk-7                   | Train Loss: 2.1928 | Train Acc: 0.0913
 Site-White_utk-8                   | Train Loss: 2.1908 | Train Acc: 0.1303
 Site-White_utk-9                   | Train Loss: 2.1948 | Train Acc: 0.1308
 Site-East_Asian-0                  | Train Loss: 2.1226 | Train Acc: 0.3871
 Site-East_Asian-1                  | Train Loss: 2.1397 | Train Acc: 0.2826
 Site-East_Asian-2                  | Train Loss: 2.1056 | Train Acc: 0.3235
 Site-East_Asian-3                  | Train Loss: 2.1384 | Train Acc: 0.2871
 Site-East_Asian-4                  | Train Loss: 2.1516 | Train Acc: 0.2886
 Site-East_Asian-5                  | Train Loss: 2.1362 | Train Acc: 0.3059
 Site-East_Asian-6                  | Train Loss: 2.1167 | Train Acc: 0.3354
 Site-Indian_utk-0                  | Train Loss: 2.1458 | Train Acc: 0.2549
 Site-Indian_utk-1                  | Train Loss: 2.1309 | Train Acc: 0.3378
 Site-Indian_utk-2                  | Train Loss: 2.1164 | Train Acc: 0.3545
 Site-Indian_utk-3                  | Train Loss: 2.1180 | Train Acc: 0.3704
 Site-Indian_utk-4                  | Train Loss: 2.1120 | Train Acc: 0.3891
 Site-Black_utk-0                   | Train Loss: 2.1520 | Train Acc: 0.2031
 Site-Black_utk-1                   | Train Loss: 2.1677 | Train Acc: 0.1489
 Site-Black_utk-2                   | Train Loss: 2.1480 | Train Acc: 0.2374
 Site-Southeast_Asian-0             | Train Loss: 2.1483 | Train Acc: 0.2269
 Site-Southeast_Asian-1             | Train Loss: 2.1506 | Train Acc: 0.2743
 Site-Asian_ffhq-0                  | Train Loss: 2.1165 | Train Acc: 0.4200
 Site-Latino_Hispanic_ffhq-0        | Train Loss: 2.1092 | Train Acc: 0.3529
Average Train Accuracy: 0.2409
 Site-White_utk-0                   | Val  Loss: 2.1210 | Val  Acc: 0.5000
 Site-White_utk-1                   | Val  Loss: 2.1097 | Val  Acc: 0.5000
 Site-White_utk-2                   | Val  Loss: 2.1840 | Val  Acc: 0.0000
 Site-White_utk-3                   | Val  Loss: 2.1345 | Val  Acc: 0.3333
 Site-White_utk-4                   | Val  Loss: 2.1737 | Val  Acc: 0.2222
 Site-White_utk-5                   | Val  Loss: 2.1881 | Val  Acc: 0.1538
 Site-White_utk-6                   | Val  Loss: 2.1990 | Val  Acc: 0.0500
 Site-White_utk-7                   | Val  Loss: 2.1784 | Val  Acc: 0.0690
 Site-White_utk-8                   | Val  Loss: 2.1611 | Val  Acc: 0.1395
 Site-White_utk-9                   | Val  Loss: 2.1761 | Val  Acc: 0.1562
 Site-East_Asian-0                  | Val  Loss: 2.1510 | Val  Acc: 0.5000
 Site-East_Asian-1                  | Val  Loss: 2.1517 | Val  Acc: 0.3333
 Site-East_Asian-2                  | Val  Loss: 2.1240 | Val  Acc: 0.5556
 Site-East_Asian-3                  | Val  Loss: 2.1420 | Val  Acc: 0.2143
 Site-East_Asian-4                  | Val  Loss: 2.1171 | Val  Acc: 0.2857
 Site-East_Asian-5                  | Val  Loss: 2.0837 | Val  Acc: 0.3871
 Site-East_Asian-6                  | Val  Loss: 2.1223 | Val  Acc: 0.3043
 Site-Indian_utk-0                  | Val  Loss: 2.0923 | Val  Acc: 0.4286
 Site-Indian_utk-1                  | Val  Loss: 2.1216 | Val  Acc: 0.3000
 Site-Indian_utk-2                  | Val  Loss: 2.1236 | Val  Acc: 0.3333
 Site-Indian_utk-3                  | Val  Loss: 2.1169 | Val  Acc: 0.3043
 Site-Indian_utk-4                  | Val  Loss: 2.1346 | Val  Acc: 0.3235
 Site-Black_utk-0                   | Val  Loss: 2.0910 | Val  Acc: 0.5556
 Site-Black_utk-1                   | Val  Loss: 2.1033 | Val  Acc: 0.5385
 Site-Black_utk-2                   | Val  Loss: 2.1657 | Val  Acc: 0.1579
 Site-Southeast_Asian-0             | Val  Loss: 2.1516 | Val  Acc: 0.2941
 Site-Southeast_Asian-1             | Val  Loss: 2.1420 | Val  Acc: 0.3200
 Site-Asian_ffhq-0                  | Val  Loss: 2.0914 | Val  Acc: 0.4286
 Site-Latino_Hispanic_ffhq-0        | Val  Loss: 2.1126 | Val  Acc: 0.2632
Average Valid Accuracy: 0.3087
 Best site-White_utk-0               | Epoch:1 | Val Acc: 0.5000
 Best site-White_utk-1               | Epoch:1 | Val Acc: 0.5000
 Best site-White_utk-2               | Epoch:1 | Val Acc: 0.0000
 Best site-White_utk-3               | Epoch:1 | Val Acc: 0.3333
 Best site-White_utk-4               | Epoch:1 | Val Acc: 0.2222
 Best site-White_utk-5               | Epoch:1 | Val Acc: 0.1538
 Best site-White_utk-6               | Epoch:1 | Val Acc: 0.0500
 Best site-White_utk-7               | Epoch:1 | Val Acc: 0.0690
 Best site-White_utk-8               | Epoch:1 | Val Acc: 0.1395
 Best site-White_utk-9               | Epoch:1 | Val Acc: 0.1562
 Best site-East_Asian-0              | Epoch:1 | Val Acc: 0.5000
 Best site-East_Asian-1              | Epoch:1 | Val Acc: 0.3333
 Best site-East_Asian-2              | Epoch:1 | Val Acc: 0.5556
 Best site-East_Asian-3              | Epoch:1 | Val Acc: 0.2143
 Best site-East_Asian-4              | Epoch:1 | Val Acc: 0.2857
 Best site-East_Asian-5              | Epoch:1 | Val Acc: 0.3871
 Best site-East_Asian-6              | Epoch:1 | Val Acc: 0.3043
 Best site-Indian_utk-0              | Epoch:1 | Val Acc: 0.4286
 Best site-Indian_utk-1              | Epoch:1 | Val Acc: 0.3000
 Best site-Indian_utk-2              | Epoch:1 | Val Acc: 0.3333
 Best site-Indian_utk-3              | Epoch:1 | Val Acc: 0.3043
 Best site-Indian_utk-4              | Epoch:1 | Val Acc: 0.3235
 Best site-Black_utk-0               | Epoch:1 | Val Acc: 0.5556
 Best site-Black_utk-1               | Epoch:1 | Val Acc: 0.5385
 Best site-Black_utk-2               | Epoch:1 | Val Acc: 0.1579
 Best site-Southeast_Asian-0         | Epoch:1 | Val Acc: 0.2941
 Best site-Southeast_Asian-1         | Epoch:1 | Val Acc: 0.3200
 Best site-Asian_ffhq-0              | Epoch:1 | Val Acc: 0.4286
 Best site-Latino_Hispanic_ffhq-0    | Epoch:1 | Val Acc: 0.2632
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.47_1_random_dis_cluster_-1_split/fedavg...
============ Train epoch 2 ============
 Site-White_utk-0                   | Train Loss: 2.2000 | Train Acc: 0.0000
 Site-White_utk-1                   | Train Loss: 2.1737 | Train Acc: 0.1000
 Site-White_utk-2                   | Train Loss: 2.1998 | Train Acc: 0.0333
 Site-White_utk-3                   | Train Loss: 2.1849 | Train Acc: 0.1818
 Site-White_utk-4                   | Train Loss: 2.1391 | Train Acc: 0.0923
 Site-White_utk-5                   | Train Loss: 2.1860 | Train Acc: 0.1042
 Site-White_utk-6                   | Train Loss: 2.1787 | Train Acc: 0.1408
 Site-White_utk-7                   | Train Loss: 2.1858 | Train Acc: 0.1154
 Site-White_utk-8                   | Train Loss: 2.1838 | Train Acc: 0.1433
 Site-White_utk-9                   | Train Loss: 2.1843 | Train Acc: 0.1220
 Site-East_Asian-0                  | Train Loss: 2.0952 | Train Acc: 0.3871
 Site-East_Asian-1                  | Train Loss: 2.1233 | Train Acc: 0.3261
 Site-East_Asian-2                  | Train Loss: 2.1734 | Train Acc: 0.2941
 Site-East_Asian-3                  | Train Loss: 2.1130 | Train Acc: 0.3366
 Site-East_Asian-4                  | Train Loss: 2.1207 | Train Acc: 0.3624
 Site-East_Asian-5                  | Train Loss: 2.1103 | Train Acc: 0.3562
 Site-East_Asian-6                  | Train Loss: 2.1043 | Train Acc: 0.3944
 Site-Indian_utk-0                  | Train Loss: 2.1285 | Train Acc: 0.3137
 Site-Indian_utk-1                  | Train Loss: 2.0839 | Train Acc: 0.3514
 Site-Indian_utk-2                  | Train Loss: 2.1002 | Train Acc: 0.3455
 Site-Indian_utk-3                  | Train Loss: 2.0935 | Train Acc: 0.3889
 Site-Indian_utk-4                  | Train Loss: 2.0842 | Train Acc: 0.4059
 Site-Black_utk-0                   | Train Loss: 2.1358 | Train Acc: 0.2500
 Site-Black_utk-1                   | Train Loss: 2.1486 | Train Acc: 0.2021
 Site-Black_utk-2                   | Train Loss: 2.1271 | Train Acc: 0.2590
 Site-Southeast_Asian-0             | Train Loss: 2.1363 | Train Acc: 0.2689
 Site-Southeast_Asian-1             | Train Loss: 2.1394 | Train Acc: 0.3029
 Site-Asian_ffhq-0                  | Train Loss: 2.0824 | Train Acc: 0.5000
 Site-Latino_Hispanic_ffhq-0        | Train Loss: 2.0956 | Train Acc: 0.3603
Average Train Accuracy: 0.2565
 Site-White_utk-0                   | Val  Loss: 2.1273 | Val  Acc: 0.5000
 Site-White_utk-1                   | Val  Loss: 2.2285 | Val  Acc: 0.5000
 Site-White_utk-2                   | Val  Loss: 2.1976 | Val  Acc: 0.0000
 Site-White_utk-3                   | Val  Loss: 2.1168 | Val  Acc: 0.3333
 Site-White_utk-4                   | Val  Loss: 2.1762 | Val  Acc: 0.2222
 Site-White_utk-5                   | Val  Loss: 2.1677 | Val  Acc: 0.0769
 Site-White_utk-6                   | Val  Loss: 2.1781 | Val  Acc: 0.1500
 Site-White_utk-7                   | Val  Loss: 2.1623 | Val  Acc: 0.1034
 Site-White_utk-8                   | Val  Loss: 2.1558 | Val  Acc: 0.1395
 Site-White_utk-9                   | Val  Loss: 2.1806 | Val  Acc: 0.1562
 Site-East_Asian-0                  | Val  Loss: 2.1029 | Val  Acc: 0.5000
 Site-East_Asian-1                  | Val  Loss: 2.1426 | Val  Acc: 0.3333
 Site-East_Asian-2                  | Val  Loss: 2.0839 | Val  Acc: 0.4444
 Site-East_Asian-3                  | Val  Loss: 2.1430 | Val  Acc: 0.2857
 Site-East_Asian-4                  | Val  Loss: 2.1093 | Val  Acc: 0.3810
 Site-East_Asian-5                  | Val  Loss: 2.0581 | Val  Acc: 0.4839
 Site-East_Asian-6                  | Val  Loss: 2.1016 | Val  Acc: 0.3478
 Site-Indian_utk-0                  | Val  Loss: 2.0463 | Val  Acc: 0.5714
 Site-Indian_utk-1                  | Val  Loss: 2.1302 | Val  Acc: 0.3000
 Site-Indian_utk-2                  | Val  Loss: 2.0886 | Val  Acc: 0.4667
 Site-Indian_utk-3                  | Val  Loss: 2.0773 | Val  Acc: 0.3913
 Site-Indian_utk-4                  | Val  Loss: 2.1207 | Val  Acc: 0.2941
 Site-Black_utk-0                   | Val  Loss: 2.0704 | Val  Acc: 0.3333
 Site-Black_utk-1                   | Val  Loss: 2.0851 | Val  Acc: 0.4615
 Site-Black_utk-2                   | Val  Loss: 2.1431 | Val  Acc: 0.1579
 Site-Southeast_Asian-0             | Val  Loss: 2.1362 | Val  Acc: 0.2353
 Site-Southeast_Asian-1             | Val  Loss: 2.1385 | Val  Acc: 0.3200
 Site-Asian_ffhq-0                  | Val  Loss: 2.0754 | Val  Acc: 0.5714
 Site-Latino_Hispanic_ffhq-0        | Val  Loss: 2.0918 | Val  Acc: 0.3158
Average Valid Accuracy: 0.3233
 Best site-White_utk-0               | Epoch:2 | Val Acc: 0.5000
 Best site-White_utk-1               | Epoch:2 | Val Acc: 0.5000
 Best site-White_utk-2               | Epoch:2 | Val Acc: 0.0000
 Best site-White_utk-3               | Epoch:2 | Val Acc: 0.3333
 Best site-White_utk-4               | Epoch:2 | Val Acc: 0.2222
 Best site-White_utk-5               | Epoch:2 | Val Acc: 0.0769
 Best site-White_utk-6               | Epoch:2 | Val Acc: 0.1500
 Best site-White_utk-7               | Epoch:2 | Val Acc: 0.1034
 Best site-White_utk-8               | Epoch:2 | Val Acc: 0.1395
 Best site-White_utk-9               | Epoch:2 | Val Acc: 0.1562
 Best site-East_Asian-0              | Epoch:2 | Val Acc: 0.5000
 Best site-East_Asian-1              | Epoch:2 | Val Acc: 0.3333
 Best site-East_Asian-2              | Epoch:2 | Val Acc: 0.4444
 Best site-East_Asian-3              | Epoch:2 | Val Acc: 0.2857
 Best site-East_Asian-4              | Epoch:2 | Val Acc: 0.3810
 Best site-East_Asian-5              | Epoch:2 | Val Acc: 0.4839
 Best site-East_Asian-6              | Epoch:2 | Val Acc: 0.3478
 Best site-Indian_utk-0              | Epoch:2 | Val Acc: 0.5714
 Best site-Indian_utk-1              | Epoch:2 | Val Acc: 0.3000
 Best site-Indian_utk-2              | Epoch:2 | Val Acc: 0.4667
