===2023-06-07 13:49:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: True
    save_iter: -1
data_number=[36,48,62,85,112,147,192,252,335,435,146,193,]
client_nums=[10,2,]
domain number = -1
============ Train epoch 0 ============
 Site-White-9                       | Val  Loss: 2.0318 | Val  Acc: 0.2844
 Site-Black-0                       | Val  Loss: 2.0957 | Val  Acc: 0.1622
 Site-Black-1                       | Val  Loss: 2.0410 | Val  Acc: 0.2449
Average Valid Accuracy: 0.3126
 Best site-White-0                   | Epoch:2 | Val Acc: 0.5556
 Best site-White-1                   | Epoch:2 | Val Acc: 0.4167
 Best site-White-2                   | Epoch:2 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:2 | Val Acc: 0.4545
 Best site-White-4                   | Epoch:2 | Val Acc: 0.2500
 Best site-White-5                   | Epoch:2 | Val Acc: 0.3243
 Best site-White-6                   | Epoch:2 | Val Acc: 0.2449
 Best site-White-7                   | Epoch:2 | Val Acc: 0.2656
 Best site-White-8                   | Epoch:2 | Val Acc: 0.2976
 Best site-White-9                   | Epoch:2 | Val Acc: 0.2844
 Best site-Black-0                   | Epoch:2 | Val Acc: 0.1622
 Best site-Black-1                   | Epoch:2 | Val Acc: 0.2449
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/drfl...
============ Train epoch 3 ============
 Site-White-0                  | Train Loss: 2.0527 | Train Acc: 0.2500
 Site-White-1                  | Train Loss: 1.9689 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 1.9093 | Train Acc: 0.3710
 Site-White-3                  | Train Loss: 1.9570 | Train Acc: 0.2824
 Site-White-4                  | Train Loss: 1.9636 | Train Acc: 0.3393
 Site-White-5                  | Train Loss: 1.9669 | Train Acc: 0.3061
 Site-White-6                  | Train Loss: 1.9790 | Train Acc: 0.3333
 Site-White-7                  | Train Loss: 1.9672 | Train Acc: 0.3056
 Site-White-8                  | Train Loss: 1.9741 | Train Acc: 0.3254
 Site-White-9                  | Train Loss: 1.9701 | Train Acc: 0.2966
 Site-Black-0                  | Train Loss: 2.0022 | Train Acc: 0.2671
 Site-Black-1                  | Train Loss: 2.0624 | Train Acc: 0.2539
 Site-White-0                       | Val  Loss: 1.8277 | Val  Acc: 0.5556
 Site-White-1                       | Val  Loss: 1.8530 | Val  Acc: 0.3333
 Site-White-2                       | Val  Loss: 2.0800 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.9579 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 2.0546 | Val  Acc: 0.3214
 Site-White-5                       | Val  Loss: 1.9922 | Val  Acc: 0.3243
 Site-White-6                       | Val  Loss: 2.0190 | Val  Acc: 0.2653
 Site-White-7                       | Val  Loss: 1.9619 | Val  Acc: 0.2812
 Site-White-8                       | Val  Loss: 1.9885 | Val  Acc: 0.3214
 Site-White-9                       | Val  Loss: 1.9892 | Val  Acc: 0.3119
 Site-Black-0                       | Val  Loss: 2.0812 | Val  Acc: 0.1622
 Site-Black-1                       | Val  Loss: 1.9945 | Val  Acc: 0.2449
Average Valid Accuracy: 0.3113
============ Train epoch 4 ============
 Site-White-0                  | Train Loss: 1.9188 | Train Acc: 0.3611
 Site-White-1                  | Train Loss: 1.9432 | Train Acc: 0.2917
 Site-White-2                  | Train Loss: 1.8866 | Train Acc: 0.3871
 Site-White-3                  | Train Loss: 1.9307 | Train Acc: 0.2824
 Site-White-4                  | Train Loss: 1.9343 | Train Acc: 0.3304
 Site-White-5                  | Train Loss: 1.9308 | Train Acc: 0.3469
 Site-White-6                  | Train Loss: 1.9404 | Train Acc: 0.3385
 Site-White-7                  | Train Loss: 1.9313 | Train Acc: 0.3135
 Site-White-8                  | Train Loss: 1.9305 | Train Acc: 0.3134
 Site-White-9                  | Train Loss: 1.9403 | Train Acc: 0.2897
 Site-Black-0                  | Train Loss: 1.9709 | Train Acc: 0.2671
 Site-Black-1                  | Train Loss: 1.9690 | Train Acc: 0.2487
 Site-White-0                       | Val  Loss: 1.7859 | Val  Acc: 0.5556
 Site-White-1                       | Val  Loss: 1.8481 | Val  Acc: 0.4167
 Site-White-2                       | Val  Loss: 2.0285 | Val  Acc: 0.1875
 Site-White-3                       | Val  Loss: 1.9209 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 2.0315 | Val  Acc: 0.2857
 Site-White-5                       | Val  Loss: 1.9814 | Val  Acc: 0.3243
 Site-White-6                       | Val  Loss: 1.9779 | Val  Acc: 0.2449
 Site-White-7                       | Val  Loss: 1.9358 | Val  Acc: 0.2656
 Site-White-8                       | Val  Loss: 1.9603 | Val  Acc: 0.3095
 Site-White-9                       | Val  Loss: 1.9581 | Val  Acc: 0.3670
 Site-Black-0                       | Val  Loss: 2.0601 | Val  Acc: 0.1622
 Site-Black-1                       | Val  Loss: 1.9690 | Val  Acc: 0.2857
Average Valid Accuracy: 0.3140
 Best site-White-0                   | Epoch:4 | Val Acc: 0.5556
 Best site-White-1                   | Epoch:4 | Val Acc: 0.4167
 Best site-White-2                   | Epoch:4 | Val Acc: 0.1875
 Best site-White-3                   | Epoch:4 | Val Acc: 0.3636
 Best site-White-4                   | Epoch:4 | Val Acc: 0.2857
 Best site-White-5                   | Epoch:4 | Val Acc: 0.3243
 Best site-White-6                   | Epoch:4 | Val Acc: 0.2449
 Best site-White-7                   | Epoch:4 | Val Acc: 0.2656
 Best site-White-8                   | Epoch:4 | Val Acc: 0.3095
 Best site-White-9                   | Epoch:4 | Val Acc: 0.3670
 Best site-Black-0                   | Epoch:4 | Val Acc: 0.1622
 Best site-Black-1                   | Epoch:4 | Val Acc: 0.2857
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/drfl...
============ Train epoch 5 ============
 Site-White-0                  | Train Loss: 1.8534 | Train Acc: 0.2778
 Site-White-1                  | Train Loss: 1.9422 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 1.8475 | Train Acc: 0.3710
 Site-White-3                  | Train Loss: 1.9138 | Train Acc: 0.3176
 Site-White-4                  | Train Loss: 1.8800 | Train Acc: 0.3393
 Site-White-5                  | Train Loss: 1.8769 | Train Acc: 0.3401
 Site-White-6                  | Train Loss: 1.9063 | Train Acc: 0.3438
 Site-White-7                  | Train Loss: 1.9048 | Train Acc: 0.3056
 Site-White-8                  | Train Loss: 1.9060 | Train Acc: 0.3254
 Site-White-9                  | Train Loss: 1.9069 | Train Acc: 0.2920
 Site-Black-0                  | Train Loss: 1.9718 | Train Acc: 0.3082
 Site-Black-1                  | Train Loss: 2.0216 | Train Acc: 0.2383
 Site-White-0                       | Val  Loss: 1.7881 | Val  Acc: 0.4444
 Site-White-1                       | Val  Loss: 1.8042 | Val  Acc: 0.4167
 Site-White-2                       | Val  Loss: 2.0142 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.8681 | Val  Acc: 0.4091
 Site-White-4                       | Val  Loss: 1.9761 | Val  Acc: 0.3214
 Site-White-5                       | Val  Loss: 1.9496 | Val  Acc: 0.3243
 Site-White-6                       | Val  Loss: 1.9767 | Val  Acc: 0.2449
 Site-White-7                       | Val  Loss: 1.9196 | Val  Acc: 0.2656
 Site-White-8                       | Val  Loss: 1.9356 | Val  Acc: 0.3095
 Site-White-9                       | Val  Loss: 1.9406 | Val  Acc: 0.3578
 Site-Black-0                       | Val  Loss: 2.0621 | Val  Acc: 0.1622
 Site-Black-1                       | Val  Loss: 1.9622 | Val  Acc: 0.2857
Average Valid Accuracy: 0.3160
 Best site-White-0                   | Epoch:5 | Val Acc: 0.4444
 Best site-White-1                   | Epoch:5 | Val Acc: 0.4167
 Best site-White-2                   | Epoch:5 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:5 | Val Acc: 0.4091
 Best site-White-4                   | Epoch:5 | Val Acc: 0.3214
 Best site-White-5                   | Epoch:5 | Val Acc: 0.3243
 Best site-White-6                   | Epoch:5 | Val Acc: 0.2449
 Best site-White-7                   | Epoch:5 | Val Acc: 0.2656
 Best site-White-8                   | Epoch:5 | Val Acc: 0.3095
 Best site-White-9                   | Epoch:5 | Val Acc: 0.3578
 Best site-Black-0                   | Epoch:5 | Val Acc: 0.1622
