===2023-06-14 14:45:18===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,8,12,18,27,40,59,87,43,64,94,139,205,80,118,174,50,74,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,856,1828,1244,419,575,391,]
domain number = -1
============ Train epoch 0 ============
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.0978
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.1471
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0189
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0641
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0957
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.0303
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.1429
 Best site-White                     | Epoch:0 | Val Acc: 0.1304
 Best site-White_gan                 | Epoch:0 | Val Acc: 0.0128
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_-1_weak_white/fedavg...
============ Train epoch 1 ============
 Site-White_utk                     | Train Loss: 2.1748 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.2082 | Train Acc: 0.0588
 Site-White_utk                     | Train Loss: 2.2104 | Train Acc: 0.1154
 Site-White_utk                     | Train Loss: 2.1966 | Train Acc: 0.0526
 Site-White_utk                     | Train Loss: 2.1981 | Train Acc: 0.1250
 Site-White_utk                     | Train Loss: 2.1990 | Train Acc: 0.0732
 Site-White_utk                     | Train Loss: 2.2047 | Train Acc: 0.0826
 Site-White_utk                     | Train Loss: 2.2045 | Train Acc: 0.1173
 Site-White_utk                     | Train Loss: 2.2021 | Train Acc: 0.1255
 Site-White_utk                     | Train Loss: 2.2007 | Train Acc: 0.0930
 Site-Black_utk                     | Train Loss: 2.1955 | Train Acc: 0.0000
 Site-Black_utk                     | Train Loss: 2.1935 | Train Acc: 0.0833
 Site-Black_utk                     | Train Loss: 2.1874 | Train Acc: 0.1667
 Site-Black_utk                     | Train Loss: 2.1892 | Train Acc: 0.1111
 Site-Black_utk                     | Train Loss: 2.2111 | Train Acc: 0.0500
 Site-Black_utk                     | Train Loss: 2.1875 | Train Acc: 0.0847
 Site-Black_utk                     | Train Loss: 2.1963 | Train Acc: 0.1379
 Site-Southeast_Asian               | Train Loss: 2.1777 | Train Acc: 0.0698
 Site-Southeast_Asian               | Train Loss: 2.1902 | Train Acc: 0.1094
 Site-Southeast_Asian               | Train Loss: 2.1823 | Train Acc: 0.1170
 Site-Southeast_Asian               | Train Loss: 2.1944 | Train Acc: 0.1511
 Site-Southeast_Asian               | Train Loss: 2.1925 | Train Acc: 0.0829
 Site-Indian_utk                    | Train Loss: 2.2039 | Train Acc: 0.0250
 Site-Indian_utk                    | Train Loss: 2.2034 | Train Acc: 0.0763
 Site-Indian_utk                    | Train Loss: 2.2034 | Train Acc: 0.0862
 Site-Middle_Eastern_gan            | Train Loss: 2.1846 | Train Acc: 0.1200
 Site-Middle_Eastern_gan            | Train Loss: 2.1851 | Train Acc: 0.0946
 Site-White                         | Train Loss: 2.1803 | Train Acc: 0.1453
 Site-White_gan                     | Train Loss: 2.2040 | Train Acc: 0.0171
Average Train Accuracy: 0.0944
 Site-White_utk                     | Val  Loss: 2.1999 | Val  Acc: 0.1250
 Site-White_utk                     | Val  Loss: 2.2165 | Val  Acc: 0.0000
 Site-White_utk                     | Val  Loss: 2.2311 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2234 | Val  Acc: 0.0400
 Site-White_utk                     | Val  Loss: 2.1929 | Val  Acc: 0.1351
 Site-White_utk                     | Val  Loss: 2.1867 | Val  Acc: 0.1455
 Site-White_utk                     | Val  Loss: 2.1858 | Val  Acc: 0.0988
 Site-White_utk                     | Val  Loss: 2.1811 | Val  Acc: 0.1345
 Site-White_utk                     | Val  Loss: 2.1980 | Val  Acc: 0.0971
 Site-White_utk                     | Val  Loss: 2.1923 | Val  Acc: 0.0891
 Site-Black_utk                     | Val  Loss: 2.1707 | Val  Acc: 0.0000
 Site-Black_utk                     | Val  Loss: 2.2049 | Val  Acc: 0.1250
 Site-Black_utk                     | Val  Loss: 2.2003 | Val  Acc: 0.1667
 Site-Black_utk                     | Val  Loss: 2.2104 | Val  Acc: 0.0556
 Site-Black_utk                     | Val  Loss: 2.1879 | Val  Acc: 0.1111
 Site-Black_utk                     | Val  Loss: 2.2063 | Val  Acc: 0.1026
 Site-Black_utk                     | Val  Loss: 2.2011 | Val  Acc: 0.1552
 Site-Southeast_Asian               | Val  Loss: 2.2141 | Val  Acc: 0.1034
 Site-Southeast_Asian               | Val  Loss: 2.2015 | Val  Acc: 0.0233
 Site-Southeast_Asian               | Val  Loss: 2.1815 | Val  Acc: 0.0952
 Site-Southeast_Asian               | Val  Loss: 2.1853 | Val  Acc: 0.1413
 Site-Southeast_Asian               | Val  Loss: 2.1767 | Val  Acc: 0.1544
 Site-Indian_utk                    | Val  Loss: 2.2000 | Val  Acc: 0.0943
 Site-Indian_utk                    | Val  Loss: 2.1961 | Val  Acc: 0.1026
 Site-Indian_utk                    | Val  Loss: 2.1995 | Val  Acc: 0.1130
 Site-Middle_Eastern_gan            | Val  Loss: 2.1847 | Val  Acc: 0.0303
 Site-Middle_Eastern_gan            | Val  Loss: 2.1999 | Val  Acc: 0.1020
 Site-White                         | Val  Loss: 2.1806 | Val  Acc: 0.1391
 Site-White_gan                     | Val  Loss: 2.1967 | Val  Acc: 0.0513
Average Valid Accuracy: 0.0962
============ Train epoch 2 ============
 Site-White_utk                     | Train Loss: 2.1680 | Train Acc: 0.0833
 Site-White_utk                     | Train Loss: 2.1904 | Train Acc: 0.0588
 Site-White_utk                     | Train Loss: 2.1840 | Train Acc: 0.1538
 Site-White_utk                     | Train Loss: 2.1849 | Train Acc: 0.1842
 Site-White_utk                     | Train Loss: 2.1847 | Train Acc: 0.1071
 Site-White_utk                     | Train Loss: 2.1870 | Train Acc: 0.1585
 Site-White_utk                     | Train Loss: 2.1953 | Train Acc: 0.0744
 Site-White_utk                     | Train Loss: 2.1954 | Train Acc: 0.1061
 Site-White_utk                     | Train Loss: 2.1909 | Train Acc: 0.1293
 Site-White_utk                     | Train Loss: 2.2062 | Train Acc: 0.1189
 Site-Black_utk                     | Train Loss: 2.1485 | Train Acc: 0.1250
 Site-Black_utk                     | Train Loss: 2.1899 | Train Acc: 0.1667
 Site-Black_utk                     | Train Loss: 2.1805 | Train Acc: 0.1667
 Site-Black_utk                     | Train Loss: 2.1806 | Train Acc: 0.1481
 Site-Black_utk                     | Train Loss: 2.1982 | Train Acc: 0.1500
 Site-Black_utk                     | Train Loss: 2.1801 | Train Acc: 0.1017
 Site-Black_utk                     | Train Loss: 2.1730 | Train Acc: 0.1954
 Site-Southeast_Asian               | Train Loss: 2.1646 | Train Acc: 0.1395
 Site-Southeast_Asian               | Train Loss: 2.1776 | Train Acc: 0.2031
 Site-Southeast_Asian               | Train Loss: 2.1768 | Train Acc: 0.1064
 Site-Southeast_Asian               | Train Loss: 2.1804 | Train Acc: 0.1799
 Site-Southeast_Asian               | Train Loss: 2.1709 | Train Acc: 0.1317
 Site-Indian_utk                    | Train Loss: 2.1872 | Train Acc: 0.0875
 Site-Indian_utk                    | Train Loss: 2.1871 | Train Acc: 0.0847
 Site-Indian_utk                    | Train Loss: 2.1859 | Train Acc: 0.1092
 Site-Middle_Eastern_gan            | Train Loss: 2.1550 | Train Acc: 0.1000
 Site-Middle_Eastern_gan            | Train Loss: 2.1462 | Train Acc: 0.1757
 Site-White                         | Train Loss: 2.1619 | Train Acc: 0.1860
 Site-White_gan                     | Train Loss: 2.1616 | Train Acc: 0.0427
Average Train Accuracy: 0.1302
 Site-White_utk                     | Val  Loss: 2.2009 | Val  Acc: 0.0000
 Site-White_utk                     | Val  Loss: 2.2268 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.2302 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2266 | Val  Acc: 0.0000
 Site-White_utk                     | Val  Loss: 2.2057 | Val  Acc: 0.1081
 Site-White_utk                     | Val  Loss: 2.1719 | Val  Acc: 0.1636
 Site-White_utk                     | Val  Loss: 2.1899 | Val  Acc: 0.1481
 Site-White_utk                     | Val  Loss: 2.1748 | Val  Acc: 0.1765
 Site-White_utk                     | Val  Loss: 2.1858 | Val  Acc: 0.1314
 Site-White_utk                     | Val  Loss: 2.1928 | Val  Acc: 0.1279
 Site-Black_utk                     | Val  Loss: 2.1393 | Val  Acc: 0.2000
 Site-Black_utk                     | Val  Loss: 2.1878 | Val  Acc: 0.1250
 Site-Black_utk                     | Val  Loss: 2.1748 | Val  Acc: 0.4167
 Site-Black_utk                     | Val  Loss: 2.1992 | Val  Acc: 0.1111
 Site-Black_utk                     | Val  Loss: 2.1880 | Val  Acc: 0.1481
 Site-Black_utk                     | Val  Loss: 2.1824 | Val  Acc: 0.1538
 Site-Black_utk                     | Val  Loss: 2.1877 | Val  Acc: 0.1379
 Site-Southeast_Asian               | Val  Loss: 2.1759 | Val  Acc: 0.1034
 Site-Southeast_Asian               | Val  Loss: 2.1872 | Val  Acc: 0.0930
 Site-Southeast_Asian               | Val  Loss: 2.1762 | Val  Acc: 0.0794
 Site-Southeast_Asian               | Val  Loss: 2.1734 | Val  Acc: 0.2065
 Site-Southeast_Asian               | Val  Loss: 2.1702 | Val  Acc: 0.1471
 Site-Indian_utk                    | Val  Loss: 2.1901 | Val  Acc: 0.0943
 Site-Indian_utk                    | Val  Loss: 2.1908 | Val  Acc: 0.1410
 Site-Indian_utk                    | Val  Loss: 2.1876 | Val  Acc: 0.1043
 Site-Middle_Eastern_gan            | Val  Loss: 2.1435 | Val  Acc: 0.0909
 Site-Middle_Eastern_gan            | Val  Loss: 2.1702 | Val  Acc: 0.1837
 Site-White                         | Val  Loss: 2.1603 | Val  Acc: 0.2000
 Site-White_gan                     | Val  Loss: 2.1576 | Val  Acc: 0.0385
Average Valid Accuracy: 0.1304
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.0000
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.0909
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.0588
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.0000
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1081
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1636
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1481
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1765
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1314
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1279
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.2000
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.1250
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.4167
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.1111
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.1481
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.1538
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.1379
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.1034
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.0930
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.0794
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.2065
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.1471
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.0943
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.1410
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.1043
 Best site-Middle_Eastern_gan        | Epoch:2 | Val Acc: 0.0909
 Best site-Middle_Eastern_gan        | Epoch:2 | Val Acc: 0.1837
 Best site-White                     | Epoch:2 | Val Acc: 0.2000
 Best site-White_gan                 | Epoch:2 | Val Acc: 0.0385
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_-1_weak_white/fedavg...
============ Train epoch 3 ============
 Site-White_utk                     | Train Loss: 2.1695 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.1867 | Train Acc: 0.0588
 Site-White_utk                     | Train Loss: 2.1972 | Train Acc: 0.1538
 Site-White_utk                     | Train Loss: 2.1665 | Train Acc: 0.1842
 Site-White_utk                     | Train Loss: 2.1754 | Train Acc: 0.1607
 Site-White_utk                     | Train Loss: 2.2005 | Train Acc: 0.1341
 Site-White_utk                     | Train Loss: 2.1917 | Train Acc: 0.0744
 Site-White_utk                     | Train Loss: 2.1845 | Train Acc: 0.1285
 Site-White_utk                     | Train Loss: 2.1756 | Train Acc: 0.1445
 Site-White_utk                     | Train Loss: 2.1760 | Train Acc: 0.1318
 Site-Black_utk                     | Train Loss: 2.1255 | Train Acc: 0.2500
 Site-Black_utk                     | Train Loss: 2.1752 | Train Acc: 0.0833
 Site-Black_utk                     | Train Loss: 2.1757 | Train Acc: 0.2222
 Site-Black_utk                     | Train Loss: 2.1592 | Train Acc: 0.4074
 Site-Black_utk                     | Train Loss: 2.1798 | Train Acc: 0.1250
 Site-Black_utk                     | Train Loss: 2.1590 | Train Acc: 0.1695
 Site-Black_utk                     | Train Loss: 2.1682 | Train Acc: 0.2069
 Site-Southeast_Asian               | Train Loss: 2.1643 | Train Acc: 0.1628
 Site-Southeast_Asian               | Train Loss: 2.1716 | Train Acc: 0.1406
 Site-Southeast_Asian               | Train Loss: 2.1525 | Train Acc: 0.2340
 Site-Southeast_Asian               | Train Loss: 2.1726 | Train Acc: 0.1727
 Site-Southeast_Asian               | Train Loss: 2.1710 | Train Acc: 0.1463
 Site-Indian_utk                    | Train Loss: 2.1661 | Train Acc: 0.2000
 Site-Indian_utk                    | Train Loss: 2.1674 | Train Acc: 0.1525
 Site-Indian_utk                    | Train Loss: 2.1718 | Train Acc: 0.1207
 Site-Middle_Eastern_gan            | Train Loss: 2.1262 | Train Acc: 0.1800
 Site-Middle_Eastern_gan            | Train Loss: 2.1364 | Train Acc: 0.1486
 Site-White                         | Train Loss: 2.1578 | Train Acc: 0.1919
 Site-White_gan                     | Train Loss: 2.1183 | Train Acc: 0.1453
Average Train Accuracy: 0.1654
 Site-White_utk                     | Val  Loss: 2.1784 | Val  Acc: 0.1250
 Site-White_utk                     | Val  Loss: 2.2184 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.2155 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2021 | Val  Acc: 0.0800
 Site-White_utk                     | Val  Loss: 2.1840 | Val  Acc: 0.1351
 Site-White_utk                     | Val  Loss: 2.1714 | Val  Acc: 0.2000
 Site-White_utk                     | Val  Loss: 2.1764 | Val  Acc: 0.1728
 Site-White_utk                     | Val  Loss: 2.1666 | Val  Acc: 0.1765
 Site-White_utk                     | Val  Loss: 2.1823 | Val  Acc: 0.1600
 Site-White_utk                     | Val  Loss: 2.1827 | Val  Acc: 0.1318
 Site-Black_utk                     | Val  Loss: 2.1198 | Val  Acc: 0.4000
 Site-Black_utk                     | Val  Loss: 2.1675 | Val  Acc: 0.1250
 Site-Black_utk                     | Val  Loss: 2.1523 | Val  Acc: 0.3333
 Site-Black_utk                     | Val  Loss: 2.1556 | Val  Acc: 0.2778
 Site-Black_utk                     | Val  Loss: 2.1820 | Val  Acc: 0.1481
 Site-Black_utk                     | Val  Loss: 2.1770 | Val  Acc: 0.2051
 Site-Black_utk                     | Val  Loss: 2.1734 | Val  Acc: 0.1897
 Site-Southeast_Asian               | Val  Loss: 2.1647 | Val  Acc: 0.0690
 Site-Southeast_Asian               | Val  Loss: 2.1847 | Val  Acc: 0.1163
 Site-Southeast_Asian               | Val  Loss: 2.1650 | Val  Acc: 0.1429
 Site-Southeast_Asian               | Val  Loss: 2.1674 | Val  Acc: 0.1848
 Site-Southeast_Asian               | Val  Loss: 2.1650 | Val  Acc: 0.1985
 Site-Indian_utk                    | Val  Loss: 2.1688 | Val  Acc: 0.1132
 Site-Indian_utk                    | Val  Loss: 2.1759 | Val  Acc: 0.1154
 Site-Indian_utk                    | Val  Loss: 2.1747 | Val  Acc: 0.1217
 Site-Middle_Eastern_gan            | Val  Loss: 2.1212 | Val  Acc: 0.0909
 Site-Middle_Eastern_gan            | Val  Loss: 2.1661 | Val  Acc: 0.1429
 Site-White                         | Val  Loss: 2.1510 | Val  Acc: 0.2522
 Site-White_gan                     | Val  Loss: 2.1183 | Val  Acc: 0.1282
Average Valid Accuracy: 0.1616
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1250
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.0909
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.0588
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.0800
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1351
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2000
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1728
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1765
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1600
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1318
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.4000
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.1250
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.3333
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.2778
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.1481
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.2051
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.1897
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.0690
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.1163
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.1429
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.1848
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.1985
 Best site-Indian_utk                | Epoch:3 | Val Acc: 0.1132
 Best site-Indian_utk                | Epoch:3 | Val Acc: 0.1154
 Best site-Indian_utk                | Epoch:3 | Val Acc: 0.1217
 Best site-Middle_Eastern_gan        | Epoch:3 | Val Acc: 0.0909
 Best site-Middle_Eastern_gan        | Epoch:3 | Val Acc: 0.1429
 Best site-White                     | Epoch:3 | Val Acc: 0.2522
 Best site-White_gan                 | Epoch:3 | Val Acc: 0.1282
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_-1_weak_white/fedavg...
============ Train epoch 4 ============
 Site-White_utk                     | Train Loss: 2.1516 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.1727 | Train Acc: 0.0588
 Site-White_utk                     | Train Loss: 2.1787 | Train Acc: 0.1538
 Site-White_utk                     | Train Loss: 2.1784 | Train Acc: 0.1579
 Site-White_utk                     | Train Loss: 2.1715 | Train Acc: 0.2143
 Site-White_utk                     | Train Loss: 2.1790 | Train Acc: 0.1463
 Site-White_utk                     | Train Loss: 2.1861 | Train Acc: 0.1240
 Site-White_utk                     | Train Loss: 2.1790 | Train Acc: 0.1397
 Site-White_utk                     | Train Loss: 2.1662 | Train Acc: 0.1901
 Site-White_utk                     | Train Loss: 2.1691 | Train Acc: 0.1680
 Site-Black_utk                     | Train Loss: 2.1266 | Train Acc: 0.2500
 Site-Black_utk                     | Train Loss: 2.1967 | Train Acc: 0.0000
 Site-Black_utk                     | Train Loss: 2.1526 | Train Acc: 0.3333
 Site-Black_utk                     | Train Loss: 2.1630 | Train Acc: 0.1481
 Site-Black_utk                     | Train Loss: 2.1607 | Train Acc: 0.2750
 Site-Black_utk                     | Train Loss: 2.1516 | Train Acc: 0.2203
 Site-Black_utk                     | Train Loss: 2.1435 | Train Acc: 0.2874
 Site-Southeast_Asian               | Train Loss: 2.1502 | Train Acc: 0.1395
 Site-Southeast_Asian               | Train Loss: 2.1470 | Train Acc: 0.2500
 Site-Southeast_Asian               | Train Loss: 2.1316 | Train Acc: 0.2128
 Site-Southeast_Asian               | Train Loss: 2.1544 | Train Acc: 0.1942
 Site-Southeast_Asian               | Train Loss: 2.1535 | Train Acc: 0.1854
 Site-Indian_utk                    | Train Loss: 2.1469 | Train Acc: 0.1625
 Site-Indian_utk                    | Train Loss: 2.1561 | Train Acc: 0.1780
 Site-Indian_utk                    | Train Loss: 2.1550 | Train Acc: 0.1839
 Site-Middle_Eastern_gan            | Train Loss: 2.0726 | Train Acc: 0.3200
 Site-Middle_Eastern_gan            | Train Loss: 2.1292 | Train Acc: 0.2568
 Site-White                         | Train Loss: 2.1383 | Train Acc: 0.2384
 Site-White_gan                     | Train Loss: 2.0816 | Train Acc: 0.2821
Average Train Accuracy: 0.1944
 Site-White_utk                     | Val  Loss: 2.1685 | Val  Acc: 0.2500
 Site-White_utk                     | Val  Loss: 2.1931 | Val  Acc: 0.1818
 Site-White_utk                     | Val  Loss: 2.2078 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2070 | Val  Acc: 0.1200
 Site-White_utk                     | Val  Loss: 2.1752 | Val  Acc: 0.1622
