===2023-06-15 01:24:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,27,40,59,86,127,187,276,43,64,94,139,205,55,81,119,102,150,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0761
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0735
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1111
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.0741
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1266
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.1471
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.1000
 Best site-Latino_Hispanic_ffhq      | Epoch:0 | Val Acc: 0.1565
 Best site-White_ffhq                | Epoch:0 | Val Acc: 0.0256
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_random_dis_cluster_-1_weak_white/drfl...
============ Train epoch 1 ============
 Site-White_utk                     | Train Loss: 2.1599 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.2128 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2129 | Train Acc: 0.1154
 Site-White_utk                     | Train Loss: 2.1908 | Train Acc: 0.1579
 Site-White_utk                     | Train Loss: 2.1931 | Train Acc: 0.1429
 Site-White_utk                     | Train Loss: 2.1868 | Train Acc: 0.1341
 Site-White_utk                     | Train Loss: 2.2065 | Train Acc: 0.1074
 Site-White_utk                     | Train Loss: 2.1969 | Train Acc: 0.1006
 Site-White_utk                     | Train Loss: 2.2004 | Train Acc: 0.1217
 Site-White_utk                     | Train Loss: 2.2111 | Train Acc: 0.1034
 Site-East_Asian                    | Train Loss: 2.1635 | Train Acc: 0.1111
 Site-East_Asian                    | Train Loss: 2.1434 | Train Acc: 0.1500
 Site-East_Asian                    | Train Loss: 2.1478 | Train Acc: 0.2034
 Site-East_Asian                    | Train Loss: 2.1656 | Train Acc: 0.1512
 Site-East_Asian                    | Train Loss: 2.1631 | Train Acc: 0.1496
 Site-East_Asian                    | Train Loss: 2.1571 | Train Acc: 0.1925
 Site-East_Asian                    | Train Loss: 2.1596 | Train Acc: 0.1848
 Site-Indian_utk                    | Train Loss: 2.2132 | Train Acc: 0.0233
 Site-Indian_utk                    | Train Loss: 2.1955 | Train Acc: 0.0938
 Site-Indian_utk                    | Train Loss: 2.1912 | Train Acc: 0.1064
 Site-Indian_utk                    | Train Loss: 2.1912 | Train Acc: 0.1295
 Site-Indian_utk                    | Train Loss: 2.1926 | Train Acc: 0.0976
 Site-Black_utk                     | Train Loss: 2.1918 | Train Acc: 0.0727
 Site-Black_utk                     | Train Loss: 2.1887 | Train Acc: 0.1111
 Site-Black_utk                     | Train Loss: 2.1896 | Train Acc: 0.1261
 Site-Southeast_Asian               | Train Loss: 2.1671 | Train Acc: 0.1176
 Site-Southeast_Asian               | Train Loss: 2.1765 | Train Acc: 0.1333
 Site-Latino_Hispanic_ffhq          | Train Loss: 2.1487 | Train Acc: 0.2558
 Site-White_ffhq                    | Train Loss: 2.2212 | Train Acc: 0.0598
Average Train Accuracy: 0.1289
 Site-White_utk                     | Val  Loss: 2.2009 | Val  Acc: 0.0000
 Site-White_utk                     | Val  Loss: 2.2293 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.2388 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2260 | Val  Acc: 0.0800
 Site-White_utk                     | Val  Loss: 2.1980 | Val  Acc: 0.0811
 Site-White_utk                     | Val  Loss: 2.1880 | Val  Acc: 0.1273
 Site-White_utk                     | Val  Loss: 2.1854 | Val  Acc: 0.1235
 Site-White_utk                     | Val  Loss: 2.1865 | Val  Acc: 0.1261
 Site-White_utk                     | Val  Loss: 2.2000 | Val  Acc: 0.1143
 Site-White_utk                     | Val  Loss: 2.1957 | Val  Acc: 0.1008
 Site-East_Asian                    | Val  Loss: 2.1522 | Val  Acc: 0.2778
 Site-East_Asian                    | Val  Loss: 2.1514 | Val  Acc: 0.1538
 Site-East_Asian                    | Val  Loss: 2.1637 | Val  Acc: 0.2051
 Site-East_Asian                    | Val  Loss: 2.1736 | Val  Acc: 0.0702
 Site-East_Asian                    | Val  Loss: 2.1733 | Val  Acc: 0.1647
 Site-East_Asian                    | Val  Loss: 2.1546 | Val  Acc: 0.1680
 Site-East_Asian                    | Val  Loss: 2.1611 | Val  Acc: 0.1576
 Site-Indian_utk                    | Val  Loss: 2.1725 | Val  Acc: 0.1379
 Site-Indian_utk                    | Val  Loss: 2.1859 | Val  Acc: 0.0233
 Site-Indian_utk                    | Val  Loss: 2.1853 | Val  Acc: 0.0635
 Site-Indian_utk                    | Val  Loss: 2.1933 | Val  Acc: 0.1413
 Site-Indian_utk                    | Val  Loss: 2.1972 | Val  Acc: 0.0809
 Site-Black_utk                     | Val  Loss: 2.1967 | Val  Acc: 0.0833
 Site-Black_utk                     | Val  Loss: 2.1889 | Val  Acc: 0.1481
 Site-Black_utk                     | Val  Loss: 2.1874 | Val  Acc: 0.1266
 Site-Southeast_Asian               | Val  Loss: 2.2070 | Val  Acc: 0.1765
 Site-Southeast_Asian               | Val  Loss: 2.1734 | Val  Acc: 0.1600
 Site-Latino_Hispanic_ffhq          | Val  Loss: 2.1658 | Val  Acc: 0.2348
 Site-White_ffhq                    | Val  Loss: 2.2103 | Val  Acc: 0.0769
Average Valid Accuracy: 0.1225
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0000
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0909
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0588
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0800
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0811
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1273
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1235
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1261
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1143
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1008
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.2778
