===2023-07-29 07:15:02===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1512 | Train Acc: 0.5032
 Site-Clipart                       | Train Loss: 2.1664 | Train Acc: 0.4576
 Site-Real                          | Train Loss: 2.1466 | Train Acc: 0.6369
 Site-Real                          | Train Loss: 2.1273 | Train Acc: 0.6822
 Site-Painting                      | Train Loss: 2.1529 | Train Acc: 0.5669
 Site-Painting                      | Train Loss: 2.1498 | Train Acc: 0.5169
 Site-Sketch                        | Train Loss: 2.1725 | Train Acc: 0.4713
 Site-Sketch                        | Train Loss: 2.1735 | Train Acc: 0.4449
 Site-QuickDraw                     | Train Loss: 2.2473 | Train Acc: 0.1592
 Site-QuickDraw                     | Train Loss: 2.2631 | Train Acc: 0.1822
 Site-Infograph                     | Train Loss: 2.2643 | Train Acc: 0.2548
 Site-Infograph                     | Train Loss: 2.2388 | Train Acc: 0.2775
Average Train Accuracy: 0.4295
 Site-Clipart                       | Val  Loss: 2.1817 | Val  Acc: 0.4190
 Site-Clipart                       | Val  Loss: 2.1777 | Val  Acc: 0.4508
 Site-Real                          | Val  Loss: 2.1255 | Val  Acc: 0.6381
 Site-Real                          | Val  Loss: 2.1246 | Val  Acc: 0.6952
 Site-Painting                      | Val  Loss: 2.1174 | Val  Acc: 0.6190
 Site-Painting                      | Val  Loss: 2.1367 | Val  Acc: 0.5397
 Site-Sketch                        | Val  Loss: 2.1819 | Val  Acc: 0.4381
 Site-Sketch                        | Val  Loss: 2.1730 | Val  Acc: 0.4571
 Site-QuickDraw                     | Val  Loss: 2.2571 | Val  Acc: 0.1810
 Site-QuickDraw                     | Val  Loss: 2.2590 | Val  Acc: 0.1778
 Site-Infograph                     | Val  Loss: 2.2599 | Val  Acc: 0.2381
 Site-Infograph                     | Val  Loss: 2.2424 | Val  Acc: 0.2698
Average Valid Accuracy: 0.4270
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4190
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4508
 Best site-Real                      | Epoch:0 | Val Acc: 0.6381
 Best site-Real                      | Epoch:0 | Val Acc: 0.6952
 Best site-Painting                  | Epoch:0 | Val Acc: 0.6190
 Best site-Painting                  | Epoch:0 | Val Acc: 0.5397
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4381
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4571
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1810
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1778
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2381
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2698
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_0/term...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0453 | Train Acc: 0.6879
 Site-Clipart                       | Train Loss: 2.0520 | Train Acc: 0.6377
 Site-Real                          | Train Loss: 1.9952 | Train Acc: 0.7771
 Site-Real                          | Train Loss: 1.9554 | Train Acc: 0.8369
 Site-Painting                      | Train Loss: 2.0073 | Train Acc: 0.7134
 Site-Painting                      | Train Loss: 2.0046 | Train Acc: 0.7140
 Site-Sketch                        | Train Loss: 2.0408 | Train Acc: 0.5924
 Site-Sketch                        | Train Loss: 2.0292 | Train Acc: 0.6398
 Site-QuickDraw                     | Train Loss: 2.2068 | Train Acc: 0.2866
 Site-QuickDraw                     | Train Loss: 2.2085 | Train Acc: 0.3178
 Site-Infograph                     | Train Loss: 2.2028 | Train Acc: 0.3439
 Site-Infograph                     | Train Loss: 2.1766 | Train Acc: 0.3750
Average Train Accuracy: 0.5769
 Site-Clipart                       | Val  Loss: 2.0548 | Val  Acc: 0.6571
 Site-Clipart                       | Val  Loss: 2.0496 | Val  Acc: 0.6222
 Site-Real                          | Val  Loss: 1.9511 | Val  Acc: 0.8190
 Site-Real                          | Val  Loss: 1.9647 | Val  Acc: 0.8349
 Site-Painting                      | Val  Loss: 1.9562 | Val  Acc: 0.8000
 Site-Painting                      | Val  Loss: 1.9989 | Val  Acc: 0.7206
 Site-Sketch                        | Val  Loss: 2.0321 | Val  Acc: 0.6381
 Site-Sketch                        | Val  Loss: 2.0303 | Val  Acc: 0.6286
 Site-QuickDraw                     | Val  Loss: 2.2143 | Val  Acc: 0.2381
 Site-QuickDraw                     | Val  Loss: 2.2059 | Val  Acc: 0.3143
 Site-Infograph                     | Val  Loss: 2.2114 | Val  Acc: 0.2571
 Site-Infograph                     | Val  Loss: 2.1869 | Val  Acc: 0.3556
Average Valid Accuracy: 0.5738
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6571
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6222
 Best site-Real                      | Epoch:1 | Val Acc: 0.8190
 Best site-Real                      | Epoch:1 | Val Acc: 0.8349
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8000
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7206
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6381
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6286
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2381
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.3143
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.2571
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.3556
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_0/term...
============ Train epoch 2 ============
 Site-Clipart                       | Train Loss: 1.9045 | Train Acc: 0.7771
 Site-Clipart                       | Train Loss: 1.9134 | Train Acc: 0.7119
 Site-Real                          | Train Loss: 1.8451 | Train Acc: 0.8344
 Site-Real                          | Train Loss: 1.7933 | Train Acc: 0.8898
 Site-Painting                      | Train Loss: 1.8676 | Train Acc: 0.7643
 Site-Painting                      | Train Loss: 1.8624 | Train Acc: 0.7797
 Site-Sketch                        | Train Loss: 1.9195 | Train Acc: 0.6433
 Site-Sketch                        | Train Loss: 1.8950 | Train Acc: 0.7034
 Site-QuickDraw                     | Train Loss: 2.1474 | Train Acc: 0.3822
 Site-QuickDraw                     | Train Loss: 2.1691 | Train Acc: 0.3581
 Site-Infograph                     | Train Loss: 2.1327 | Train Acc: 0.4650
 Site-Infograph                     | Train Loss: 2.1262 | Train Acc: 0.4004
