===2023-07-29 14:51:05===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1457 | Train Acc: 0.5096
 Site-Clipart                       | Train Loss: 2.1775 | Train Acc: 0.4619
 Site-Real                          | Train Loss: 2.1409 | Train Acc: 0.6497
 Site-Real                          | Train Loss: 2.1275 | Train Acc: 0.6801
 Site-Painting                      | Train Loss: 2.1475 | Train Acc: 0.5796
 Site-Painting                      | Train Loss: 2.1459 | Train Acc: 0.5233
 Site-Sketch                        | Train Loss: 2.1747 | Train Acc: 0.4076
 Site-Sketch                        | Train Loss: 2.1723 | Train Acc: 0.4258
 Site-QuickDraw                     | Train Loss: 2.2498 | Train Acc: 0.2038
 Site-QuickDraw                     | Train Loss: 2.2580 | Train Acc: 0.1949
 Site-Infograph                     | Train Loss: 2.2534 | Train Acc: 0.2803
 Site-Infograph                     | Train Loss: 2.2395 | Train Acc: 0.2627
Average Train Accuracy: 0.4316
 Site-Clipart                       | Val  Loss: 2.1810 | Val  Acc: 0.4095
 Site-Clipart                       | Val  Loss: 2.1735 | Val  Acc: 0.4508
 Site-Real                          | Val  Loss: 2.1260 | Val  Acc: 0.6286
 Site-Real                          | Val  Loss: 2.1286 | Val  Acc: 0.6603
 Site-Painting                      | Val  Loss: 2.1091 | Val  Acc: 0.6667
 Site-Painting                      | Val  Loss: 2.1460 | Val  Acc: 0.5365
 Site-Sketch                        | Val  Loss: 2.1769 | Val  Acc: 0.4476
 Site-Sketch                        | Val  Loss: 2.1721 | Val  Acc: 0.4317
 Site-QuickDraw                     | Val  Loss: 2.2704 | Val  Acc: 0.1714
 Site-QuickDraw                     | Val  Loss: 2.2613 | Val  Acc: 0.2127
 Site-Infograph                     | Val  Loss: 2.2638 | Val  Acc: 0.2476
 Site-Infograph                     | Val  Loss: 2.2406 | Val  Acc: 0.2730
Average Valid Accuracy: 0.4280
