===2023-05-26 21:48:56===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 11
    std_rw: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = 11
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[4, 6, 7, 2, 1, 1, 1, 3, 1, 1, 2, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-Black_Female              (3) | Val  Loss: 1.9703 | Val  Acc: 0.2474
 Site-Black_Male                (8) | Val  Loss: 1.7533 | Val  Acc: 0.2587
 Site-Black_Female              (3) | Val  Loss: 1.8422 | Val  Acc: 0.3081
 Site-East_Asian_Male           (1) | Val  Loss: 2.0251 | Val  Acc: 0.2927
 Site-East_Asian_Female         (10)| Val  Loss: 1.6992 | Val  Acc: 0.4545
 Site-East_Asian_Male           (1) | Val  Loss: 1.9178 | Val  Acc: 0.3034
 Site-Indian_Female             (3) | Val  Loss: 2.0586 | Val  Acc: 0.2952
 Site-Indian_Male               (8) | Val  Loss: 2.0286 | Val  Acc: 0.2323
 Site-Southeast_Asian_Female    (10)| Val  Loss: 2.0827 | Val  Acc: 0.3107
 Site-Middle_Eastern_Male       (4) | Val  Loss: 2.1608 | Val  Acc: 0.1583
Average Valid Accuracy: 0.2893
Aggregated Acc | Val Acc: 0.2943
============ Train epoch 2 ============
cnt=[1, 4, 5, 3, 3, 1, 1, 5, 1, 4, 1, ]
power_decay: 0.9, powerI: 0.8645, powerC: 0.1355
sum of wi : 1.0000
 Site-White_Male               | Train Loss: 1.8248 | Train Acc: 0.2778
 Site-White_Female             | Train Loss: 1.8119 | Train Acc: 0.3704
 Site-White_Male               | Train Loss: 1.9216 | Train Acc: 0.3000
 Site-White_Female             | Train Loss: 1.6763 | Train Acc: 0.3966
 Site-White_Male               | Train Loss: 1.9907 | Train Acc: 0.2874
 Site-White_Female             | Train Loss: 1.7790 | Train Acc: 0.3780
 Site-White_Male               | Train Loss: 1.9126 | Train Acc: 0.2340
 Site-White_Female             | Train Loss: 1.8004 | Train Acc: 0.3587
 Site-White_Male               | Train Loss: 1.9324 | Train Acc: 0.2611
 Site-White_Female             | Train Loss: 1.7721 | Train Acc: 0.3756
 Site-Latino_Hispanic_Male     | Train Loss: 1.7990 | Train Acc: 0.1905
 Site-Latino_Hispanic_Female   | Train Loss: 1.9532 | Train Acc: 0.3115
 Site-Latino_Hispanic_Male     | Train Loss: 1.9647 | Train Acc: 0.2418
 Site-Latino_Hispanic_Female   | Train Loss: 1.7976 | Train Acc: 0.2836
 Site-Latino_Hispanic_Male     | Train Loss: 1.8136 | Train Acc: 0.2335
 Site-Latino_Hispanic_Female   | Train Loss: 1.8950 | Train Acc: 0.2966
 Site-Latino_Hispanic_Male     | Train Loss: 1.8915 | Train Acc: 0.2416
 Site-Black_Female             | Train Loss: 1.8240 | Train Acc: 0.3134
