===2023-08-07 12:58:49===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Val  Loss: 1.1510 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 1.2541 | Val  Acc: 0.9333
 Site-art_painting                  | Val  Loss: 1.2479 | Val  Acc: 0.8077
 Site-art_painting                  | Val  Loss: 1.3623 | Val  Acc: 0.7021
 Site-art_painting                  | Val  Loss: 1.3676 | Val  Acc: 0.7176
 Site-cartoon                       | Val  Loss: 1.5103 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.5521 | Val  Acc: 0.6883
 Site-sketch                        | Val  Loss: 1.8343 | Val  Acc: 0.2308
Average Valid Accuracy: 0.8588
 Best site-photo                     | Epoch:1 | Val Acc: 0.8889
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9630
 Best site-photo                     | Epoch:1 | Val Acc: 0.9714
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9867
 Best site-photo                     | Epoch:1 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:1 | Val Acc: 0.9333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8077
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7021
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7176
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.6883
 Best site-sketch                    | Epoch:1 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/fedsam...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 0.4665 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5759 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.6084 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4114 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5073 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.5354 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.4476 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4692 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4759 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.4717 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 1.1584 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.2187 | Train Acc: 0.7273
 Site-art_painting                  | Train Loss: 1.2195 | Train Acc: 0.7250
 Site-art_painting                  | Train Loss: 1.0351 | Train Acc: 0.8194
