===2023-08-07 09:20:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Val  Loss: 1.1710 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 1.2696 | Val  Acc: 0.9333
 Site-art_painting                  | Val  Loss: 1.2395 | Val  Acc: 0.8077
 Site-art_painting                  | Val  Loss: 1.3491 | Val  Acc: 0.7447
 Site-art_painting                  | Val  Loss: 1.3507 | Val  Acc: 0.6941
 Site-cartoon                       | Val  Loss: 1.5281 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.5368 | Val  Acc: 0.6494
 Site-sketch                        | Val  Loss: 1.8176 | Val  Acc: 0.3333
Average Valid Accuracy: 0.8701
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9630
 Best site-photo                     | Epoch:1 | Val Acc: 0.9714
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9867
 Best site-photo                     | Epoch:1 | Val Acc: 0.9897
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:1 | Val Acc: 0.9333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8077
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7447
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6941
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.7143
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.6494
 Best site-sketch                    | Epoch:1 | Val Acc: 0.3333
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/harmo-fl...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 0.4664 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5765 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.6025 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4098 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.5081 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.5458 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.4445 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4723 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4782 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.4723 | Train Acc: 0.9932
 Site-art_painting                  | Train Loss: 1.1971 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.2724 | Train Acc: 0.6818
 Site-art_painting                  | Train Loss: 1.2303 | Train Acc: 0.6750
 Site-art_painting                  | Train Loss: 1.0361 | Train Acc: 0.8194
 Site-art_painting                  | Train Loss: 1.0755 | Train Acc: 0.8672
 Site-cartoon                       | Train Loss: 1.4445 | Train Acc: 0.5455
 Site-cartoon                       | Train Loss: 1.3767 | Train Acc: 0.6522
 Site-sketch                        | Train Loss: 1.7210 | Train Acc: 0.3276
Average Train Accuracy: 0.8458
 Site-photo                         | Val  Loss: 0.5334 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.6062 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 0.4506 | Val  Acc: 1.0000
