===2023-06-15 14:06:03===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[128,168,220,288,378,144,188,247,323,138,181,238,110,145,174,227,307,234,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[3952,3016,1865,856,1341,1024,781,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Val  Loss: 2.2028 | Val  Acc: 0.0833
 Site-East_Asian                    | Val  Loss: 2.1331 | Val  Acc: 0.1979
 Site-East_Asian                    | Val  Loss: 2.1365 | Val  Acc: 0.2080
 Site-East_Asian                    | Val  Loss: 2.1412 | Val  Acc: 0.2134
 Site-East_Asian                    | Val  Loss: 2.1358 | Val  Acc: 0.2361
 Site-Indian_utk                    | Val  Loss: 2.1762 | Val  Acc: 0.1196
 Site-Indian_utk                    | Val  Loss: 2.1688 | Val  Acc: 0.0992
 Site-Indian_utk                    | Val  Loss: 2.1801 | Val  Acc: 0.1076
 Site-Black_utk                     | Val  Loss: 2.1720 | Val  Acc: 0.1486
 Site-Black_utk                     | Val  Loss: 2.1761 | Val  Acc: 0.1771
 Site-Southeast_Asian               | Val  Loss: 2.1674 | Val  Acc: 0.1379
 Site-Southeast_Asian               | Val  Loss: 2.1629 | Val  Acc: 0.2119
 Site-Latino_Hispanic_ffhq          | Val  Loss: 2.1514 | Val  Acc: 0.2990
 Site-White_ffhq                    | Val  Loss: 2.1434 | Val  Acc: 0.1603
Average Valid Accuracy: 0.1557
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0824
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0625
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1429
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1146
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.0833
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.1979
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.2080
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.2134
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.2361
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.1196
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.0992
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.1076
 Best site-Black_utk                 | Epoch:1 | Val Acc: 0.1486
 Best site-Black_utk                 | Epoch:1 | Val Acc: 0.1771
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.1379
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.2119
 Best site-Latino_Hispanic_ffhq      | Epoch:1 | Val Acc: 0.2990
 Best site-White_ffhq                | Epoch:1 | Val Acc: 0.1603
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_weak_white/fedavg...
============ Train epoch 2 ============
 Site-White_utk                     | Train Loss: 2.1912 | Train Acc: 0.1328
 Site-White_utk                     | Train Loss: 2.1930 | Train Acc: 0.1548
 Site-White_utk                     | Train Loss: 2.1930 | Train Acc: 0.1136
 Site-White_utk                     | Train Loss: 2.1805 | Train Acc: 0.1424
 Site-White_utk                     | Train Loss: 2.1898 | Train Acc: 0.1270
 Site-East_Asian                    | Train Loss: 2.1031 | Train Acc: 0.3333
 Site-East_Asian                    | Train Loss: 2.1145 | Train Acc: 0.3032
 Site-East_Asian                    | Train Loss: 2.1156 | Train Acc: 0.2915
 Site-East_Asian                    | Train Loss: 2.1189 | Train Acc: 0.3096
 Site-Indian_utk                    | Train Loss: 2.1543 | Train Acc: 0.1304
 Site-Indian_utk                    | Train Loss: 2.1558 | Train Acc: 0.2099
 Site-Indian_utk                    | Train Loss: 2.1485 | Train Acc: 0.2059
 Site-Black_utk                     | Train Loss: 2.1656 | Train Acc: 0.2182
 Site-Black_utk                     | Train Loss: 2.1550 | Train Acc: 0.1931
 Site-Southeast_Asian               | Train Loss: 2.1446 | Train Acc: 0.2184
 Site-Southeast_Asian               | Train Loss: 2.1493 | Train Acc: 0.2291
 Site-Latino_Hispanic_ffhq          | Train Loss: 2.0855 | Train Acc: 0.3681
 Site-White_ffhq                    | Train Loss: 2.0910 | Train Acc: 0.3504
Average Train Accuracy: 0.2240
 Site-White_utk                     | Val  Loss: 2.1934 | Val  Acc: 0.0824
 Site-White_utk                     | Val  Loss: 2.1924 | Val  Acc: 0.0982
 Site-White_utk                     | Val  Loss: 2.1751 | Val  Acc: 0.1497
 Site-White_utk                     | Val  Loss: 2.1893 | Val  Acc: 0.1302
 Site-White_utk                     | Val  Loss: 2.1907 | Val  Acc: 0.1429
 Site-East_Asian                    | Val  Loss: 2.0990 | Val  Acc: 0.3333
 Site-East_Asian                    | Val  Loss: 2.1132 | Val  Acc: 0.3280
 Site-East_Asian                    | Val  Loss: 2.1239 | Val  Acc: 0.2378
 Site-East_Asian                    | Val  Loss: 2.1105 | Val  Acc: 0.2778
 Site-Indian_utk                    | Val  Loss: 2.1517 | Val  Acc: 0.2065
 Site-Indian_utk                    | Val  Loss: 2.1328 | Val  Acc: 0.2231
 Site-Indian_utk                    | Val  Loss: 2.1521 | Val  Acc: 0.2025
 Site-Black_utk                     | Val  Loss: 2.1546 | Val  Acc: 0.2162
 Site-Black_utk                     | Val  Loss: 2.1517 | Val  Acc: 0.2396
 Site-Southeast_Asian               | Val  Loss: 2.1488 | Val  Acc: 0.2328
 Site-Southeast_Asian               | Val  Loss: 2.1402 | Val  Acc: 0.2450
 Site-Latino_Hispanic_ffhq          | Val  Loss: 2.1266 | Val  Acc: 0.3775
 Site-White_ffhq                    | Val  Loss: 2.0787 | Val  Acc: 0.3974
Average Valid Accuracy: 0.2289
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.0824
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.0982
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1497
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1302
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1429
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3333
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3280
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.2378
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.2778
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.2065
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.2231
