===2023-06-20 03:56:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 2.2987 | Train Acc: 0.0810
 Site-USPS                          | Train Loss: 2.2952 | Train Acc: 0.0860
 Site-SynthDigits                   | Train Loss: 2.2942 | Train Acc: 0.1325
 Site-SynthDigits                   | Train Loss: 2.3035 | Train Acc: 0.0952
 Site-SynthDigits                   | Train Loss: 2.3099 | Train Acc: 0.1079
 Site-MNIST-M                       | Train Loss: 2.3107 | Train Acc: 0.1105
 Site-MNIST-M                       | Train Loss: 2.3203 | Train Acc: 0.0856
 Site-SVHN                          | Train Loss: 2.2958 | Train Acc: 0.0993
Average Train Accuracy: 0.0976
 Site-MNIST                         | Val  Loss: 2.2298 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3671 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3595 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3752 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3366 | Val  Acc: 0.0588
 Site-MNIST                         | Val  Loss: 2.3099 | Val  Acc: 0.0968
 Site-MNIST                         | Val  Loss: 2.2992 | Val  Acc: 0.1071
 Site-MNIST                         | Val  Loss: 2.3010 | Val  Acc: 0.0686
 Site-MNIST                         | Val  Loss: 2.2990 | Val  Acc: 0.1038
 Site-MNIST                         | Val  Loss: 2.3045 | Val  Acc: 0.0816
 Site-USPS                          | Val  Loss: 2.2245 | Val  Acc: 0.3000
 Site-USPS                          | Val  Loss: 2.2649 | Val  Acc: 0.2778
 Site-USPS                          | Val  Loss: 2.2932 | Val  Acc: 0.1250
 Site-USPS                          | Val  Loss: 2.2893 | Val  Acc: 0.0862
 Site-USPS                          | Val  Loss: 2.2934 | Val  Acc: 0.0667
 Site-USPS                          | Val  Loss: 2.3028 | Val  Acc: 0.0741
 Site-SynthDigits                   | Val  Loss: 2.3074 | Val  Acc: 0.1351
 Site-SynthDigits                   | Val  Loss: 2.3315 | Val  Acc: 0.1029
 Site-SynthDigits                   | Val  Loss: 2.3015 | Val  Acc: 0.0574
 Site-MNIST-M                       | Val  Loss: 2.3167 | Val  Acc: 0.1333
 Site-MNIST-M                       | Val  Loss: 2.3113 | Val  Acc: 0.0988
 Site-SVHN                          | Val  Loss: 2.3140 | Val  Acc: 0.1571
Average Valid Accuracy: 0.0969
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0588
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0968
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1071
