===2023-06-04 18:52:26===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[13,24,43,77,140,252,454,818,1473,2651,80,144,259,467,840,1513,303,547,984,364,655,566,
client_nums=[10,6,3,2,1,]
len_dataset=[7438,4132,2295,1275,708,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                     | Train Loss: 2.0659 | Train Acc: 0.6424
 Site-SynthDigits              | Train Loss: 2.2648 | Train Acc: 0.2013
 Site-SynthDigits              | Train Loss: 2.2569 | Train Acc: 0.1974
 Site-SynthDigits              | Train Loss: 2.2477 | Train Acc: 0.2571
 Site-MNIST-M                  | Train Loss: 2.2823 | Train Acc: 0.1511
 Site-MNIST-M                  | Train Loss: 2.2834 | Train Acc: 0.1313
 Site-SVHN                     | Train Loss: 2.2854 | Train Acc: 0.1166
 Site-MNIST                         | Val  Loss: 2.0993 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.9834 | Val  Acc: 0.8333
 Site-MNIST                         | Val  Loss: 2.0018 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 2.0181 | Val  Acc: 0.6842
 Site-MNIST                         | Val  Loss: 2.0917 | Val  Acc: 0.5429
 Site-MNIST                         | Val  Loss: 2.1042 | Val  Acc: 0.5556
 Site-MNIST                         | Val  Loss: 2.0908 | Val  Acc: 0.5929
 Site-MNIST                         | Val  Loss: 2.0892 | Val  Acc: 0.6176
 Site-MNIST                         | Val  Loss: 2.0962 | Val  Acc: 0.5788
 Site-MNIST                         | Val  Loss: 2.1008 | Val  Acc: 0.5529
 Site-USPS                          | Val  Loss: 2.0608 | Val  Acc: 0.5500
 Site-USPS                          | Val  Loss: 2.0987 | Val  Acc: 0.6111
 Site-USPS                          | Val  Loss: 2.0406 | Val  Acc: 0.6562
 Site-USPS                          | Val  Loss: 2.0671 | Val  Acc: 0.6293
 Site-USPS                          | Val  Loss: 2.0600 | Val  Acc: 0.6429
 Site-USPS                          | Val  Loss: 2.0818 | Val  Acc: 0.6058
 Site-SynthDigits                   | Val  Loss: 2.2498 | Val  Acc: 0.1733
 Site-SynthDigits                   | Val  Loss: 2.2529 | Val  Acc: 0.1838
 Site-SynthDigits                   | Val  Loss: 2.2661 | Val  Acc: 0.1918
 Site-MNIST-M                       | Val  Loss: 2.2752 | Val  Acc: 0.1444
 Site-MNIST-M                       | Val  Loss: 2.2867 | Val  Acc: 0.1656
 Site-SVHN                          | Val  Loss: 2.2795 | Val  Acc: 0.1560
Average Valid Accuracy: 0.4971
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8333
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6842
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5429
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5556
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5929
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6176
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5788
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5529
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5500
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6111
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6562
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6293
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6429
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6058
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1733
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1838
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1918
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.1444
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.1656
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1560
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/drfl...
============ Train epoch 2 ============
 Site-MNIST                    | Train Loss: 2.0167 | Train Acc: 0.6154
 Site-MNIST                    | Train Loss: 1.9862 | Train Acc: 0.7500
 Site-MNIST                    | Train Loss: 1.9619 | Train Acc: 0.7674
 Site-MNIST                    | Train Loss: 1.9556 | Train Acc: 0.7013
 Site-MNIST                    | Train Loss: 1.9713 | Train Acc: 0.7143
 Site-MNIST                    | Train Loss: 1.9876 | Train Acc: 0.6111
 Site-MNIST                    | Train Loss: 2.0107 | Train Acc: 0.6013
 Site-MNIST                    | Train Loss: 1.9913 | Train Acc: 0.6039
 Site-MNIST                    | Train Loss: 1.9893 | Train Acc: 0.6246
 Site-MNIST                    | Train Loss: 1.9935 | Train Acc: 0.6145
 Site-USPS                     | Train Loss: 1.9750 | Train Acc: 0.6250
 Site-USPS                     | Train Loss: 1.9848 | Train Acc: 0.6181
 Site-USPS                     | Train Loss: 1.9881 | Train Acc: 0.5985
 Site-USPS                     | Train Loss: 1.9734 | Train Acc: 0.6745
 Site-USPS                     | Train Loss: 1.9711 | Train Acc: 0.6381
 Site-USPS                     | Train Loss: 1.9622 | Train Acc: 0.6669
 Site-SynthDigits              | Train Loss: 2.2448 | Train Acc: 0.2310
 Site-SynthDigits              | Train Loss: 2.2321 | Train Acc: 0.2230
 Site-SynthDigits              | Train Loss: 2.2240 | Train Acc: 0.2856
 Site-MNIST-M                  | Train Loss: 2.2671 | Train Acc: 0.1648
 Site-MNIST-M                  | Train Loss: 2.2707 | Train Acc: 0.1588
 Site-SVHN                     | Train Loss: 2.2784 | Train Acc: 0.1343
 Site-MNIST                         | Val  Loss: 1.9886 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.8244 | Val  Acc: 0.8333
 Site-MNIST                         | Val  Loss: 1.8657 | Val  Acc: 0.7000
 Site-MNIST                         | Val  Loss: 1.8848 | Val  Acc: 0.7368
 Site-MNIST                         | Val  Loss: 2.0108 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 2.0144 | Val  Acc: 0.6032
 Site-MNIST                         | Val  Loss: 1.9968 | Val  Acc: 0.6195
 Site-MNIST                         | Val  Loss: 1.9920 | Val  Acc: 0.6225
 Site-MNIST                         | Val  Loss: 2.0019 | Val  Acc: 0.5870
 Site-MNIST                         | Val  Loss: 2.0090 | Val  Acc: 0.5876
 Site-USPS                          | Val  Loss: 1.9516 | Val  Acc: 0.6500
 Site-USPS                          | Val  Loss: 1.9967 | Val  Acc: 0.6111
 Site-USPS                          | Val  Loss: 1.9203 | Val  Acc: 0.6875
 Site-USPS                          | Val  Loss: 1.9566 | Val  Acc: 0.7069
 Site-USPS                          | Val  Loss: 1.9522 | Val  Acc: 0.6952
 Site-USPS                          | Val  Loss: 1.9847 | Val  Acc: 0.6349
 Site-SynthDigits                   | Val  Loss: 2.2229 | Val  Acc: 0.2267
 Site-SynthDigits                   | Val  Loss: 2.2255 | Val  Acc: 0.2059
 Site-SynthDigits                   | Val  Loss: 2.2440 | Val  Acc: 0.1959
 Site-MNIST-M                       | Val  Loss: 2.2595 | Val  Acc: 0.2000
 Site-MNIST-M                       | Val  Loss: 2.2717 | Val  Acc: 0.2147
 Site-SVHN                          | Val  Loss: 2.2724 | Val  Acc: 0.1702
Average Valid Accuracy: 0.5343
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8333
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7368
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6032
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6195
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6225
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.5870
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.5876
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6500
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6111
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6875
 Best site-USPS                      | Epoch:2 | Val Acc: 0.7069
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6952
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6349
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.2267
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.2059
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.1959
