===2023-06-16 15:02:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
denominator: 40193.75
 Site-White-5                       | Val  Loss: 2.1824 | Val  Acc: 0.1154
 Site-White-6                       | Val  Loss: 2.1800 | Val  Acc: 0.1026
 Site-White-7                       | Val  Loss: 2.1522 | Val  Acc: 0.2241
 Site-White-8                       | Val  Loss: 2.1661 | Val  Acc: 0.1765
 Site-White-9                       | Val  Loss: 2.1585 | Val  Acc: 0.1440
 Site-Indian-0                      | Val  Loss: 2.2605 | Val  Acc: 0.1250
 Site-Indian-1                      | Val  Loss: 2.1936 | Val  Acc: 0.0833
 Site-Indian-2                      | Val  Loss: 2.1776 | Val  Acc: 0.1667
 Site-Indian-3                      | Val  Loss: 2.1956 | Val  Acc: 0.1481
 Site-Indian-4                      | Val  Loss: 2.1934 | Val  Acc: 0.1500
 Site-Middle_Eastern-0              | Val  Loss: 2.1765 | Val  Acc: 0.0909
 Site-Middle_Eastern-1              | Val  Loss: 2.2145 | Val  Acc: 0.0408
 Site-Black_utk-0                   | Val  Loss: 2.1911 | Val  Acc: 0.1316
Average Valid Accuracy: 0.1353
 Best site-White-0                   | Epoch:1 | Val Acc: 0.3333
 Best site-White-1                   | Epoch:1 | Val Acc: 0.0000
 Best site-White-2                   | Epoch:1 | Val Acc: 0.1250
 Best site-White-3                   | Epoch:1 | Val Acc: 0.1667
 Best site-White-4                   | Epoch:1 | Val Acc: 0.1111
 Best site-White-5                   | Epoch:1 | Val Acc: 0.1154
 Best site-White-6                   | Epoch:1 | Val Acc: 0.1026
 Best site-White-7                   | Epoch:1 | Val Acc: 0.2241
 Best site-White-8                   | Epoch:1 | Val Acc: 0.1765
 Best site-White-9                   | Epoch:1 | Val Acc: 0.1440
 Best site-Indian-0                  | Epoch:1 | Val Acc: 0.1250
 Best site-Indian-1                  | Epoch:1 | Val Acc: 0.0833
 Best site-Indian-2                  | Epoch:1 | Val Acc: 0.1667
 Best site-Indian-3                  | Epoch:1 | Val Acc: 0.1481
 Best site-Indian-4                  | Epoch:1 | Val Acc: 0.1500
 Best site-Middle_Eastern-0          | Epoch:1 | Val Acc: 0.0909
 Best site-Middle_Eastern-1          | Epoch:1 | Val Acc: 0.0408
 Best site-Black_utk-0               | Epoch:1 | Val Acc: 0.1316
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/q-ffl...
============ Train epoch 2 ============
denominator: 39068.65625
 Site-White-0                       | Train Loss: 2.1324 | Train Acc: 0.2222
 Site-White-1                       | Train Loss: 2.1540 | Train Acc: 0.1538
 Site-White-2                       | Train Loss: 2.1340 | Train Acc: 0.1724
 Site-White-3                       | Train Loss: 2.1305 | Train Acc: 0.2558
 Site-White-4                       | Train Loss: 2.1358 | Train Acc: 0.2578
 Site-White-5                       | Train Loss: 2.1381 | Train Acc: 0.1755
 Site-White-6                       | Train Loss: 2.1396 | Train Acc: 0.2383
 Site-White-7                       | Train Loss: 2.1385 | Train Acc: 0.2310
 Site-White-8                       | Train Loss: 2.1336 | Train Acc: 0.2120
 Site-White-9                       | Train Loss: 2.1265 | Train Acc: 0.2406
 Site-Indian-0                      | Train Loss: 2.1814 | Train Acc: 0.1167
 Site-Indian-1                      | Train Loss: 2.1603 | Train Acc: 0.1685
 Site-Indian-2                      | Train Loss: 2.2020 | Train Acc: 0.1667
 Site-Indian-3                      | Train Loss: 2.1701 | Train Acc: 0.1546
 Site-Indian-4                      | Train Loss: 2.1727 | Train Acc: 0.1719
 Site-Middle_Eastern-0              | Train Loss: 2.1449 | Train Acc: 0.2383
 Site-Middle_Eastern-1              | Train Loss: 2.1448 | Train Acc: 0.2248
 Site-Black_utk-0                   | Train Loss: 2.1698 | Train Acc: 0.1296
Average Train Accuracy: 0.1961
 Site-White-0                       | Val  Loss: 2.1101 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 2.0985 | Val  Acc: 0.4000
 Site-White-2                       | Val  Loss: 2.1261 | Val  Acc: 0.3750
 Site-White-3                       | Val  Loss: 2.1186 | Val  Acc: 0.2500
 Site-White-4                       | Val  Loss: 2.1240 | Val  Acc: 0.2778
