===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-6                       | Val  Loss: 1.9289 | Val  Acc: 0.3590
 Site-White-7                       | Val  Loss: 1.8763 | Val  Acc: 0.3103
 Site-White-8                       | Val  Loss: 1.8608 | Val  Acc: 0.3765
 Site-White-9                       | Val  Loss: 1.7131 | Val  Acc: 0.3040
 Site-Indian-0                      | Val  Loss: 2.8135 | Val  Acc: 0.1250
 Site-Indian-1                      | Val  Loss: 2.5931 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.1027 | Val  Acc: 0.3333
 Site-Indian-3                      | Val  Loss: 2.1266 | Val  Acc: 0.2963
 Site-Indian-4                      | Val  Loss: 2.1508 | Val  Acc: 0.2500
 Site-Middle_Eastern-0              | Val  Loss: 2.0500 | Val  Acc: 0.2121
 Site-Middle_Eastern-1              | Val  Loss: 2.0860 | Val  Acc: 0.2857
 Site-Black_utk-0                   | Val  Loss: 1.8024 | Val  Acc: 0.3158
Average Valid Accuracy: 0.2647
 Best site-White-0                   | Epoch:1 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:1 | Val Acc: 0.4000
 Best site-White-2                   | Epoch:1 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:1 | Val Acc: 0.2500
 Best site-White-4                   | Epoch:1 | Val Acc: 0.3889
 Best site-White-5                   | Epoch:1 | Val Acc: 0.3077
 Best site-White-6                   | Epoch:1 | Val Acc: 0.3590
 Best site-White-7                   | Epoch:1 | Val Acc: 0.3103
 Best site-White-8                   | Epoch:1 | Val Acc: 0.3765
 Best site-White-9                   | Epoch:1 | Val Acc: 0.3040
 Best site-Indian-0                  | Epoch:1 | Val Acc: 0.1250
 Best site-Indian-1                  | Epoch:1 | Val Acc: 0.0000
 Best site-Indian-2                  | Epoch:1 | Val Acc: 0.3333
 Best site-Indian-3                  | Epoch:1 | Val Acc: 0.2963
 Best site-Indian-4                  | Epoch:1 | Val Acc: 0.2500
 Best site-Middle_Eastern-0          | Epoch:1 | Val Acc: 0.2121
 Best site-Middle_Eastern-1          | Epoch:1 | Val Acc: 0.2857
 Best site-Black_utk-0               | Epoch:1 | Val Acc: 0.3158
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/CoCoOP...
============ Train epoch 2 ============
 Site-White-0                       | Train Loss: 1.8107 | Train Acc: 0.2593
 Site-White-1                       | Train Loss: 1.7295 | Train Acc: 0.3846
 Site-White-2                       | Train Loss: 1.8009 | Train Acc: 0.2759
 Site-White-3                       | Train Loss: 1.7347 | Train Acc: 0.3256
 Site-White-4                       | Train Loss: 1.7410 | Train Acc: 0.3438
 Site-White-5                       | Train Loss: 1.7364 | Train Acc: 0.3351
 Site-White-6                       | Train Loss: 1.7020 | Train Acc: 0.3502
 Site-White-7                       | Train Loss: 1.6686 | Train Acc: 0.3710
 Site-White-8                       | Train Loss: 1.6808 | Train Acc: 0.3790
 Site-White-9                       | Train Loss: 1.6830 | Train Acc: 0.3632
 Site-Indian-0                      | Train Loss: 1.9005 | Train Acc: 0.3000
 Site-Indian-1                      | Train Loss: 1.9487 | Train Acc: 0.2921
 Site-Indian-2                      | Train Loss: 1.8714 | Train Acc: 0.2955
 Site-Indian-3                      | Train Loss: 1.9344 | Train Acc: 0.2526
 Site-Indian-4                      | Train Loss: 1.9429 | Train Acc: 0.2877
 Site-Middle_Eastern-0              | Train Loss: 1.8589 | Train Acc: 0.2723
 Site-Middle_Eastern-1              | Train Loss: 1.8490 | Train Acc: 0.2997
 Site-Black_utk-0                   | Train Loss: 1.8589 | Train Acc: 0.2852
Average Train Accuracy: 0.3151
