===2023-06-16 12:56:37===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-6                       | Val  Loss: 2.1272 | Val  Acc: 0.1538
 Site-White-7                       | Val  Loss: 2.1030 | Val  Acc: 0.2414
 Site-White-8                       | Val  Loss: 2.1227 | Val  Acc: 0.2471
 Site-White-9                       | Val  Loss: 2.0965 | Val  Acc: 0.3200
 Site-Indian-0                      | Val  Loss: 2.2748 | Val  Acc: 0.0000
 Site-Indian-1                      | Val  Loss: 2.2020 | Val  Acc: 0.0833
 Site-Indian-2                      | Val  Loss: 2.1463 | Val  Acc: 0.1667
 Site-Indian-3                      | Val  Loss: 2.1647 | Val  Acc: 0.1481
 Site-Indian-4                      | Val  Loss: 2.1728 | Val  Acc: 0.2250
 Site-Middle_Eastern-0              | Val  Loss: 2.1385 | Val  Acc: 0.1515
 Site-Middle_Eastern-1              | Val  Loss: 2.1855 | Val  Acc: 0.1224
 Site-Black_utk-0                   | Val  Loss: 2.1506 | Val  Acc: 0.1579
Average Valid Accuracy: 0.2043
 Best site-White-0                   | Epoch:1 | Val Acc: 0.3333
 Best site-White-1                   | Epoch:1 | Val Acc: 0.6000
 Best site-White-2                   | Epoch:1 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:1 | Val Acc: 0.2500
 Best site-White-4                   | Epoch:1 | Val Acc: 0.1111
 Best site-White-5                   | Epoch:1 | Val Acc: 0.1154
 Best site-White-6                   | Epoch:1 | Val Acc: 0.1538
 Best site-White-7                   | Epoch:1 | Val Acc: 0.2414
 Best site-White-8                   | Epoch:1 | Val Acc: 0.2471
 Best site-White-9                   | Epoch:1 | Val Acc: 0.3200
 Best site-Indian-0                  | Epoch:1 | Val Acc: 0.0000
 Best site-Indian-1                  | Epoch:1 | Val Acc: 0.0833
 Best site-Indian-2                  | Epoch:1 | Val Acc: 0.1667
 Best site-Indian-3                  | Epoch:1 | Val Acc: 0.1481
 Best site-Indian-4                  | Epoch:1 | Val Acc: 0.2250
 Best site-Middle_Eastern-0          | Epoch:1 | Val Acc: 0.1515
 Best site-Middle_Eastern-1          | Epoch:1 | Val Acc: 0.1224
 Best site-Black_utk-0               | Epoch:1 | Val Acc: 0.1579
