===2023-08-10 17:21:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Val  Loss: 1.9383 | Val  Acc: 0.1250
 Site-art_painting                  | Val  Loss: 1.8998 | Val  Acc: 0.3333
 Site-art_painting                  | Val  Loss: 1.9357 | Val  Acc: 0.3077
 Site-art_painting                  | Val  Loss: 1.9097 | Val  Acc: 0.2979
 Site-art_painting                  | Val  Loss: 1.9315 | Val  Acc: 0.1529
 Site-cartoon                       | Val  Loss: 1.8829 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.9159 | Val  Acc: 0.2597
 Site-sketch                        | Val  Loss: 1.9513 | Val  Acc: 0.1795
Average Valid Accuracy: 0.3371
 Best site-photo                     | Epoch:1 | Val Acc: 0.2222
 Best site-photo                     | Epoch:1 | Val Acc: 0.5000
 Best site-photo                     | Epoch:1 | Val Acc: 0.2500
 Best site-photo                     | Epoch:1 | Val Acc: 0.4762
 Best site-photo                     | Epoch:1 | Val Acc: 0.2593
 Best site-photo                     | Epoch:1 | Val Acc: 0.4857
 Best site-photo                     | Epoch:1 | Val Acc: 0.4667
 Best site-photo                     | Epoch:1 | Val Acc: 0.4655
 Best site-photo                     | Epoch:1 | Val Acc: 0.4667
 Best site-photo                     | Epoch:1 | Val Acc: 0.3918
 Best site-art_painting              | Epoch:1 | Val Acc: 0.1250
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3077
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2979
 Best site-art_painting              | Epoch:1 | Val Acc: 0.1529
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.2597
 Best site-sketch                    | Epoch:1 | Val Acc: 0.1795
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedavg...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 1.7502 | Train Acc: 0.8571
 Site-photo                         | Train Loss: 1.7797 | Train Acc: 0.6667
 Site-photo                         | Train Loss: 1.7869 | Train Acc: 0.6250
 Site-photo                         | Train Loss: 1.7679 | Train Acc: 0.8387
 Site-photo                         | Train Loss: 1.7660 | Train Acc: 0.7500
 Site-photo                         | Train Loss: 1.7773 | Train Acc: 0.6923
 Site-photo                         | Train Loss: 1.7703 | Train Acc: 0.8382
 Site-photo                         | Train Loss: 1.7477 | Train Acc: 0.7386
 Site-photo                         | Train Loss: 1.7771 | Train Acc: 0.6283
 Site-photo                         | Train Loss: 1.7631 | Train Acc: 0.6575
 Site-art_painting                  | Train Loss: 1.9029 | Train Acc: 0.2500
 Site-art_painting                  | Train Loss: 1.8968 | Train Acc: 0.3182
 Site-art_painting                  | Train Loss: 1.8987 | Train Acc: 0.3000
 Site-art_painting                  | Train Loss: 1.8633 | Train Acc: 0.2917
 Site-art_painting                  | Train Loss: 1.8840 | Train Acc: 0.2969
 Site-cartoon                       | Train Loss: 1.8528 | Train Acc: 0.4545
 Site-cartoon                       | Train Loss: 1.8847 | Train Acc: 0.3391
 Site-sketch                        | Train Loss: 1.9491 | Train Acc: 0.1724
Average Train Accuracy: 0.5397
 Site-photo                         | Val  Loss: 1.8706 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8351 | Val  Acc: 0.4167
 Site-photo                         | Val  Loss: 1.7861 | Val  Acc: 0.6875
 Site-photo                         | Val  Loss: 1.7428 | Val  Acc: 0.7143
 Site-photo                         | Val  Loss: 1.7840 | Val  Acc: 0.6296
 Site-photo                         | Val  Loss: 1.7623 | Val  Acc: 0.6857
 Site-photo                         | Val  Loss: 1.7502 | Val  Acc: 0.6667
 Site-photo                         | Val  Loss: 1.7551 | Val  Acc: 0.7414
 Site-photo                         | Val  Loss: 1.7692 | Val  Acc: 0.7333
 Site-photo                         | Val  Loss: 1.7627 | Val  Acc: 0.6907
 Site-art_painting                  | Val  Loss: 1.9263 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.8655 | Val  Acc: 0.4000
 Site-art_painting                  | Val  Loss: 1.8753 | Val  Acc: 0.4615
 Site-art_painting                  | Val  Loss: 1.8825 | Val  Acc: 0.4043
 Site-art_painting                  | Val  Loss: 1.9062 | Val  Acc: 0.3294
 Site-cartoon                       | Val  Loss: 1.8772 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.8941 | Val  Acc: 0.3506
 Site-sketch                        | Val  Loss: 1.9481 | Val  Acc: 0.2051
Average Valid Accuracy: 0.5133
 Best site-photo                     | Epoch:2 | Val Acc: 0.4444
 Best site-photo                     | Epoch:2 | Val Acc: 0.4167
 Best site-photo                     | Epoch:2 | Val Acc: 0.6875
 Best site-photo                     | Epoch:2 | Val Acc: 0.7143
 Best site-photo                     | Epoch:2 | Val Acc: 0.6296
 Best site-photo                     | Epoch:2 | Val Acc: 0.6857
 Best site-photo                     | Epoch:2 | Val Acc: 0.6667
 Best site-photo                     | Epoch:2 | Val Acc: 0.7414
 Best site-photo                     | Epoch:2 | Val Acc: 0.7333
 Best site-photo                     | Epoch:2 | Val Acc: 0.6907
 Best site-art_painting              | Epoch:2 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4000
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4615
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4043
 Best site-art_painting              | Epoch:2 | Val Acc: 0.3294
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.3506
 Best site-sketch                    | Epoch:2 | Val Acc: 0.2051
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_0/fedavg...
============ Train epoch 3 ============
 Site-photo                         | Train Loss: 1.6780 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.7242 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.7153 | Train Acc: 0.8750
 Site-photo                         | Train Loss: 1.7165 | Train Acc: 0.9355
 Site-photo                         | Train Loss: 1.7099 | Train Acc: 0.7750
 Site-photo                         | Train Loss: 1.7148 | Train Acc: 0.7692
 Site-photo                         | Train Loss: 1.6269 | Train Acc: 0.8824
 Site-photo                         | Train Loss: 1.6767 | Train Acc: 0.8409
 Site-photo                         | Train Loss: 1.7053 | Train Acc: 0.8053
 Site-photo                         | Train Loss: 1.7115 | Train Acc: 0.8014
