===2023-07-26 17:11:37===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
denominator: 69451.8828125
 Site-Clipart                       | Train Loss: 2.1752 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.2817 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2687 | Train Acc: 0.0588
 Site-Clipart                       | Train Loss: 2.2685 | Train Acc: 0.1786
 Site-Clipart                       | Train Loss: 2.2910 | Train Acc: 0.0889
 Site-Clipart                       | Train Loss: 2.2272 | Train Acc: 0.2222
 Site-Clipart                       | Train Loss: 2.2782 | Train Acc: 0.1207
 Site-Clipart                       | Train Loss: 2.2637 | Train Acc: 0.1828
 Site-Clipart                       | Train Loss: 2.2732 | Train Acc: 0.1477
 Site-Clipart                       | Train Loss: 2.2789 | Train Acc: 0.1405
 Site-Real                          | Train Loss: 2.2494 | Train Acc: 0.3333
 Site-Real                          | Train Loss: 2.2722 | Train Acc: 0.1379
 Site-Real                          | Train Loss: 2.2626 | Train Acc: 0.1957
 Site-Real                          | Train Loss: 2.2627 | Train Acc: 0.2297
 Site-Real                          | Train Loss: 2.2677 | Train Acc: 0.1849
 Site-Real                          | Train Loss: 2.2608 | Train Acc: 0.2356
 Site-Real                          | Train Loss: 2.2633 | Train Acc: 0.1895
 Site-Painting                      | Train Loss: 2.2720 | Train Acc: 0.1887
 Site-Painting                      | Train Loss: 2.2603 | Train Acc: 0.2235
 Site-Painting                      | Train Loss: 2.2985 | Train Acc: 0.1691
 Site-Painting                      | Train Loss: 2.2649 | Train Acc: 0.2074
 Site-Sketch                        | Train Loss: 2.2691 | Train Acc: 0.2034
 Site-Sketch                        | Train Loss: 2.2556 | Train Acc: 0.1789
 Site-Sketch                        | Train Loss: 2.2721 | Train Acc: 0.1645
 Site-QuickDraw                     | Train Loss: 2.3234 | Train Acc: 0.0959
 Site-QuickDraw                     | Train Loss: 2.3373 | Train Acc: 0.0932
 Site-Infograph                     | Train Loss: 2.2873 | Train Acc: 0.1083
Average Train Accuracy: 0.1742
 Site-Clipart                       | Val  Loss: 2.1691 | Val  Acc: 0.5000
 Site-Clipart                       | Val  Loss: 2.2074 | Val  Acc: 0.0000
 Site-Clipart                       | Val  Loss: 2.2651 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2809 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.3124 | Val  Acc: 0.0667
 Site-Clipart                       | Val  Loss: 2.3142 | Val  Acc: 0.1042
 Site-Clipart                       | Val  Loss: 2.2968 | Val  Acc: 0.1169
 Site-Clipart                       | Val  Loss: 2.2840 | Val  Acc: 0.1129
 Site-Clipart                       | Val  Loss: 2.2587 | Val  Acc: 0.1616
 Site-Clipart                       | Val  Loss: 2.2702 | Val  Acc: 0.1792
 Site-Real                          | Val  Loss: 2.2466 | Val  Acc: 0.3333
 Site-Real                          | Val  Loss: 2.2650 | Val  Acc: 0.1579
 Site-Real                          | Val  Loss: 2.2654 | Val  Acc: 0.1613
 Site-Real                          | Val  Loss: 2.2700 | Val  Acc: 0.2041
 Site-Real                          | Val  Loss: 2.2896 | Val  Acc: 0.2025
 Site-Real                          | Val  Loss: 2.2548 | Val  Acc: 0.2598
 Site-Real                          | Val  Loss: 2.2606 | Val  Acc: 0.2647
 Site-Painting                      | Val  Loss: 2.2538 | Val  Acc: 0.1714
 Site-Painting                      | Val  Loss: 2.2654 | Val  Acc: 0.1250
 Site-Painting                      | Val  Loss: 2.2826 | Val  Acc: 0.1333
 Site-Painting                      | Val  Loss: 2.2855 | Val  Acc: 0.1034
 Site-Sketch                        | Val  Loss: 2.3076 | Val  Acc: 0.1282
 Site-Sketch                        | Val  Loss: 2.2842 | Val  Acc: 0.1746
 Site-Sketch                        | Val  Loss: 2.2681 | Val  Acc: 0.1881
 Site-QuickDraw                     | Val  Loss: 2.3386 | Val  Acc: 0.0816
 Site-QuickDraw                     | Val  Loss: 2.3462 | Val  Acc: 0.1026
 Site-Infograph                     | Val  Loss: 2.2916 | Val  Acc: 0.1625
Average Valid Accuracy: 0.1717
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.5000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1042
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1169
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1129
