===2023-07-26 15:48:58===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1900 | Train Acc: 0.5000
 Site-Clipart                       | Train Loss: 2.2607 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.1898 | Train Acc: 0.4118
 Site-Clipart                       | Train Loss: 2.1827 | Train Acc: 0.3214
 Site-Clipart                       | Train Loss: 2.1879 | Train Acc: 0.4000
 Site-Clipart                       | Train Loss: 2.2441 | Train Acc: 0.4722
 Site-Clipart                       | Train Loss: 2.1967 | Train Acc: 0.3621
 Site-Clipart                       | Train Loss: 2.2092 | Train Acc: 0.3871
 Site-Clipart                       | Train Loss: 2.2095 | Train Acc: 0.3289
 Site-Clipart                       | Train Loss: 2.1951 | Train Acc: 0.3438
 Site-Real                          | Train Loss: 2.2127 | Train Acc: 0.5556
 Site-Real                          | Train Loss: 2.1807 | Train Acc: 0.6207
 Site-Real                          | Train Loss: 2.2073 | Train Acc: 0.4565
 Site-Real                          | Train Loss: 2.2050 | Train Acc: 0.4324
 Site-Real                          | Train Loss: 2.1897 | Train Acc: 0.5042
 Site-Real                          | Train Loss: 2.1829 | Train Acc: 0.5759
 Site-Real                          | Train Loss: 2.1910 | Train Acc: 0.4935
 Site-Painting                      | Train Loss: 2.2202 | Train Acc: 0.3585
 Site-Painting                      | Train Loss: 2.1929 | Train Acc: 0.4471
 Site-Painting                      | Train Loss: 2.1929 | Train Acc: 0.3456
 Site-Painting                      | Train Loss: 2.1945 | Train Acc: 0.3917
 Site-Sketch                        | Train Loss: 2.2040 | Train Acc: 0.2881
 Site-Sketch                        | Train Loss: 2.2306 | Train Acc: 0.2947
 Site-Sketch                        | Train Loss: 2.2305 | Train Acc: 0.3224
 Site-QuickDraw                     | Train Loss: 2.2830 | Train Acc: 0.0959
 Site-QuickDraw                     | Train Loss: 2.2710 | Train Acc: 0.1186
 Site-Infograph                     | Train Loss: 2.2898 | Train Acc: 0.2000
Average Train Accuracy: 0.3782
 Site-Clipart                       | Val  Loss: 2.1260 | Val  Acc: 0.7500
 Site-Clipart                       | Val  Loss: 2.1154 | Val  Acc: 0.4286
 Site-Clipart                       | Val  Loss: 2.2152 | Val  Acc: 0.4545
 Site-Clipart                       | Val  Loss: 2.1916 | Val  Acc: 0.4444
 Site-Clipart                       | Val  Loss: 2.1817 | Val  Acc: 0.4000
 Site-Clipart                       | Val  Loss: 2.1848 | Val  Acc: 0.3750
 Site-Clipart                       | Val  Loss: 2.1883 | Val  Acc: 0.3766
 Site-Clipart                       | Val  Loss: 2.2084 | Val  Acc: 0.3145
 Site-Clipart                       | Val  Loss: 2.2082 | Val  Acc: 0.3232
 Site-Clipart                       | Val  Loss: 2.2184 | Val  Acc: 0.3176
 Site-Real                          | Val  Loss: 2.2021 | Val  Acc: 0.3333
 Site-Real                          | Val  Loss: 2.1963 | Val  Acc: 0.4737
 Site-Real                          | Val  Loss: 2.1814 | Val  Acc: 0.5806
 Site-Real                          | Val  Loss: 2.1867 | Val  Acc: 0.5306
 Site-Real                          | Val  Loss: 2.1881 | Val  Acc: 0.5190
 Site-Real                          | Val  Loss: 2.1722 | Val  Acc: 0.5669
