===2023-07-26 21:15:00===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.4725 | Train Acc: 0.8333
 Site-Clipart                       | Train Loss: 1.7140 | Train Acc: 0.6364
 Site-Clipart                       | Train Loss: 1.3885 | Train Acc: 0.8824
 Site-Clipart                       | Train Loss: 1.5620 | Train Acc: 0.7143
 Site-Clipart                       | Train Loss: 1.5182 | Train Acc: 0.8222
 Site-Clipart                       | Train Loss: 1.4792 | Train Acc: 0.8194
 Site-Clipart                       | Train Loss: 1.4650 | Train Acc: 0.8103
 Site-Clipart                       | Train Loss: 1.5503 | Train Acc: 0.7742
 Site-Clipart                       | Train Loss: 1.4872 | Train Acc: 0.8121
 Site-Clipart                       | Train Loss: 1.5019 | Train Acc: 0.8050
 Site-Real                          | Train Loss: 1.4681 | Train Acc: 0.8333
 Site-Real                          | Train Loss: 1.4227 | Train Acc: 0.8621
 Site-Real                          | Train Loss: 1.3117 | Train Acc: 0.9565
 Site-Real                          | Train Loss: 1.3330 | Train Acc: 0.9054
 Site-Real                          | Train Loss: 1.3011 | Train Acc: 0.9328
 Site-Real                          | Train Loss: 1.2876 | Train Acc: 0.9319
 Site-Real                          | Train Loss: 1.3410 | Train Acc: 0.9314
 Site-Painting                      | Train Loss: 1.5772 | Train Acc: 0.7925
 Site-Painting                      | Train Loss: 1.4480 | Train Acc: 0.8353
 Site-Painting                      | Train Loss: 1.5067 | Train Acc: 0.7794
 Site-Painting                      | Train Loss: 1.4759 | Train Acc: 0.8203
 Site-Sketch                        | Train Loss: 1.4678 | Train Acc: 0.7458
 Site-Sketch                        | Train Loss: 1.6208 | Train Acc: 0.6737
 Site-Sketch                        | Train Loss: 1.5652 | Train Acc: 0.6908
 Site-QuickDraw                     | Train Loss: 2.1654 | Train Acc: 0.2329
 Site-QuickDraw                     | Train Loss: 2.1805 | Train Acc: 0.2881
 Site-Infograph                     | Train Loss: 2.1018 | Train Acc: 0.3250
Average Train Accuracy: 0.7573
 Site-Clipart                       | Val  Loss: 1.1133 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 1.2445 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 1.4533 | Val  Acc: 0.9091
 Site-Clipart                       | Val  Loss: 1.4345 | Val  Acc: 0.8889
 Site-Clipart                       | Val  Loss: 1.5302 | Val  Acc: 0.7667
 Site-Clipart                       | Val  Loss: 1.5214 | Val  Acc: 0.7917
 Site-Clipart                       | Val  Loss: 1.5240 | Val  Acc: 0.7792
 Site-Clipart                       | Val  Loss: 1.5212 | Val  Acc: 0.7903
 Site-Clipart                       | Val  Loss: 1.4282 | Val  Acc: 0.8232
 Site-Clipart                       | Val  Loss: 1.5297 | Val  Acc: 0.7956
 Site-Real                          | Val  Loss: 1.2156 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 1.2646 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 1.3116 | Val  Acc: 0.9032
 Site-Real                          | Val  Loss: 1.3089 | Val  Acc: 0.9388
 Site-Real                          | Val  Loss: 1.3015 | Val  Acc: 0.9241
 Site-Real                          | Val  Loss: 1.2798 | Val  Acc: 0.9528
 Site-Real                          | Val  Loss: 1.2733 | Val  Acc: 0.9461
 Site-Painting                      | Val  Loss: 1.5225 | Val  Acc: 0.7714
 Site-Painting                      | Val  Loss: 1.4118 | Val  Acc: 0.8393
 Site-Painting                      | Val  Loss: 1.3904 | Val  Acc: 0.8222
 Site-Painting                      | Val  Loss: 1.4857 | Val  Acc: 0.7655
 Site-Sketch                        | Val  Loss: 1.6080 | Val  Acc: 0.6923
