===2023-07-27 17:16:34===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2321 | Train Acc: 0.3304
 Site-Clipart                       | Train Loss: 2.2186 | Train Acc: 0.4720
 Site-Clipart                       | Train Loss: 2.2109 | Train Acc: 0.3733
 Site-Clipart                       | Train Loss: 2.2168 | Train Acc: 0.3544
 Site-Clipart                       | Train Loss: 2.2147 | Train Acc: 0.3869
 Site-Real                          | Train Loss: 2.1992 | Train Acc: 0.4683
 Site-Real                          | Train Loss: 2.1901 | Train Acc: 0.5198
 Site-Real                          | Train Loss: 2.1831 | Train Acc: 0.5645
 Site-Real                          | Train Loss: 2.1946 | Train Acc: 0.4885
 Site-Painting                      | Train Loss: 2.2061 | Train Acc: 0.4558
 Site-Painting                      | Train Loss: 2.2282 | Train Acc: 0.3883
 Site-Painting                      | Train Loss: 2.2063 | Train Acc: 0.4187
 Site-Sketch                        | Train Loss: 2.2090 | Train Acc: 0.3717
 Site-Sketch                        | Train Loss: 2.2222 | Train Acc: 0.3670
 Site-QuickDraw                     | Train Loss: 2.3096 | Train Acc: 0.0795
 Site-Infograph                     | Train Loss: 2.2702 | Train Acc: 0.1923
Average Train Accuracy: 0.3895
 Site-Clipart                       | Val  Loss: 2.2103 | Val  Acc: 0.3816
 Site-Clipart                       | Val  Loss: 2.2269 | Val  Acc: 0.3551
 Site-Clipart                       | Val  Loss: 2.2300 | Val  Acc: 0.3400
 Site-Clipart                       | Val  Loss: 2.2047 | Val  Acc: 0.4143
 Site-Clipart                       | Val  Loss: 2.2138 | Val  Acc: 0.3831
 Site-Real                          | Val  Loss: 2.2004 | Val  Acc: 0.4405
 Site-Real                          | Val  Loss: 2.1868 | Val  Acc: 0.5424
 Site-Real                          | Val  Loss: 2.1826 | Val  Acc: 0.5152
 Site-Real                          | Val  Loss: 2.1850 | Val  Acc: 0.5671
 Site-Painting                      | Val  Loss: 2.2151 | Val  Acc: 0.4796
 Site-Painting                      | Val  Loss: 2.1860 | Val  Acc: 0.4161
 Site-Painting                      | Val  Loss: 2.2141 | Val  Acc: 0.3854
 Site-Sketch                        | Val  Loss: 2.2141 | Val  Acc: 0.3071
 Site-Sketch                        | Val  Loss: 2.2119 | Val  Acc: 0.3596
 Site-QuickDraw                     | Val  Loss: 2.3153 | Val  Acc: 0.1055
 Site-Infograph                     | Val  Loss: 2.2619 | Val  Acc: 0.1987
Average Valid Accuracy: 0.3869
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3816
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3551
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3400
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4143
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3831
 Best site-Real                      | Epoch:0 | Val Acc: 0.4405
 Best site-Real                      | Epoch:0 | Val Acc: 0.5424
 Best site-Real                      | Epoch:0 | Val Acc: 0.5152
 Best site-Real                      | Epoch:0 | Val Acc: 0.5671
