===2023-07-27 22:25:30===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1858 | Train Acc: 0.4696
 Site-Clipart                       | Train Loss: 2.1648 | Train Acc: 0.4472
 Site-Clipart                       | Train Loss: 2.2107 | Train Acc: 0.3644
 Site-Clipart                       | Train Loss: 2.1904 | Train Acc: 0.3861
 Site-Clipart                       | Train Loss: 2.1856 | Train Acc: 0.4095
 Site-Real                          | Train Loss: 2.1867 | Train Acc: 0.5317
 Site-Real                          | Train Loss: 2.1694 | Train Acc: 0.5989
 Site-Real                          | Train Loss: 2.1621 | Train Acc: 0.5927
 Site-Real                          | Train Loss: 2.1739 | Train Acc: 0.5287
 Site-Painting                      | Train Loss: 2.1686 | Train Acc: 0.4966
 Site-Painting                      | Train Loss: 2.1750 | Train Acc: 0.4417
 Site-Painting                      | Train Loss: 2.1766 | Train Acc: 0.4533
 Site-Sketch                        | Train Loss: 2.2016 | Train Acc: 0.4031
 Site-Sketch                        | Train Loss: 2.2020 | Train Acc: 0.3745
 Site-QuickDraw                     | Train Loss: 2.2782 | Train Acc: 0.1254
 Site-Infograph                     | Train Loss: 2.2887 | Train Acc: 0.1923
Average Train Accuracy: 0.4260
 Site-Clipart                       | Val  Loss: 2.1468 | Val  Acc: 0.4868
 Site-Clipart                       | Val  Loss: 2.1738 | Val  Acc: 0.3832
 Site-Clipart                       | Val  Loss: 2.1799 | Val  Acc: 0.3933
 Site-Clipart                       | Val  Loss: 2.1944 | Val  Acc: 0.3714
 Site-Clipart                       | Val  Loss: 2.2024 | Val  Acc: 0.3864
 Site-Real                          | Val  Loss: 2.1596 | Val  Acc: 0.5119
 Site-Real                          | Val  Loss: 2.1742 | Val  Acc: 0.5678
 Site-Real                          | Val  Loss: 2.1705 | Val  Acc: 0.5455
 Site-Real                          | Val  Loss: 2.1612 | Val  Acc: 0.6190
 Site-Painting                      | Val  Loss: 2.1528 | Val  Acc: 0.5306
 Site-Painting                      | Val  Loss: 2.1363 | Val  Acc: 0.4964
 Site-Painting                      | Val  Loss: 2.1884 | Val  Acc: 0.3958
 Site-Sketch                        | Val  Loss: 2.1899 | Val  Acc: 0.3937
 Site-Sketch                        | Val  Loss: 2.2068 | Val  Acc: 0.3708
 Site-QuickDraw                     | Val  Loss: 2.2799 | Val  Acc: 0.0917
 Site-Infograph                     | Val  Loss: 2.2575 | Val  Acc: 0.2372
Average Valid Accuracy: 0.4239
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4868
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3832
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3933
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3714
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3864
 Best site-Real                      | Epoch:0 | Val Acc: 0.5119
 Best site-Real                      | Epoch:0 | Val Acc: 0.5678
 Best site-Real                      | Epoch:0 | Val Acc: 0.5455
