===2023-07-27 19:07:14===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1872 | Train Acc: 0.4696
 Site-Clipart                       | Train Loss: 2.1665 | Train Acc: 0.4472
 Site-Clipart                       | Train Loss: 2.2120 | Train Acc: 0.3600
 Site-Clipart                       | Train Loss: 2.1919 | Train Acc: 0.3829
 Site-Clipart                       | Train Loss: 2.1872 | Train Acc: 0.4027
 Site-Real                          | Train Loss: 2.1885 | Train Acc: 0.5317
 Site-Real                          | Train Loss: 2.1714 | Train Acc: 0.5876
 Site-Real                          | Train Loss: 2.1640 | Train Acc: 0.5887
 Site-Real                          | Train Loss: 2.1758 | Train Acc: 0.5259
 Site-Painting                      | Train Loss: 2.1700 | Train Acc: 0.4898
 Site-Painting                      | Train Loss: 2.1765 | Train Acc: 0.4320
 Site-Painting                      | Train Loss: 2.1780 | Train Acc: 0.4498
 Site-Sketch                        | Train Loss: 2.2029 | Train Acc: 0.3979
 Site-Sketch                        | Train Loss: 2.2034 | Train Acc: 0.3745
 Site-QuickDraw                     | Train Loss: 2.2786 | Train Acc: 0.1223
 Site-Infograph                     | Train Loss: 2.2888 | Train Acc: 0.1923
Average Train Accuracy: 0.4222
 Site-Clipart                       | Val  Loss: 2.1489 | Val  Acc: 0.4737
 Site-Clipart                       | Val  Loss: 2.1755 | Val  Acc: 0.3832
 Site-Clipart                       | Val  Loss: 2.1814 | Val  Acc: 0.3867
 Site-Clipart                       | Val  Loss: 2.1958 | Val  Acc: 0.3714
 Site-Clipart                       | Val  Loss: 2.2038 | Val  Acc: 0.3831
 Site-Real                          | Val  Loss: 2.1615 | Val  Acc: 0.5119
 Site-Real                          | Val  Loss: 2.1761 | Val  Acc: 0.5593
 Site-Real                          | Val  Loss: 2.1724 | Val  Acc: 0.5394
 Site-Real                          | Val  Loss: 2.1631 | Val  Acc: 0.6190
 Site-Painting                      | Val  Loss: 2.1543 | Val  Acc: 0.5306
 Site-Painting                      | Val  Loss: 2.1379 | Val  Acc: 0.4891
 Site-Painting                      | Val  Loss: 2.1899 | Val  Acc: 0.3906
 Site-Sketch                        | Val  Loss: 2.1910 | Val  Acc: 0.3858
 Site-Sketch                        | Val  Loss: 2.2080 | Val  Acc: 0.3708
 Site-QuickDraw                     | Val  Loss: 2.2802 | Val  Acc: 0.0917
 Site-Infograph                     | Val  Loss: 2.2578 | Val  Acc: 0.2372
Average Valid Accuracy: 0.4202
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4737
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3832
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3867
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3714
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3831
 Best site-Real                      | Epoch:0 | Val Acc: 0.5119
 Best site-Real                      | Epoch:0 | Val Acc: 0.5593
 Best site-Real                      | Epoch:0 | Val Acc: 0.5394
 Best site-Real                      | Epoch:0 | Val Acc: 0.6190
 Best site-Painting                  | Epoch:0 | Val Acc: 0.5306
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4891
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3906
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3858
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3708
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0917
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2372
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_0/afl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0822 | Train Acc: 0.5913
 Site-Clipart                       | Train Loss: 2.0541 | Train Acc: 0.6398
 Site-Clipart                       | Train Loss: 2.1028 | Train Acc: 0.5422
 Site-Clipart                       | Train Loss: 2.0858 | Train Acc: 0.6076
 Site-Clipart                       | Train Loss: 2.0860 | Train Acc: 0.6380
 Site-Real                          | Train Loss: 2.0676 | Train Acc: 0.7460
 Site-Real                          | Train Loss: 2.0405 | Train Acc: 0.7966
 Site-Real                          | Train Loss: 2.0346 | Train Acc: 0.7863
 Site-Real                          | Train Loss: 2.0554 | Train Acc: 0.7730
 Site-Painting                      | Train Loss: 2.0691 | Train Acc: 0.5918
 Site-Painting                      | Train Loss: 2.0796 | Train Acc: 0.6602
 Site-Painting                      | Train Loss: 2.0744 | Train Acc: 0.6436
 Site-Sketch                        | Train Loss: 2.1054 | Train Acc: 0.5550
 Site-Sketch                        | Train Loss: 2.0729 | Train Acc: 0.5468
