===2023-08-04 09:25:53===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Val  Loss: 3.2446 | Val  Acc: 0.4503
 Site-webcam                        | Val  Loss: 3.2891 | Val  Acc: 0.1875
 Site-webcam                        | Val  Loss: 3.2743 | Val  Acc: 0.3750
 Site-webcam                        | Val  Loss: 3.2704 | Val  Acc: 0.4595
 Site-webcam                        | Val  Loss: 3.2698 | Val  Acc: 0.4909
 Site-webcam                        | Val  Loss: 3.2527 | Val  Acc: 0.5122
 Site-dslr                          | Val  Loss: 3.2492 | Val  Acc: 0.3636
 Site-dslr                          | Val  Loss: 3.2719 | Val  Acc: 0.4394
 Site-synthetic                     | Val  Loss: 3.3321 | Val  Acc: 0.1522
Average Valid Accuracy: 0.4365
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5789
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5833
 Best site-amazon                    | Epoch:1 | Val Acc: 0.3871
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4390
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4717
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5735
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5000
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4737
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4189
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4503
 Best site-webcam                    | Epoch:1 | Val Acc: 0.1875
 Best site-webcam                    | Epoch:1 | Val Acc: 0.3750
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4595
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4909
 Best site-webcam                    | Epoch:1 | Val Acc: 0.5122
 Best site-dslr                      | Epoch:1 | Val Acc: 0.3636
 Best site-dslr                      | Epoch:1 | Val Acc: 0.4394
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.1522
