===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Val  Loss: 2.1266 | Val  Acc: 0.8613
 Site-synthetic                     | Val  Loss: 2.8602 | Val  Acc: 0.4167
 Site-synthetic                     | Val  Loss: 2.8055 | Val  Acc: 0.2857
 Site-synthetic                     | Val  Loss: 2.5826 | Val  Acc: 0.5676
 Site-synthetic                     | Val  Loss: 2.5468 | Val  Acc: 0.5075
 Site-synthetic                     | Val  Loss: 2.6490 | Val  Acc: 0.4917
 Site-dslr                          | Val  Loss: 2.3102 | Val  Acc: 0.7500
 Site-dslr                          | Val  Loss: 2.2772 | Val  Acc: 0.8409
 Site-webcam                        | Val  Loss: 2.2651 | Val  Acc: 0.8409
Average Valid Accuracy: 0.7650
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9231
 Best site-amazon                    | Epoch:1 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9091
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9310
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8947
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8571
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9048
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9390
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8491
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8613
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.4167
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.2857
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.5676
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.5075
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.4917
 Best site-dslr                      | Epoch:1 | Val Acc: 0.7500
 Best site-dslr                      | Epoch:1 | Val Acc: 0.8409
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8409
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/harmo-fl...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 1.2947 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 1.4830 | Train Acc: 0.8462
 Site-amazon                        | Train Loss: 1.6480 | Train Acc: 0.9412
 Site-amazon                        | Train Loss: 1.4445 | Train Acc: 0.9091
 Site-amazon                        | Train Loss: 1.5017 | Train Acc: 0.9298
 Site-amazon                        | Train Loss: 1.6182 | Train Acc: 0.8493
 Site-amazon                        | Train Loss: 1.5147 | Train Acc: 0.8842
 Site-amazon                        | Train Loss: 1.5251 | Train Acc: 0.8699
 Site-amazon                        | Train Loss: 1.4563 | Train Acc: 0.9308
 Site-amazon                        | Train Loss: 1.4124 | Train Acc: 0.9561
 Site-synthetic                     | Train Loss: 2.5060 | Train Acc: 0.4444
 Site-synthetic                     | Train Loss: 2.2989 | Train Acc: 0.5000
