===2023-08-04 15:28:11===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Val  Loss: 3.2382 | Val  Acc: 0.4660
 Site-webcam                        | Val  Loss: 3.2836 | Val  Acc: 0.2500
 Site-webcam                        | Val  Loss: 3.2745 | Val  Acc: 0.4167
 Site-webcam                        | Val  Loss: 3.2707 | Val  Acc: 0.4324
 Site-webcam                        | Val  Loss: 3.2721 | Val  Acc: 0.4000
 Site-webcam                        | Val  Loss: 3.2542 | Val  Acc: 0.5000
 Site-dslr                          | Val  Loss: 3.2505 | Val  Acc: 0.4848
 Site-dslr                          | Val  Loss: 3.3186 | Val  Acc: 0.3788
 Site-synthetic                     | Val  Loss: 3.3170 | Val  Acc: 0.1957
Average Valid Accuracy: 0.4443
 Best site-amazon                    | Epoch:1 | Val Acc: 0.6316
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5833
 Best site-amazon                    | Epoch:1 | Val Acc: 0.3871
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4634
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4528
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5294
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5227
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4561
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4459
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4660
 Best site-webcam                    | Epoch:1 | Val Acc: 0.2500
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4167
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4324
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4000
 Best site-webcam                    | Epoch:1 | Val Acc: 0.5000
 Best site-dslr                      | Epoch:1 | Val Acc: 0.4848
 Best site-dslr                      | Epoch:1 | Val Acc: 0.3788
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.1957
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/term...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 3.1895 | Train Acc: 0.6786
 Site-amazon                        | Train Loss: 3.1147 | Train Acc: 0.7297
 Site-amazon                        | Train Loss: 3.1447 | Train Acc: 0.7447
 Site-amazon                        | Train Loss: 3.1408 | Train Acc: 0.7377
 Site-amazon                        | Train Loss: 3.1300 | Train Acc: 0.7342
 Site-amazon                        | Train Loss: 3.1339 | Train Acc: 0.6796
 Site-amazon                        | Train Loss: 3.1547 | Train Acc: 0.7068
 Site-amazon                        | Train Loss: 3.1344 | Train Acc: 0.7209
 Site-amazon                        | Train Loss: 3.1388 | Train Acc: 0.7342
 Site-amazon                        | Train Loss: 3.1439 | Train Acc: 0.7003
 Site-webcam                        | Train Loss: 3.1703 | Train Acc: 0.5000
 Site-webcam                        | Train Loss: 3.1968 | Train Acc: 0.5135
 Site-webcam                        | Train Loss: 3.1569 | Train Acc: 0.6000
 Site-webcam                        | Train Loss: 3.1609 | Train Acc: 0.6988
 Site-webcam                        | Train Loss: 3.1869 | Train Acc: 0.5806
 Site-dslr                          | Train Loss: 3.2175 | Train Acc: 0.5800
 Site-dslr                          | Train Loss: 3.1660 | Train Acc: 0.6200
 Site-synthetic                     | Train Loss: 3.2466 | Train Acc: 0.1739
Average Train Accuracy: 0.6352
 Site-amazon                        | Val  Loss: 3.0833 | Val  Acc: 0.8947
 Site-amazon                        | Val  Loss: 3.1389 | Val  Acc: 0.7500
 Site-amazon                        | Val  Loss: 3.1502 | Val  Acc: 0.6452
 Site-amazon                        | Val  Loss: 3.1593 | Val  Acc: 0.6341
 Site-amazon                        | Val  Loss: 3.1399 | Val  Acc: 0.7736
 Site-amazon                        | Val  Loss: 3.0969 | Val  Acc: 0.6912
 Site-amazon                        | Val  Loss: 3.1315 | Val  Acc: 0.7386
 Site-amazon                        | Val  Loss: 3.1354 | Val  Acc: 0.7193
 Site-amazon                        | Val  Loss: 3.1364 | Val  Acc: 0.6959
 Site-amazon                        | Val  Loss: 3.1417 | Val  Acc: 0.7120
 Site-webcam                        | Val  Loss: 3.1962 | Val  Acc: 0.4375
 Site-webcam                        | Val  Loss: 3.2112 | Val  Acc: 0.6250
 Site-webcam                        | Val  Loss: 3.1671 | Val  Acc: 0.6757
 Site-webcam                        | Val  Loss: 3.1831 | Val  Acc: 0.5455
 Site-webcam                        | Val  Loss: 3.1690 | Val  Acc: 0.6707
 Site-dslr                          | Val  Loss: 3.1672 | Val  Acc: 0.6667
 Site-dslr                          | Val  Loss: 3.1772 | Val  Acc: 0.7121
 Site-synthetic                     | Val  Loss: 3.2862 | Val  Acc: 0.2174
Average Valid Accuracy: 0.6558
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8947
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7500
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6452
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6341
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7736
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6912
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7386
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7193
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6959
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7120
 Best site-webcam                    | Epoch:2 | Val Acc: 0.4375
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6250
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6757
