===2023-08-04 10:40:24===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Val  Loss: 1.6156 | Val  Acc: 0.9319
 Site-webcam                        | Val  Loss: 1.8525 | Val  Acc: 0.8750
 Site-webcam                        | Val  Loss: 1.9385 | Val  Acc: 0.8333
 Site-webcam                        | Val  Loss: 1.8463 | Val  Acc: 0.8919
 Site-webcam                        | Val  Loss: 1.9117 | Val  Acc: 0.8182
 Site-webcam                        | Val  Loss: 1.7640 | Val  Acc: 0.9024
 Site-dslr                          | Val  Loss: 1.8267 | Val  Acc: 0.9091
 Site-dslr                          | Val  Loss: 1.9493 | Val  Acc: 0.8485
 Site-synthetic                     | Val  Loss: 2.6739 | Val  Acc: 0.3696
Average Valid Accuracy: 0.8574
 Best site-amazon                    | Epoch:1 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9167
 Best site-amazon                    | Epoch:1 | Val Acc: 0.7742
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8049
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9057
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9559
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9205
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8772
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8986
 Best site-amazon                    | Epoch:1 | Val Acc: 0.9319
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8750
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8333
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8919
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8182
 Best site-webcam                    | Epoch:1 | Val Acc: 0.9024
 Best site-dslr                      | Epoch:1 | Val Acc: 0.9091
 Best site-dslr                      | Epoch:1 | Val Acc: 0.8485
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.3696
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedsam...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 1.2238 | Train Acc: 0.8929
 Site-amazon                        | Train Loss: 1.0593 | Train Acc: 0.9189
 Site-amazon                        | Train Loss: 1.0166 | Train Acc: 0.9574
 Site-amazon                        | Train Loss: 1.1522 | Train Acc: 0.8689
 Site-amazon                        | Train Loss: 1.0385 | Train Acc: 0.9241
 Site-amazon                        | Train Loss: 1.0095 | Train Acc: 0.9320
 Site-amazon                        | Train Loss: 1.0948 | Train Acc: 0.9173
 Site-amazon                        | Train Loss: 1.0550 | Train Acc: 0.9360
 Site-amazon                        | Train Loss: 1.0902 | Train Acc: 0.9189
 Site-amazon                        | Train Loss: 1.0523 | Train Acc: 0.9268
 Site-webcam                        | Train Loss: 1.3668 | Train Acc: 0.8750
 Site-webcam                        | Train Loss: 1.4229 | Train Acc: 0.8378
 Site-webcam                        | Train Loss: 1.2455 | Train Acc: 0.8727
 Site-webcam                        | Train Loss: 1.3466 | Train Acc: 0.8916
 Site-webcam                        | Train Loss: 1.3441 | Train Acc: 0.8871
 Site-dslr                          | Train Loss: 1.5328 | Train Acc: 0.8600
