===2023-08-06 11:58:56===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 20
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,51,67,86,111,144,17,24,33,46,64,89,124,20,31,46,69,104,32,56,97,42,84,85,58,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[986,670,456,310,211,143,97,]
domain number = 7
============ Train epoch 0 ============
 Best site-webcam                    | Epoch:0 | Val Acc: 0.2656
 Best site-Art                       | Epoch:0 | Val Acc: 0.2143
 Best site-Art                       | Epoch:0 | Val Acc: 0.1964
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1053
 Best site-dslr                      | Epoch:0 | Val Acc: 0.3158
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedmix...
============ Train epoch 1 ============
 Site-RealWorld                     | Train Loss: 2.8842 | Train Acc: 0.3571
 Site-RealWorld                     | Train Loss: 2.9370 | Train Acc: 0.2778
 Site-RealWorld                     | Train Loss: 2.9159 | Train Acc: 0.1667
 Site-RealWorld                     | Train Loss: 2.8664 | Train Acc: 0.2903
 Site-RealWorld                     | Train Loss: 2.8827 | Train Acc: 0.2750
 Site-RealWorld                     | Train Loss: 2.8962 | Train Acc: 0.3725
 Site-RealWorld                     | Train Loss: 2.8748 | Train Acc: 0.2985
 Site-RealWorld                     | Train Loss: 2.8849 | Train Acc: 0.2558
 Site-RealWorld                     | Train Loss: 2.8958 | Train Acc: 0.3153
 Site-RealWorld                     | Train Loss: 2.8885 | Train Acc: 0.3750
 Site-Product                       | Train Loss: 2.8544 | Train Acc: 0.3529
 Site-Product                       | Train Loss: 2.8994 | Train Acc: 0.2083
 Site-Product                       | Train Loss: 2.8841 | Train Acc: 0.3333
 Site-Product                       | Train Loss: 2.8609 | Train Acc: 0.3478
 Site-Product                       | Train Loss: 2.8831 | Train Acc: 0.3594
 Site-Product                       | Train Loss: 2.8517 | Train Acc: 0.4382
 Site-Product                       | Train Loss: 2.8763 | Train Acc: 0.2823
 Site-amazon                        | Train Loss: 2.8658 | Train Acc: 0.2500
 Site-amazon                        | Train Loss: 2.8927 | Train Acc: 0.3548
 Site-amazon                        | Train Loss: 2.8763 | Train Acc: 0.3043
 Site-amazon                        | Train Loss: 2.9213 | Train Acc: 0.3043
 Site-amazon                        | Train Loss: 2.9109 | Train Acc: 0.2404
 Site-webcam                        | Train Loss: 2.9230 | Train Acc: 0.1562
 Site-webcam                        | Train Loss: 2.8706 | Train Acc: 0.3214
 Site-webcam                        | Train Loss: 2.8889 | Train Acc: 0.3299
 Site-Art                           | Train Loss: 2.9030 | Train Acc: 0.3333
 Site-Art                           | Train Loss: 2.8902 | Train Acc: 0.2857
 Site-Clipart                       | Train Loss: 2.9139 | Train Acc: 0.2118
 Site-dslr                          | Train Loss: 2.8724 | Train Acc: 0.3621
Average Train Accuracy: 0.3021
 Site-RealWorld                     | Val  Loss: 2.8540 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.8300 | Val  Acc: 0.5833
 Site-RealWorld                     | Val  Loss: 2.8776 | Val  Acc: 0.3750
 Site-RealWorld                     | Val  Loss: 2.8769 | Val  Acc: 0.3500
 Site-RealWorld                     | Val  Loss: 2.8858 | Val  Acc: 0.3077
 Site-RealWorld                     | Val  Loss: 2.8634 | Val  Acc: 0.3235
 Site-RealWorld                     | Val  Loss: 2.8959 | Val  Acc: 0.1591
 Site-RealWorld                     | Val  Loss: 2.8924 | Val  Acc: 0.2456
 Site-RealWorld                     | Val  Loss: 2.8963 | Val  Acc: 0.2973
 Site-RealWorld                     | Val  Loss: 2.8895 | Val  Acc: 0.3333
 Site-Product                       | Val  Loss: 2.9093 | Val  Acc: 0.2727
 Site-Product                       | Val  Loss: 2.8626 | Val  Acc: 0.4375
 Site-Product                       | Val  Loss: 2.8396 | Val  Acc: 0.4545
 Site-Product                       | Val  Loss: 2.8678 | Val  Acc: 0.4194
 Site-Product                       | Val  Loss: 2.8571 | Val  Acc: 0.3488
 Site-Product                       | Val  Loss: 2.8675 | Val  Acc: 0.3729
 Site-Product                       | Val  Loss: 2.8692 | Val  Acc: 0.3171
 Site-amazon                        | Val  Loss: 2.8806 | Val  Acc: 0.2308
 Site-amazon                        | Val  Loss: 2.8735 | Val  Acc: 0.3500
 Site-amazon                        | Val  Loss: 2.9244 | Val  Acc: 0.2903
 Site-amazon                        | Val  Loss: 2.8849 | Val  Acc: 0.2609
 Site-amazon                        | Val  Loss: 2.8599 | Val  Acc: 0.3768
 Site-webcam                        | Val  Loss: 2.8538 | Val  Acc: 0.3810
 Site-webcam                        | Val  Loss: 2.8681 | Val  Acc: 0.3784
 Site-webcam                        | Val  Loss: 2.8691 | Val  Acc: 0.5156
 Site-Art                           | Val  Loss: 2.8833 | Val  Acc: 0.3571
 Site-Art                           | Val  Loss: 2.8945 | Val  Acc: 0.2321
 Site-Clipart                       | Val  Loss: 2.9163 | Val  Acc: 0.2105
 Site-dslr                          | Val  Loss: 2.8652 | Val  Acc: 0.4474
Average Valid Accuracy: 0.3550
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.5833
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.3750
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.3500
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.3077
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.3235
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.1591
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2456
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2973
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.3333
 Best site-Product                   | Epoch:1 | Val Acc: 0.2727
 Best site-Product                   | Epoch:1 | Val Acc: 0.4375
 Best site-Product                   | Epoch:1 | Val Acc: 0.4545
 Best site-Product                   | Epoch:1 | Val Acc: 0.4194
 Best site-Product                   | Epoch:1 | Val Acc: 0.3488
 Best site-Product                   | Epoch:1 | Val Acc: 0.3729
 Best site-Product                   | Epoch:1 | Val Acc: 0.3171
 Best site-amazon                    | Epoch:1 | Val Acc: 0.2308
 Best site-amazon                    | Epoch:1 | Val Acc: 0.3500
 Best site-amazon                    | Epoch:1 | Val Acc: 0.2903
 Best site-amazon                    | Epoch:1 | Val Acc: 0.2609
 Best site-amazon                    | Epoch:1 | Val Acc: 0.3768
 Best site-webcam                    | Epoch:1 | Val Acc: 0.3810
 Best site-webcam                    | Epoch:1 | Val Acc: 0.3784
 Best site-webcam                    | Epoch:1 | Val Acc: 0.5156
 Best site-Art                       | Epoch:1 | Val Acc: 0.3571
 Best site-Art                       | Epoch:1 | Val Acc: 0.2321
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2105
 Best site-dslr                      | Epoch:1 | Val Acc: 0.4474
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedmix...
============ Train epoch 2 ============
 Site-RealWorld                     | Train Loss: 2.8185 | Train Acc: 0.5714
 Site-RealWorld                     | Train Loss: 2.8730 | Train Acc: 0.3333
 Site-RealWorld                     | Train Loss: 2.8644 | Train Acc: 0.2917
 Site-RealWorld                     | Train Loss: 2.8064 | Train Acc: 0.5484
 Site-RealWorld                     | Train Loss: 2.8215 | Train Acc: 0.5000
 Site-RealWorld                     | Train Loss: 2.8409 | Train Acc: 0.4314
 Site-RealWorld                     | Train Loss: 2.8235 | Train Acc: 0.4179
 Site-RealWorld                     | Train Loss: 2.8229 | Train Acc: 0.3953
 Site-RealWorld                     | Train Loss: 2.8423 | Train Acc: 0.4234
 Site-RealWorld                     | Train Loss: 2.8247 | Train Acc: 0.5069
 Site-Product                       | Train Loss: 2.8044 | Train Acc: 0.4706
 Site-Product                       | Train Loss: 2.8514 | Train Acc: 0.3750
 Site-Product                       | Train Loss: 2.8344 | Train Acc: 0.4242
 Site-Product                       | Train Loss: 2.8213 | Train Acc: 0.4783
 Site-Product                       | Train Loss: 2.8185 | Train Acc: 0.4688
 Site-Product                       | Train Loss: 2.8029 | Train Acc: 0.5730
 Site-Product                       | Train Loss: 2.8300 | Train Acc: 0.3952
 Site-amazon                        | Train Loss: 2.8186 | Train Acc: 0.4500
 Site-amazon                        | Train Loss: 2.8365 | Train Acc: 0.3871
 Site-amazon                        | Train Loss: 2.8381 | Train Acc: 0.3913
 Site-amazon                        | Train Loss: 2.7873 | Train Acc: 0.4783
 Site-amazon                        | Train Loss: 2.8654 | Train Acc: 0.3750
 Site-webcam                        | Train Loss: 2.8624 | Train Acc: 0.3125
 Site-webcam                        | Train Loss: 2.8125 | Train Acc: 0.5000
 Site-webcam                        | Train Loss: 2.8225 | Train Acc: 0.4536
 Site-Art                           | Train Loss: 2.8667 | Train Acc: 0.3810
 Site-Art                           | Train Loss: 2.8610 | Train Acc: 0.4286
 Site-Clipart                       | Train Loss: 2.8725 | Train Acc: 0.3529
 Site-dslr                          | Train Loss: 2.8277 | Train Acc: 0.4310
Average Train Accuracy: 0.4326
 Site-RealWorld                     | Val  Loss: 2.8072 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.7839 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.8367 | Val  Acc: 0.6875
 Site-RealWorld                     | Val  Loss: 2.8302 | Val  Acc: 0.5000
 Site-RealWorld                     | Val  Loss: 2.8430 | Val  Acc: 0.3462
 Site-RealWorld                     | Val  Loss: 2.8025 | Val  Acc: 0.5294
 Site-RealWorld                     | Val  Loss: 2.8336 | Val  Acc: 0.3182
 Site-RealWorld                     | Val  Loss: 2.8312 | Val  Acc: 0.4035
 Site-RealWorld                     | Val  Loss: 2.8475 | Val  Acc: 0.3784
 Site-RealWorld                     | Val  Loss: 2.8436 | Val  Acc: 0.4688
 Site-Product                       | Val  Loss: 2.8315 | Val  Acc: 0.4545
 Site-Product                       | Val  Loss: 2.8166 | Val  Acc: 0.4375
 Site-Product                       | Val  Loss: 2.7618 | Val  Acc: 0.6818
 Site-Product                       | Val  Loss: 2.7963 | Val  Acc: 0.5484
 Site-Product                       | Val  Loss: 2.8109 | Val  Acc: 0.4884
 Site-Product                       | Val  Loss: 2.8036 | Val  Acc: 0.5763
 Site-Product                       | Val  Loss: 2.8122 | Val  Acc: 0.4756
 Site-amazon                        | Val  Loss: 2.8272 | Val  Acc: 0.4615
 Site-amazon                        | Val  Loss: 2.8339 | Val  Acc: 0.4000
 Site-amazon                        | Val  Loss: 2.8657 | Val  Acc: 0.3871
 Site-amazon                        | Val  Loss: 2.8206 | Val  Acc: 0.5000
 Site-amazon                        | Val  Loss: 2.8187 | Val  Acc: 0.4783
 Site-webcam                        | Val  Loss: 2.8015 | Val  Acc: 0.5714
 Site-webcam                        | Val  Loss: 2.8053 | Val  Acc: 0.4865
 Site-webcam                        | Val  Loss: 2.8183 | Val  Acc: 0.5625
 Site-Art                           | Val  Loss: 2.8334 | Val  Acc: 0.5357
 Site-Art                           | Val  Loss: 2.8515 | Val  Acc: 0.4286
 Site-Clipart                       | Val  Loss: 2.8857 | Val  Acc: 0.2456
 Site-dslr                          | Val  Loss: 2.8096 | Val  Acc: 0.4211
Average Valid Accuracy: 0.4864
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.6875
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.5000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3462
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.5294
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3182
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.4035
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3784
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.4688
 Best site-Product                   | Epoch:2 | Val Acc: 0.4545
 Best site-Product                   | Epoch:2 | Val Acc: 0.4375
 Best site-Product                   | Epoch:2 | Val Acc: 0.6818
 Best site-Product                   | Epoch:2 | Val Acc: 0.5484
 Best site-Product                   | Epoch:2 | Val Acc: 0.4884
 Best site-Product                   | Epoch:2 | Val Acc: 0.5763
 Best site-Product                   | Epoch:2 | Val Acc: 0.4756
 Best site-amazon                    | Epoch:2 | Val Acc: 0.4615
 Best site-amazon                    | Epoch:2 | Val Acc: 0.4000
 Best site-amazon                    | Epoch:2 | Val Acc: 0.3871
 Best site-amazon                    | Epoch:2 | Val Acc: 0.5000
 Best site-amazon                    | Epoch:2 | Val Acc: 0.4783
 Best site-webcam                    | Epoch:2 | Val Acc: 0.5714
 Best site-webcam                    | Epoch:2 | Val Acc: 0.4865
 Best site-webcam                    | Epoch:2 | Val Acc: 0.5625
 Best site-Art                       | Epoch:2 | Val Acc: 0.5357
 Best site-Art                       | Epoch:2 | Val Acc: 0.4286
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.2456
 Best site-dslr                      | Epoch:2 | Val Acc: 0.4211
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedmix...
============ Train epoch 3 ============
 Site-RealWorld                     | Train Loss: 2.7879 | Train Acc: 0.5000
 Site-RealWorld                     | Train Loss: 2.8370 | Train Acc: 0.3333
 Site-RealWorld                     | Train Loss: 2.7983 | Train Acc: 0.5000
 Site-RealWorld                     | Train Loss: 2.7543 | Train Acc: 0.6129
 Site-RealWorld                     | Train Loss: 2.7687 | Train Acc: 0.5750
 Site-RealWorld                     | Train Loss: 2.7798 | Train Acc: 0.5686
 Site-RealWorld                     | Train Loss: 2.8381 | Train Acc: 0.5522
 Site-RealWorld                     | Train Loss: 2.7689 | Train Acc: 0.5233
 Site-RealWorld                     | Train Loss: 2.7887 | Train Acc: 0.5676
 Site-RealWorld                     | Train Loss: 2.7509 | Train Acc: 0.6111
 Site-Product                       | Train Loss: 2.7524 | Train Acc: 0.5882
 Site-Product                       | Train Loss: 2.8012 | Train Acc: 0.6667
 Site-Product                       | Train Loss: 2.7843 | Train Acc: 0.6364
 Site-Product                       | Train Loss: 2.7761 | Train Acc: 0.6304
 Site-Product                       | Train Loss: 2.7644 | Train Acc: 0.6094
 Site-Product                       | Train Loss: 2.7563 | Train Acc: 0.6404
 Site-Product                       | Train Loss: 2.7683 | Train Acc: 0.5323
 Site-amazon                        | Train Loss: 2.7689 | Train Acc: 0.4500
 Site-amazon                        | Train Loss: 2.7775 | Train Acc: 0.5484
 Site-amazon                        | Train Loss: 2.7736 | Train Acc: 0.6304
 Site-amazon                        | Train Loss: 2.7779 | Train Acc: 0.5797
 Site-amazon                        | Train Loss: 2.8033 | Train Acc: 0.4712
 Site-webcam                        | Train Loss: 2.8067 | Train Acc: 0.4375
 Site-webcam                        | Train Loss: 2.7656 | Train Acc: 0.5536
 Site-webcam                        | Train Loss: 2.7958 | Train Acc: 0.4948
 Site-Art                           | Train Loss: 2.8307 | Train Acc: 0.4048
 Site-Art                           | Train Loss: 2.8321 | Train Acc: 0.4167
 Site-Clipart                       | Train Loss: 2.8294 | Train Acc: 0.4353
 Site-dslr                          | Train Loss: 2.7594 | Train Acc: 0.5172
Average Train Accuracy: 0.5375
 Site-RealWorld                     | Val  Loss: 2.7394 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.7424 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.7744 | Val  Acc: 0.6875
 Site-RealWorld                     | Val  Loss: 2.7809 | Val  Acc: 0.6500
 Site-RealWorld                     | Val  Loss: 2.7982 | Val  Acc: 0.5000
 Site-RealWorld                     | Val  Loss: 2.7409 | Val  Acc: 0.7059
 Site-RealWorld                     | Val  Loss: 2.7786 | Val  Acc: 0.5682
 Site-RealWorld                     | Val  Loss: 2.7905 | Val  Acc: 0.5088
 Site-RealWorld                     | Val  Loss: 2.7971 | Val  Acc: 0.5405
 Site-RealWorld                     | Val  Loss: 2.7898 | Val  Acc: 0.5625
 Site-Product                       | Val  Loss: 2.7677 | Val  Acc: 0.7273
 Site-Product                       | Val  Loss: 2.7524 | Val  Acc: 0.5625
 Site-Product                       | Val  Loss: 2.6913 | Val  Acc: 0.6818
 Site-Product                       | Val  Loss: 2.7388 | Val  Acc: 0.6774
 Site-Product                       | Val  Loss: 2.7562 | Val  Acc: 0.6512
 Site-Product                       | Val  Loss: 2.7581 | Val  Acc: 0.6271
 Site-Product                       | Val  Loss: 2.7585 | Val  Acc: 0.5122
 Site-amazon                        | Val  Loss: 2.7565 | Val  Acc: 0.6154
 Site-amazon                        | Val  Loss: 2.7659 | Val  Acc: 0.6500
 Site-amazon                        | Val  Loss: 2.8260 | Val  Acc: 0.4516
 Site-amazon                        | Val  Loss: 2.7720 | Val  Acc: 0.6087
 Site-amazon                        | Val  Loss: 2.7839 | Val  Acc: 0.5507
 Site-webcam                        | Val  Loss: 2.7442 | Val  Acc: 0.6190
 Site-webcam                        | Val  Loss: 2.7552 | Val  Acc: 0.6216
 Site-webcam                        | Val  Loss: 2.7652 | Val  Acc: 0.6406
 Site-Art                           | Val  Loss: 2.7946 | Val  Acc: 0.5000
 Site-Art                           | Val  Loss: 2.8006 | Val  Acc: 0.5714
 Site-Clipart                       | Val  Loss: 2.8365 | Val  Acc: 0.4386
 Site-dslr                          | Val  Loss: 2.7580 | Val  Acc: 0.5789
Average Valid Accuracy: 0.5980
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6875
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6500
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.7059
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5682
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5088
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5405
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5625
