===2023-08-05 13:36:43===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 10
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,10,13,17,22,29,37,48,63,81,8,11,16,22,30,42,58,9,14,22,32,49,15,26,45,19,39,40,27,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[555,317,215,146,99,67,45,]
domain number = 7
============ Train epoch 0 ============
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.6154
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.6923
 Best site-dslr                      | Epoch:0 | Val Acc: 0.6923
 Best site-Product                   | Epoch:0 | Val Acc: 0.8333
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/harmo-fl...
============ Train epoch 1 ============
 Site-amazon                        | Train Loss: 1.7406 | Train Acc: 0.5000
 Site-amazon                        | Train Loss: 1.5725 | Train Acc: 0.7000
 Site-amazon                        | Train Loss: 1.5937 | Train Acc: 0.6923
 Site-amazon                        | Train Loss: 1.5492 | Train Acc: 0.8824
 Site-amazon                        | Train Loss: 1.5036 | Train Acc: 0.8636
 Site-amazon                        | Train Loss: 1.5599 | Train Acc: 0.7586
 Site-amazon                        | Train Loss: 1.5183 | Train Acc: 0.8649
 Site-amazon                        | Train Loss: 1.5392 | Train Acc: 0.8333
 Site-amazon                        | Train Loss: 1.5054 | Train Acc: 0.8413
 Site-amazon                        | Train Loss: 1.5102 | Train Acc: 0.8395
 Site-Art                           | Train Loss: 1.8123 | Train Acc: 0.8750
 Site-Art                           | Train Loss: 1.6802 | Train Acc: 0.7273
 Site-Art                           | Train Loss: 1.8078 | Train Acc: 0.7500
 Site-Art                           | Train Loss: 1.7991 | Train Acc: 0.7727
 Site-Art                           | Train Loss: 1.7094 | Train Acc: 0.8667
 Site-Art                           | Train Loss: 1.8251 | Train Acc: 0.6905
 Site-Art                           | Train Loss: 1.7601 | Train Acc: 0.7414
 Site-RealWorld                     | Train Loss: 1.5182 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 1.6248 | Train Acc: 0.7857
 Site-RealWorld                     | Train Loss: 1.6218 | Train Acc: 0.8636
 Site-RealWorld                     | Train Loss: 1.6101 | Train Acc: 0.7500
 Site-RealWorld                     | Train Loss: 1.5680 | Train Acc: 0.8980
 Site-webcam                        | Train Loss: 1.4843 | Train Acc: 0.9333
 Site-webcam                        | Train Loss: 1.4259 | Train Acc: 0.9615
 Site-webcam                        | Train Loss: 1.6326 | Train Acc: 0.8444
 Site-Clipart                       | Train Loss: 1.7057 | Train Acc: 0.6842
