===2023-06-13 18:55:59===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[128,168,220,288,378,144,188,247,323,138,181,238,110,145,164,214,307,125,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[3952,3016,1865,856,1265,1024,419,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Val  Loss: 2.2303 | Val  Acc: 0.1111
 Site-East_Asian                    | Val  Loss: 1.7510 | Val  Acc: 0.4167
 Site-East_Asian                    | Val  Loss: 1.8547 | Val  Acc: 0.3600
 Site-East_Asian                    | Val  Loss: 1.8734 | Val  Acc: 0.3659
 Site-East_Asian                    | Val  Loss: 1.8136 | Val  Acc: 0.3935
 Site-Indian_utk                    | Val  Loss: 1.9205 | Val  Acc: 0.3261
 Site-Indian_utk                    | Val  Loss: 1.8811 | Val  Acc: 0.3802
 Site-Indian_utk                    | Val  Loss: 1.8882 | Val  Acc: 0.3608
 Site-Black_utk                     | Val  Loss: 1.9881 | Val  Acc: 0.3378
 Site-Black_utk                     | Val  Loss: 1.9085 | Val  Acc: 0.3333
 Site-Others_utk                    | Val  Loss: 1.7631 | Val  Acc: 0.3853
 Site-Others_utk                    | Val  Loss: 1.5590 | Val  Acc: 0.4685
 Site-Southeast_Asian               | Val  Loss: 1.9878 | Val  Acc: 0.3088
 Site-Middle_Eastern_gan            | Val  Loss: 1.9827 | Val  Acc: 0.5060
Average Valid Accuracy: 0.3062
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1294
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1161
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1020
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1094
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1111
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.4167
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.3600
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.3659
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.3935
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.3261
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.3802
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.3608
 Best site-Black_utk                 | Epoch:1 | Val Acc: 0.3378
 Best site-Black_utk                 | Epoch:1 | Val Acc: 0.3333
 Best site-Others_utk                | Epoch:1 | Val Acc: 0.3853
 Best site-Others_utk                | Epoch:1 | Val Acc: 0.4685
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.3088
 Best site-Middle_Eastern_gan        | Epoch:1 | Val Acc: 0.5060
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.31_1_random_dis_cluster_-1/CoCoOP...
============ Train epoch 2 ============
 Site-White_utk                     | Train Loss: 2.0725 | Train Acc: 0.1797
 Site-White_utk                     | Train Loss: 2.0944 | Train Acc: 0.1786
 Site-White_utk                     | Train Loss: 2.0979 | Train Acc: 0.1364
 Site-White_utk                     | Train Loss: 2.0948 | Train Acc: 0.1701
 Site-White_utk                     | Train Loss: 2.0711 | Train Acc: 0.1746
 Site-East_Asian                    | Train Loss: 1.7898 | Train Acc: 0.4097
 Site-East_Asian                    | Train Loss: 1.7846 | Train Acc: 0.3830
 Site-East_Asian                    | Train Loss: 1.8178 | Train Acc: 0.3725
 Site-East_Asian                    | Train Loss: 1.6867 | Train Acc: 0.4118
 Site-Indian_utk                    | Train Loss: 1.8134 | Train Acc: 0.3841
 Site-Indian_utk                    | Train Loss: 1.8226 | Train Acc: 0.3923
 Site-Indian_utk                    | Train Loss: 1.8405 | Train Acc: 0.3992
 Site-Black_utk                     | Train Loss: 1.8392 | Train Acc: 0.3909
 Site-Black_utk                     | Train Loss: 1.8410 | Train Acc: 0.2966
 Site-Others_utk                    | Train Loss: 1.6546 | Train Acc: 0.4695
 Site-Others_utk                    | Train Loss: 1.7143 | Train Acc: 0.5000
 Site-Southeast_Asian               | Train Loss: 1.9087 | Train Acc: 0.3518
 Site-Middle_Eastern_gan            | Train Loss: 1.6180 | Train Acc: 0.6240
Average Train Accuracy: 0.3458
 Site-White_utk                     | Val  Loss: 2.1073 | Val  Acc: 0.1529
 Site-White_utk                     | Val  Loss: 2.0504 | Val  Acc: 0.1696
 Site-White_utk                     | Val  Loss: 2.0960 | Val  Acc: 0.1701
 Site-White_utk                     | Val  Loss: 2.0940 | Val  Acc: 0.1771
 Site-White_utk                     | Val  Loss: 2.0746 | Val  Acc: 0.1865
 Site-East_Asian                    | Val  Loss: 1.7047 | Val  Acc: 0.4167
 Site-East_Asian                    | Val  Loss: 1.8391 | Val  Acc: 0.3520
 Site-East_Asian                    | Val  Loss: 1.8395 | Val  Acc: 0.3720
 Site-East_Asian                    | Val  Loss: 1.7907 | Val  Acc: 0.3935
 Site-Indian_utk                    | Val  Loss: 1.8271 | Val  Acc: 0.3261
 Site-Indian_utk                    | Val  Loss: 1.8187 | Val  Acc: 0.4050
 Site-Indian_utk                    | Val  Loss: 1.8423 | Val  Acc: 0.3924
 Site-Black_utk                     | Val  Loss: 1.9503 | Val  Acc: 0.2973
 Site-Black_utk                     | Val  Loss: 1.8883 | Val  Acc: 0.3438
 Site-Others_utk                    | Val  Loss: 1.7011 | Val  Acc: 0.4954
 Site-Others_utk                    | Val  Loss: 1.5817 | Val  Acc: 0.5245
 Site-Southeast_Asian               | Val  Loss: 1.9360 | Val  Acc: 0.3284
 Site-Middle_Eastern_gan            | Val  Loss: 1.9338 | Val  Acc: 0.4578
Average Valid Accuracy: 0.3312
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1529
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1696
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1701
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1771
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1865
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.4167
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3520
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3720
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3935
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.3261
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.4050
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.3924
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.2973
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.3438
 Best site-Others_utk                | Epoch:2 | Val Acc: 0.4954
 Best site-Others_utk                | Epoch:2 | Val Acc: 0.5245
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.3284
 Best site-Middle_Eastern_gan        | Epoch:2 | Val Acc: 0.4578
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.31_1_random_dis_cluster_-1/CoCoOP...
============ Train epoch 3 ============
 Site-White_utk                     | Train Loss: 1.9128 | Train Acc: 0.2422
 Site-White_utk                     | Train Loss: 1.9299 | Train Acc: 0.2738
 Site-White_utk                     | Train Loss: 1.9415 | Train Acc: 0.2500
 Site-White_utk                     | Train Loss: 1.9314 | Train Acc: 0.2535
 Site-White_utk                     | Train Loss: 1.9144 | Train Acc: 0.2328
 Site-East_Asian                    | Train Loss: 1.7746 | Train Acc: 0.4097
 Site-East_Asian                    | Train Loss: 1.7816 | Train Acc: 0.3936
 Site-East_Asian                    | Train Loss: 1.7781 | Train Acc: 0.3603
 Site-East_Asian                    | Train Loss: 1.7303 | Train Acc: 0.4087
 Site-Indian_utk                    | Train Loss: 1.7812 | Train Acc: 0.4203
 Site-Indian_utk                    | Train Loss: 1.8071 | Train Acc: 0.3867
 Site-Indian_utk                    | Train Loss: 1.8064 | Train Acc: 0.3866
 Site-Black_utk                     | Train Loss: 1.8193 | Train Acc: 0.3455
 Site-Black_utk                     | Train Loss: 1.8206 | Train Acc: 0.3586
 Site-Others_utk                    | Train Loss: 1.6339 | Train Acc: 0.5366
 Site-Others_utk                    | Train Loss: 1.7013 | Train Acc: 0.4953
 Site-Southeast_Asian               | Train Loss: 1.8935 | Train Acc: 0.3420
 Site-Middle_Eastern_gan            | Train Loss: 1.6559 | Train Acc: 0.5680
Average Train Accuracy: 0.3702
 Site-White_utk                     | Val  Loss: 1.9571 | Val  Acc: 0.2235
 Site-White_utk                     | Val  Loss: 1.9316 | Val  Acc: 0.2589
 Site-White_utk                     | Val  Loss: 1.9718 | Val  Acc: 0.2109
 Site-White_utk                     | Val  Loss: 1.9633 | Val  Acc: 0.2292
 Site-White_utk                     | Val  Loss: 1.9201 | Val  Acc: 0.2619
 Site-East_Asian                    | Val  Loss: 1.6834 | Val  Acc: 0.4375
 Site-East_Asian                    | Val  Loss: 1.7682 | Val  Acc: 0.3920
 Site-East_Asian                    | Val  Loss: 1.7840 | Val  Acc: 0.3720
 Site-East_Asian                    | Val  Loss: 1.7279 | Val  Acc: 0.4213
 Site-Indian_utk                    | Val  Loss: 1.7773 | Val  Acc: 0.3587
 Site-Indian_utk                    | Val  Loss: 1.7900 | Val  Acc: 0.3884
 Site-Indian_utk                    | Val  Loss: 1.8058 | Val  Acc: 0.3987
 Site-Black_utk                     | Val  Loss: 1.9551 | Val  Acc: 0.4054
 Site-Black_utk                     | Val  Loss: 1.8673 | Val  Acc: 0.2917
 Site-Others_utk                    | Val  Loss: 1.6944 | Val  Acc: 0.4771
 Site-Others_utk                    | Val  Loss: 1.6753 | Val  Acc: 0.5035
 Site-Southeast_Asian               | Val  Loss: 1.8634 | Val  Acc: 0.3725
 Site-Middle_Eastern_gan            | Val  Loss: 1.9144 | Val  Acc: 0.4458
Average Valid Accuracy: 0.3583
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2235
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2589
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2109
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2292
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2619
 Best site-East_Asian                | Epoch:3 | Val Acc: 0.4375
 Best site-East_Asian                | Epoch:3 | Val Acc: 0.3920
 Best site-East_Asian                | Epoch:3 | Val Acc: 0.3720
 Best site-East_Asian                | Epoch:3 | Val Acc: 0.4213
