===2023-08-10 20:11:33===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.1778 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3526 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.2301 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.2408 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.2461 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3228 | Train Acc: 0.9615
 Site-photo                         | Train Loss: 1.1664 | Train Acc: 0.9853
 Site-photo                         | Train Loss: 1.2886 | Train Acc: 0.9773
 Site-photo                         | Train Loss: 1.2921 | Train Acc: 0.9735
 Site-photo                         | Train Loss: 1.2877 | Train Acc: 0.9726
 Site-art_painting                  | Train Loss: 1.6068 | Train Acc: 0.6667
 Site-art_painting                  | Train Loss: 1.6251 | Train Acc: 0.5909
 Site-art_painting                  | Train Loss: 1.6308 | Train Acc: 0.6500
 Site-art_painting                  | Train Loss: 1.5452 | Train Acc: 0.7083
 Site-art_painting                  | Train Loss: 1.5969 | Train Acc: 0.7188
 Site-cartoon                       | Train Loss: 1.6991 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.6857 | Train Acc: 0.5913
 Site-sketch                        | Train Loss: 1.9048 | Train Acc: 0.1897
Average Train Accuracy: 0.8051
 Site-photo                         | Val  Loss: 1.2843 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.3510 | Val  Acc: 0.8333
 Site-photo                         | Val  Loss: 1.3783 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 1.3302 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.2638 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2081 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2745 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.2985 | Val  Acc: 0.9828
 Site-photo                         | Val  Loss: 1.2837 | Val  Acc: 0.9867
 Site-photo                         | Val  Loss: 1.2733 | Val  Acc: 0.9691
 Site-art_painting                  | Val  Loss: 1.6268 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.5860 | Val  Acc: 0.7333
 Site-art_painting                  | Val  Loss: 1.5783 | Val  Acc: 0.7308
 Site-art_painting                  | Val  Loss: 1.5620 | Val  Acc: 0.8085
 Site-art_painting                  | Val  Loss: 1.5883 | Val  Acc: 0.6941
 Site-cartoon                       | Val  Loss: 1.7531 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.7139 | Val  Acc: 0.6364
 Site-sketch                        | Val  Loss: 1.9039 | Val  Acc: 0.2821
Average Valid Accuracy: 0.8015
 Best site-photo                     | Epoch:0 | Val Acc: 0.8889
 Best site-photo                     | Epoch:0 | Val Acc: 0.8333
 Best site-photo                     | Epoch:0 | Val Acc: 0.8750
 Best site-photo                     | Epoch:0 | Val Acc: 0.9524
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 1.0000
 Best site-photo                     | Epoch:0 | Val Acc: 0.9828
 Best site-photo                     | Epoch:0 | Val Acc: 0.9867
 Best site-photo                     | Epoch:0 | Val Acc: 0.9691
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6250
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7333
 Best site-art_painting              | Epoch:0 | Val Acc: 0.7308
 Best site-art_painting              | Epoch:0 | Val Acc: 0.8085
 Best site-art_painting              | Epoch:0 | Val Acc: 0.6941
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:0 | Val Acc: 0.6364
 Best site-sketch                    | Epoch:0 | Val Acc: 0.2821
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedsam...
============ Train epoch 1 ============
 Site-photo                         | Train Loss: 0.6668 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.8989 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 0.7508 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7471 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7358 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.8354 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.7541 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.7809 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 0.8038 | Train Acc: 0.9912
 Site-photo                         | Train Loss: 0.8414 | Train Acc: 0.9795
 Site-art_painting                  | Train Loss: 1.3247 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.3503 | Train Acc: 0.7727
 Site-art_painting                  | Train Loss: 1.3472 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 1.3196 | Train Acc: 0.7639
 Site-art_painting                  | Train Loss: 1.3288 | Train Acc: 0.7188
 Site-cartoon                       | Train Loss: 1.5454 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.4653 | Train Acc: 0.6957
 Site-sketch                        | Train Loss: 1.8435 | Train Acc: 0.3103
Average Train Accuracy: 0.8587
 Site-photo                         | Val  Loss: 0.7875 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.8742 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.9408 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 0.8402 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 0.7781 | Val  Acc: 1.0000
