===2023-06-21 16:08:23===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[451,676,1015,1522,2284,834,1252,1878,1057,1586,704,1057,1174,
client_nums=[5,3,2,2,1,]
len_dataset=[7438,4958,3305,2203,1468,]
domain number = 5
============ Train epoch 0 ============
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/gifair...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 2.1301 | Train Acc: 0.4834
 Site-MNIST                         | Train Loss: 2.1622 | Train Acc: 0.4038
 Site-MNIST                         | Train Loss: 2.1492 | Train Acc: 0.4286
 Site-MNIST                         | Train Loss: 2.1477 | Train Acc: 0.4488
 Site-MNIST                         | Train Loss: 2.1538 | Train Acc: 0.4308
 Site-USPS                          | Train Loss: 2.0923 | Train Acc: 0.5048
 Site-USPS                          | Train Loss: 2.1063 | Train Acc: 0.5240
 Site-USPS                          | Train Loss: 2.1089 | Train Acc: 0.5314
 Site-SynthDigits                   | Train Loss: 2.2693 | Train Acc: 0.2119
 Site-SynthDigits                   | Train Loss: 2.2694 | Train Acc: 0.2093
 Site-MNIST-M                       | Train Loss: 2.2969 | Train Acc: 0.1335
 Site-MNIST-M                       | Train Loss: 2.2921 | Train Acc: 0.1343
 Site-SVHN                          | Train Loss: 2.2831 | Train Acc: 0.1567
Average Train Accuracy: 0.3540
 Site-MNIST                         | Val  Loss: 2.1557 | Val  Acc: 0.4554
 Site-MNIST                         | Val  Loss: 2.1555 | Val  Acc: 0.4083
 Site-MNIST                         | Val  Loss: 2.1514 | Val  Acc: 0.4150
 Site-MNIST                         | Val  Loss: 2.1632 | Val  Acc: 0.3895
 Site-MNIST                         | Val  Loss: 2.1612 | Val  Acc: 0.4018
 Site-USPS                          | Val  Loss: 2.0950 | Val  Acc: 0.6106
 Site-USPS                          | Val  Loss: 2.1020 | Val  Acc: 0.5321
 Site-USPS                          | Val  Loss: 2.1186 | Val  Acc: 0.4925
 Site-SynthDigits                   | Val  Loss: 2.2690 | Val  Acc: 0.2614
 Site-SynthDigits                   | Val  Loss: 2.2753 | Val  Acc: 0.2172
 Site-MNIST-M                       | Val  Loss: 2.2989 | Val  Acc: 0.1136
 Site-MNIST-M                       | Val  Loss: 2.3068 | Val  Acc: 0.1326
 Site-SVHN                          | Val  Loss: 2.2820 | Val  Acc: 0.1672
Average Valid Accuracy: 0.3536
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.4554
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.4083
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.4150
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.3895
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.4018
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6106
 Best site-USPS                      | Epoch:2 | Val Acc: 0.5321
 Best site-USPS                      | Epoch:2 | Val Acc: 0.4925
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.2614
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.2172
 Best site-MNIST-M                   | Epoch:2 | Val Acc: 0.1136
 Best site-MNIST-M                   | Epoch:2 | Val Acc: 0.1326
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.1672
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/gifair...
============ Train epoch 3 ============
 Site-MNIST                         | Train Loss: 2.0817 | Train Acc: 0.5166
 Site-MNIST                         | Train Loss: 2.1193 | Train Acc: 0.4541
 Site-MNIST                         | Train Loss: 2.1005 | Train Acc: 0.4640
 Site-MNIST                         | Train Loss: 2.0995 | Train Acc: 0.4724
 Site-MNIST                         | Train Loss: 2.1066 | Train Acc: 0.4623
 Site-USPS                          | Train Loss: 2.0532 | Train Acc: 0.5348
 Site-USPS                          | Train Loss: 2.0485 | Train Acc: 0.5575
 Site-USPS                          | Train Loss: 2.0528 | Train Acc: 0.5543
 Site-SynthDigits                   | Train Loss: 2.2561 | Train Acc: 0.2252
 Site-SynthDigits                   | Train Loss: 2.2554 | Train Acc: 0.2352
 Site-MNIST-M                       | Train Loss: 2.2905 | Train Acc: 0.1435
 Site-MNIST-M                       | Train Loss: 2.2850 | Train Acc: 0.1485
 Site-SVHN                          | Train Loss: 2.2789 | Train Acc: 0.1652
Average Train Accuracy: 0.3795
 Site-MNIST                         | Val  Loss: 2.1089 | Val  Acc: 0.4911
 Site-MNIST                         | Val  Loss: 2.1085 | Val  Acc: 0.4615
 Site-MNIST                         | Val  Loss: 2.1022 | Val  Acc: 0.4664
 Site-MNIST                         | Val  Loss: 2.1187 | Val  Acc: 0.4447
 Site-MNIST                         | Val  Loss: 2.1160 | Val  Acc: 0.4579
 Site-USPS                          | Val  Loss: 2.0329 | Val  Acc: 0.6346
 Site-USPS                          | Val  Loss: 2.0432 | Val  Acc: 0.5641
 Site-USPS                          | Val  Loss: 2.0636 | Val  Acc: 0.5373
 Site-SynthDigits                   | Val  Loss: 2.2560 | Val  Acc: 0.2538
 Site-SynthDigits                   | Val  Loss: 2.2618 | Val  Acc: 0.2273
 Site-MNIST-M                       | Val  Loss: 2.2924 | Val  Acc: 0.1364
 Site-MNIST-M                       | Val  Loss: 2.3022 | Val  Acc: 0.1477
 Site-SVHN                          | Val  Loss: 2.2759 | Val  Acc: 0.1945
Average Valid Accuracy: 0.3860
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.4911
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.4615
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.4664
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.4447
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.4579
 Best site-USPS                      | Epoch:3 | Val Acc: 0.6346
 Best site-USPS                      | Epoch:3 | Val Acc: 0.5641
 Best site-USPS                      | Epoch:3 | Val Acc: 0.5373
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.2538
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.2273
 Best site-MNIST-M                   | Epoch:3 | Val Acc: 0.1364
 Best site-MNIST-M                   | Epoch:3 | Val Acc: 0.1477
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1945
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/gifair...
============ Train epoch 4 ============
 Site-MNIST                         | Train Loss: 2.0147 | Train Acc: 0.5410
 Site-MNIST                         | Train Loss: 2.0749 | Train Acc: 0.4645
 Site-MNIST                         | Train Loss: 2.0531 | Train Acc: 0.4916
 Site-MNIST                         | Train Loss: 2.0534 | Train Acc: 0.4882
 Site-MNIST                         | Train Loss: 2.0609 | Train Acc: 0.4834
 Site-USPS                          | Train Loss: 1.9878 | Train Acc: 0.5480
 Site-USPS                          | Train Loss: 1.9916 | Train Acc: 0.5767
 Site-USPS                          | Train Loss: 1.9972 | Train Acc: 0.5687
 Site-SynthDigits                   | Train Loss: 2.2419 | Train Acc: 0.2356
 Site-SynthDigits                   | Train Loss: 2.2413 | Train Acc: 0.2522
 Site-MNIST-M                       | Train Loss: 2.2839 | Train Acc: 0.1662
 Site-MNIST-M                       | Train Loss: 2.2790 | Train Acc: 0.1476
 Site-SVHN                          | Train Loss: 2.2745 | Train Acc: 0.1738
Average Train Accuracy: 0.3952
 Site-MNIST                         | Val  Loss: 2.0643 | Val  Acc: 0.5000
 Site-MNIST                         | Val  Loss: 2.0637 | Val  Acc: 0.4793
 Site-MNIST                         | Val  Loss: 2.0546 | Val  Acc: 0.4901
 Site-MNIST                         | Val  Loss: 2.0755 | Val  Acc: 0.4684
 Site-MNIST                         | Val  Loss: 2.0723 | Val  Acc: 0.4702
 Site-USPS                          | Val  Loss: 1.9726 | Val  Acc: 0.6442
 Site-USPS                          | Val  Loss: 1.9861 | Val  Acc: 0.5962
 Site-USPS                          | Val  Loss: 2.0100 | Val  Acc: 0.5608
 Site-SynthDigits                   | Val  Loss: 2.2427 | Val  Acc: 0.2689
 Site-SynthDigits                   | Val  Loss: 2.2482 | Val  Acc: 0.2551
 Site-MNIST-M                       | Val  Loss: 2.2857 | Val  Acc: 0.1761
 Site-MNIST-M                       | Val  Loss: 2.2972 | Val  Acc: 0.1705
 Site-SVHN                          | Val  Loss: 2.2699 | Val  Acc: 0.1980
Average Valid Accuracy: 0.4060
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.5000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.4793
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.4901
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.4684
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.4702
 Best site-USPS                      | Epoch:4 | Val Acc: 0.6442
 Best site-USPS                      | Epoch:4 | Val Acc: 0.5962
 Best site-USPS                      | Epoch:4 | Val Acc: 0.5608
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.2689
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.2551
