===2023-06-20 01:55:28===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2232 | Train Acc: 0.2489
 Site-MNIST                         | Train Loss: 2.2537 | Train Acc: 0.2189
 Site-MNIST                         | Train Loss: 2.2531 | Train Acc: 0.2150
 Site-MNIST                         | Train Loss: 2.2517 | Train Acc: 0.2063
 Site-MNIST                         | Train Loss: 2.2470 | Train Acc: 0.2373
 Site-USPS                          | Train Loss: 2.2288 | Train Acc: 0.3765
 Site-USPS                          | Train Loss: 2.2302 | Train Acc: 0.3914
 Site-USPS                          | Train Loss: 2.2323 | Train Acc: 0.3919
 Site-SynthDigits                   | Train Loss: 2.2941 | Train Acc: 0.1307
 Site-SynthDigits                   | Train Loss: 2.2976 | Train Acc: 0.1503
 Site-MNIST-M                       | Train Loss: 2.3118 | Train Acc: 0.1051
 Site-MNIST-M                       | Train Loss: 2.3074 | Train Acc: 0.1061
 Site-SVHN                          | Train Loss: 2.2926 | Train Acc: 0.1090
Average Train Accuracy: 0.2221
 Site-MNIST                         | Val  Loss: 2.2381 | Val  Acc: 0.3393
 Site-MNIST                         | Val  Loss: 2.2498 | Val  Acc: 0.2381
 Site-MNIST                         | Val  Loss: 2.2527 | Val  Acc: 0.2063
 Site-MNIST                         | Val  Loss: 2.2582 | Val  Acc: 0.1842
 Site-MNIST                         | Val  Loss: 2.2520 | Val  Acc: 0.2351
 Site-USPS                          | Val  Loss: 2.2429 | Val  Acc: 0.3269
 Site-USPS                          | Val  Loss: 2.2331 | Val  Acc: 0.3846
 Site-USPS                          | Val  Loss: 2.2265 | Val  Acc: 0.4017
 Site-SynthDigits                   | Val  Loss: 2.2980 | Val  Acc: 0.1439
 Site-SynthDigits                   | Val  Loss: 2.2903 | Val  Acc: 0.1313
 Site-MNIST-M                       | Val  Loss: 2.3280 | Val  Acc: 0.0795
