===2023-05-14 12:06:29===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[82,247,82,247,82,247,82,247,82,247,82,247,82,247,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[1100,1100,1100,1100,1100,1100,1100,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Best site-Southeast_Asian  | Epoch:1 | Val Acc: 0.4182
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.4545
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.4424
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1/harmo-fl...
============ Train epoch 2 ============
 Site-White           | Train Loss: 1.3904 | Train Acc: 0.4634
 Site-White           | Train Loss: 1.4007 | Train Acc: 0.4534
 Site-Latino_Hispanic | Train Loss: 1.4891 | Train Acc: 0.4024
 Site-Latino_Hispanic | Train Loss: 1.4387 | Train Acc: 0.4453
 Site-Black           | Train Loss: 1.4414 | Train Acc: 0.5488
 Site-Black           | Train Loss: 1.5278 | Train Acc: 0.4372
 Site-East_Asian      | Train Loss: 1.2987 | Train Acc: 0.5488
 Site-East_Asian      | Train Loss: 1.3693 | Train Acc: 0.4858
 Site-Indian          | Train Loss: 1.4366 | Train Acc: 0.4634
 Site-Indian          | Train Loss: 1.5127 | Train Acc: 0.4170
 Site-Southeast_Asian | Train Loss: 1.4272 | Train Acc: 0.5244
 Site-Southeast_Asian | Train Loss: 1.4304 | Train Acc: 0.4696
 Site-Middle_Eastern  | Train Loss: 1.4895 | Train Acc: 0.4878
 Site-Middle_Eastern  | Train Loss: 1.3533 | Train Acc: 0.5020
 Site-White           | Val  Loss: 1.4207 | Val  Acc: 0.4182
 Site-White           | Val  Loss: 1.4038 | Val  Acc: 0.4485
 Site-Latino_Hispanic | Val  Loss: 1.3689 | Val  Acc: 0.4364
 Site-Latino_Hispanic | Val  Loss: 1.4408 | Val  Acc: 0.4121
 Site-Black           | Val  Loss: 1.6237 | Val  Acc: 0.3818
 Site-Black           | Val  Loss: 1.5256 | Val  Acc: 0.4364
 Site-East_Asian      | Val  Loss: 1.4584 | Val  Acc: 0.4545
 Site-East_Asian      | Val  Loss: 1.3145 | Val  Acc: 0.5212
 Site-Indian          | Val  Loss: 1.5165 | Val  Acc: 0.4182
 Site-Indian          | Val  Loss: 1.4919 | Val  Acc: 0.4061
 Site-Southeast_Asian | Val  Loss: 1.4713 | Val  Acc: 0.4182
 Site-Southeast_Asian | Val  Loss: 1.4263 | Val  Acc: 0.4667
 Site-Middle_Eastern  | Val  Loss: 1.4697 | Val  Acc: 0.4727
 Site-Middle_Eastern  | Val  Loss: 1.4111 | Val  Acc: 0.4848
Average Valid Accuracy: 0.4411
 Best site-White            | Epoch:2 | Val Acc: 0.4182
 Best site-White            | Epoch:2 | Val Acc: 0.4485
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.4364
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.4121
 Best site-Black            | Epoch:2 | Val Acc: 0.3818
 Best site-Black            | Epoch:2 | Val Acc: 0.4364
 Best site-East_Asian       | Epoch:2 | Val Acc: 0.4545
 Best site-East_Asian       | Epoch:2 | Val Acc: 0.5212
 Best site-Indian           | Epoch:2 | Val Acc: 0.4182
 Best site-Indian           | Epoch:2 | Val Acc: 0.4061
 Best site-Southeast_Asian  | Epoch:2 | Val Acc: 0.4182
 Best site-Southeast_Asian  | Epoch:2 | Val Acc: 0.4667
 Best site-Middle_Eastern   | Epoch:2 | Val Acc: 0.4727
 Best site-Middle_Eastern   | Epoch:2 | Val Acc: 0.4848
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1/harmo-fl...
============ Train epoch 3 ============
 Site-White           | Train Loss: 1.3411 | Train Acc: 0.5000
 Site-White           | Train Loss: 1.3099 | Train Acc: 0.5061
 Site-Latino_Hispanic | Train Loss: 1.4328 | Train Acc: 0.4146
 Site-Latino_Hispanic | Train Loss: 1.3521 | Train Acc: 0.4615
 Site-Black           | Train Loss: 1.3210 | Train Acc: 0.5488
 Site-Black           | Train Loss: 1.4877 | Train Acc: 0.4211
 Site-East_Asian      | Train Loss: 1.2985 | Train Acc: 0.5610
 Site-East_Asian      | Train Loss: 1.3094 | Train Acc: 0.5061
 Site-Indian          | Train Loss: 1.3652 | Train Acc: 0.4390
 Site-Indian          | Train Loss: 1.4397 | Train Acc: 0.4453
 Site-Southeast_Asian | Train Loss: 1.3993 | Train Acc: 0.5122
 Site-Southeast_Asian | Train Loss: 1.3772 | Train Acc: 0.4818
 Site-Middle_Eastern  | Train Loss: 1.2085 | Train Acc: 0.5366
 Site-Middle_Eastern  | Train Loss: 1.3182 | Train Acc: 0.4980
 Site-White           | Val  Loss: 1.3238 | Val  Acc: 0.4909
 Site-White           | Val  Loss: 1.3240 | Val  Acc: 0.4727
 Site-Latino_Hispanic | Val  Loss: 1.3309 | Val  Acc: 0.4909
 Site-Latino_Hispanic | Val  Loss: 1.3474 | Val  Acc: 0.4485
 Site-Black           | Val  Loss: 1.4977 | Val  Acc: 0.4364
 Site-Black           | Val  Loss: 1.4910 | Val  Acc: 0.4303
 Site-East_Asian      | Val  Loss: 1.3402 | Val  Acc: 0.5091
 Site-East_Asian      | Val  Loss: 1.3067 | Val  Acc: 0.4909
 Site-Indian          | Val  Loss: 1.4451 | Val  Acc: 0.4364
 Site-Indian          | Val  Loss: 1.3948 | Val  Acc: 0.4545
 Site-Southeast_Asian | Val  Loss: 1.4087 | Val  Acc: 0.4364
 Site-Southeast_Asian | Val  Loss: 1.3689 | Val  Acc: 0.4909
 Site-Middle_Eastern  | Val  Loss: 1.3942 | Val  Acc: 0.5091
 Site-Middle_Eastern  | Val  Loss: 1.3655 | Val  Acc: 0.4788
Average Valid Accuracy: 0.4697
 Best site-White            | Epoch:3 | Val Acc: 0.4909
 Best site-White            | Epoch:3 | Val Acc: 0.4727
 Best site-Latino_Hispanic  | Epoch:3 | Val Acc: 0.4909
 Best site-Latino_Hispanic  | Epoch:3 | Val Acc: 0.4485
 Best site-Black            | Epoch:3 | Val Acc: 0.4364
 Best site-Black            | Epoch:3 | Val Acc: 0.4303
 Best site-East_Asian       | Epoch:3 | Val Acc: 0.5091
 Best site-East_Asian       | Epoch:3 | Val Acc: 0.4909
 Best site-Indian           | Epoch:3 | Val Acc: 0.4364
 Best site-Indian           | Epoch:3 | Val Acc: 0.4545
 Best site-Southeast_Asian  | Epoch:3 | Val Acc: 0.4364
 Best site-Southeast_Asian  | Epoch:3 | Val Acc: 0.4909
 Best site-Middle_Eastern   | Epoch:3 | Val Acc: 0.5091
 Best site-Middle_Eastern   | Epoch:3 | Val Acc: 0.4788
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1/harmo-fl...
============ Train epoch 4 ============
 Site-White           | Train Loss: 1.2793 | Train Acc: 0.4756
 Site-White           | Train Loss: 1.2694 | Train Acc: 0.4858
 Site-Latino_Hispanic | Train Loss: 1.3352 | Train Acc: 0.4268
 Site-Latino_Hispanic | Train Loss: 1.3022 | Train Acc: 0.4818
 Site-Black           | Train Loss: 1.3000 | Train Acc: 0.5122
 Site-Black           | Train Loss: 1.4511 | Train Acc: 0.4494
 Site-East_Asian      | Train Loss: 1.3515 | Train Acc: 0.5488
 Site-East_Asian      | Train Loss: 1.2591 | Train Acc: 0.5061
 Site-Indian          | Train Loss: 1.2772 | Train Acc: 0.4878
 Site-Indian          | Train Loss: 1.3778 | Train Acc: 0.4372
 Site-Southeast_Asian | Train Loss: 1.3351 | Train Acc: 0.5488
 Site-Southeast_Asian | Train Loss: 1.3291 | Train Acc: 0.4737
 Site-Middle_Eastern  | Train Loss: 1.3186 | Train Acc: 0.4756
 Site-Middle_Eastern  | Train Loss: 1.2745 | Train Acc: 0.5263
 Site-White           | Val  Loss: 1.2529 | Val  Acc: 0.4364
 Site-White           | Val  Loss: 1.2820 | Val  Acc: 0.4909
 Site-Latino_Hispanic | Val  Loss: 1.2856 | Val  Acc: 0.4727
 Site-Latino_Hispanic | Val  Loss: 1.2890 | Val  Acc: 0.4545
 Site-Black           | Val  Loss: 1.4645 | Val  Acc: 0.4909
 Site-Black           | Val  Loss: 1.4402 | Val  Acc: 0.4606
 Site-East_Asian      | Val  Loss: 1.4213 | Val  Acc: 0.4000
 Site-East_Asian      | Val  Loss: 1.2500 | Val  Acc: 0.5091
 Site-Indian          | Val  Loss: 1.4345 | Val  Acc: 0.4182
 Site-Indian          | Val  Loss: 1.3950 | Val  Acc: 0.4424
 Site-Southeast_Asian | Val  Loss: 1.2771 | Val  Acc: 0.4545
 Site-Southeast_Asian | Val  Loss: 1.3176 | Val  Acc: 0.4788
 Site-Middle_Eastern  | Val  Loss: 1.3366 | Val  Acc: 0.4727
 Site-Middle_Eastern  | Val  Loss: 1.2822 | Val  Acc: 0.5030
Average Valid Accuracy: 0.4632
============ Train epoch 5 ============
 Site-White           | Train Loss: 1.2681 | Train Acc: 0.4390
 Site-White           | Train Loss: 1.2080 | Train Acc: 0.5263
 Site-Latino_Hispanic | Train Loss: 1.4296 | Train Acc: 0.4512
 Site-Latino_Hispanic | Train Loss: 1.2676 | Train Acc: 0.4615
 Site-Black           | Train Loss: 1.3102 | Train Acc: 0.5122
 Site-Black           | Train Loss: 1.4220 | Train Acc: 0.4696
 Site-East_Asian      | Train Loss: 1.2295 | Train Acc: 0.5610
 Site-East_Asian      | Train Loss: 1.2532 | Train Acc: 0.5182
 Site-Indian          | Train Loss: 1.3780 | Train Acc: 0.4512
 Site-Indian          | Train Loss: 1.3527 | Train Acc: 0.4575
 Site-Southeast_Asian | Train Loss: 1.2498 | Train Acc: 0.5366
 Site-Southeast_Asian | Train Loss: 1.3019 | Train Acc: 0.5101
 Site-Middle_Eastern  | Train Loss: 1.0983 | Train Acc: 0.5244
 Site-Middle_Eastern  | Train Loss: 1.2369 | Train Acc: 0.5344
 Site-White           | Val  Loss: 1.2491 | Val  Acc: 0.4909
 Site-White           | Val  Loss: 1.2608 | Val  Acc: 0.4909
 Site-Latino_Hispanic | Val  Loss: 1.2872 | Val  Acc: 0.4364
 Site-Latino_Hispanic | Val  Loss: 1.2134 | Val  Acc: 0.4727
 Site-Black           | Val  Loss: 1.4637 | Val  Acc: 0.4182
 Site-Black           | Val  Loss: 1.4440 | Val  Acc: 0.4848
 Site-East_Asian      | Val  Loss: 1.3897 | Val  Acc: 0.4727
 Site-East_Asian      | Val  Loss: 1.2454 | Val  Acc: 0.5091
 Site-Indian          | Val  Loss: 1.2999 | Val  Acc: 0.4545
