===2023-07-29 11:52:58===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 1.1672 | Train Acc: 0.8333
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8036
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8039
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7760
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7795
 Best site-USPS                      | Epoch:0 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6111
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6250
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7069
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7810
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8307
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2703
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.3676
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.3361
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2667
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.3704
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1571
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 0.6044 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.8075 | Train Acc: 0.9167
 Site-MNIST                         | Train Loss: 0.4287 | Train Acc: 1.0000
 Site-MNIST                         | Train Loss: 0.5158 | Train Acc: 0.9211
 Site-MNIST                         | Train Loss: 0.5960 | Train Acc: 0.8286
 Site-MNIST                         | Train Loss: 0.6603 | Train Acc: 0.8810
 Site-MNIST                         | Train Loss: 0.6246 | Train Acc: 0.8634
 Site-MNIST                         | Train Loss: 0.7432 | Train Acc: 0.8142
 Site-MNIST                         | Train Loss: 0.6722 | Train Acc: 0.8587
 Site-MNIST                         | Train Loss: 0.6251 | Train Acc: 0.8823
 Site-USPS                          | Train Loss: 0.7272 | Train Acc: 0.8250
 Site-USPS                          | Train Loss: 0.8647 | Train Acc: 0.7917
 Site-USPS                          | Train Loss: 0.6694 | Train Acc: 0.8372
 Site-USPS                          | Train Loss: 0.7294 | Train Acc: 0.8026
 Site-USPS                          | Train Loss: 0.6348 | Train Acc: 0.8167
 Site-USPS                          | Train Loss: 0.6748 | Train Acc: 0.8320
 Site-SynthDigits                   | Train Loss: 1.9088 | Train Acc: 0.3179
 Site-SynthDigits                   | Train Loss: 1.8513 | Train Acc: 0.3297
 Site-SynthDigits                   | Train Loss: 1.7593 | Train Acc: 0.4196
 Site-MNIST_M                       | Train Loss: 1.9350 | Train Acc: 0.3867
 Site-MNIST_M                       | Train Loss: 1.8863 | Train Acc: 0.3486
 Site-SVHN                          | Train Loss: 2.2081 | Train Acc: 0.1879
Average Train Accuracy: 0.7134
 Site-MNIST                         | Val  Loss: 0.3121 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5337 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.6675 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.7476 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.6799 | Val  Acc: 0.7647
 Site-MNIST                         | Val  Loss: 0.6617 | Val  Acc: 0.8387
 Site-MNIST                         | Val  Loss: 0.6678 | Val  Acc: 0.8571
 Site-MNIST                         | Val  Loss: 0.6361 | Val  Acc: 0.8529
 Site-MNIST                         | Val  Loss: 0.6861 | Val  Acc: 0.8361
 Site-MNIST                         | Val  Loss: 0.6841 | Val  Acc: 0.8399
 Site-USPS                          | Val  Loss: 0.4725 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 0.9344 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 0.9344 | Val  Acc: 0.6250
 Site-USPS                          | Val  Loss: 0.9099 | Val  Acc: 0.7069
 Site-USPS                          | Val  Loss: 0.7775 | Val  Acc: 0.7714
 Site-USPS                          | Val  Loss: 0.6527 | Val  Acc: 0.8466
 Site-SynthDigits                   | Val  Loss: 1.8744 | Val  Acc: 0.2703
 Site-SynthDigits                   | Val  Loss: 2.0993 | Val  Acc: 0.3529
 Site-SynthDigits                   | Val  Loss: 1.8158 | Val  Acc: 0.3770
 Site-MNIST_M                       | Val  Loss: 1.9900 | Val  Acc: 0.4000
 Site-MNIST_M                       | Val  Loss: 1.8804 | Val  Acc: 0.4568
 Site-SVHN                          | Val  Loss: 2.3077 | Val  Acc: 0.2000
Average Valid Accuracy: 0.6882
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7647
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8387
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8571
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8529
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8361
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8399
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6250
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7069
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7714
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8466
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2703
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3529
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3770
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.4000
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.4568
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/harmo-fl...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 0.3796 | Train Acc: 1.0000
 Site-MNIST                         | Train Loss: 0.5984 | Train Acc: 0.9167
 Site-MNIST                         | Train Loss: 0.3042 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.3672 | Train Acc: 0.9474
 Site-MNIST                         | Train Loss: 0.5765 | Train Acc: 0.8714
 Site-MNIST                         | Train Loss: 0.4803 | Train Acc: 0.9048
 Site-MNIST                         | Train Loss: 0.5030 | Train Acc: 0.8811
 Site-MNIST                         | Train Loss: 0.5835 | Train Acc: 0.8386
 Site-MNIST                         | Train Loss: 0.5026 | Train Acc: 0.8750
 Site-MNIST                         | Train Loss: 0.4723 | Train Acc: 0.8958
 Site-USPS                          | Train Loss: 0.6209 | Train Acc: 0.8750
 Site-USPS                          | Train Loss: 0.6805 | Train Acc: 0.8472
 Site-USPS                          | Train Loss: 0.3666 | Train Acc: 0.8450
 Site-USPS                          | Train Loss: 0.5751 | Train Acc: 0.8412
 Site-USPS                          | Train Loss: 0.4975 | Train Acc: 0.8786
 Site-USPS                          | Train Loss: 0.5217 | Train Acc: 0.8624
 Site-SynthDigits                   | Train Loss: 1.7220 | Train Acc: 0.4040
 Site-SynthDigits                   | Train Loss: 1.7454 | Train Acc: 0.4103
 Site-SynthDigits                   | Train Loss: 1.6097 | Train Acc: 0.4623
 Site-MNIST_M                       | Train Loss: 1.8601 | Train Acc: 0.3646
 Site-MNIST_M                       | Train Loss: 1.7341 | Train Acc: 0.3884
 Site-SVHN                          | Train Loss: 2.1684 | Train Acc: 0.2128
Average Train Accuracy: 0.7489
 Site-MNIST                         | Val  Loss: 0.0831 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.3255 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5467 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.6144 | Val  Acc: 0.8889
 Site-MNIST                         | Val  Loss: 0.5495 | Val  Acc: 0.8235
 Site-MNIST                         | Val  Loss: 0.5044 | Val  Acc: 0.8710
 Site-MNIST                         | Val  Loss: 0.4861 | Val  Acc: 0.8750
 Site-MNIST                         | Val  Loss: 0.4516 | Val  Acc: 0.8922
 Site-MNIST                         | Val  Loss: 0.5232 | Val  Acc: 0.8525
 Site-MNIST                         | Val  Loss: 0.5277 | Val  Acc: 0.8610
 Site-USPS                          | Val  Loss: 0.2660 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.7353 | Val  Acc: 0.7222
 Site-USPS                          | Val  Loss: 0.7780 | Val  Acc: 0.7188
 Site-USPS                          | Val  Loss: 0.7694 | Val  Acc: 0.7586
 Site-USPS                          | Val  Loss: 0.6457 | Val  Acc: 0.8190
 Site-USPS                          | Val  Loss: 0.5060 | Val  Acc: 0.8571
 Site-SynthDigits                   | Val  Loss: 1.6836 | Val  Acc: 0.3514
 Site-SynthDigits                   | Val  Loss: 1.9204 | Val  Acc: 0.4265
 Site-SynthDigits                   | Val  Loss: 1.7087 | Val  Acc: 0.4262
 Site-MNIST_M                       | Val  Loss: 1.8939 | Val  Acc: 0.4000
 Site-MNIST_M                       | Val  Loss: 1.7532 | Val  Acc: 0.4815
 Site-SVHN                          | Val  Loss: 2.2075 | Val  Acc: 0.1857
Average Valid Accuracy: 0.7278
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8889
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8235
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8710
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8750
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8922
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8525
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8610
 Best site-USPS                      | Epoch:2 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.7222
 Best site-USPS                      | Epoch:2 | Val Acc: 0.7188
 Best site-USPS                      | Epoch:2 | Val Acc: 0.7586
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8190
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8571
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.3514
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.4265
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.4262
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.4000
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.4815
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.1857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/harmo-fl...
============ Train epoch 3 ============
 Site-MNIST                         | Train Loss: 0.2886 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.5160 | Train Acc: 0.9167
 Site-MNIST                         | Train Loss: 0.2346 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.2632 | Train Acc: 0.9737
 Site-MNIST                         | Train Loss: 0.3244 | Train Acc: 0.8714
 Site-MNIST                         | Train Loss: 0.3758 | Train Acc: 0.9206
 Site-MNIST                         | Train Loss: 0.3820 | Train Acc: 0.8855
 Site-MNIST                         | Train Loss: 0.4481 | Train Acc: 0.8704
 Site-MNIST                         | Train Loss: 0.4051 | Train Acc: 0.8995
 Site-MNIST                         | Train Loss: 0.3659 | Train Acc: 0.9132
 Site-USPS                          | Train Loss: 0.4999 | Train Acc: 0.9250
 Site-USPS                          | Train Loss: 0.5647 | Train Acc: 0.8750
 Site-USPS                          | Train Loss: 0.3873 | Train Acc: 0.8837
 Site-USPS                          | Train Loss: 0.4912 | Train Acc: 0.8627
 Site-USPS                          | Train Loss: 0.4019 | Train Acc: 0.8905
 Site-USPS                          | Train Loss: 0.4215 | Train Acc: 0.8915
 Site-SynthDigits                   | Train Loss: 1.6686 | Train Acc: 0.4238
 Site-SynthDigits                   | Train Loss: 1.6935 | Train Acc: 0.4103
 Site-SynthDigits                   | Train Loss: 1.5490 | Train Acc: 0.4705
 Site-MNIST_M                       | Train Loss: 1.8020 | Train Acc: 0.3757
 Site-MNIST_M                       | Train Loss: 1.6930 | Train Acc: 0.4190
 Site-SVHN                          | Train Loss: 2.1415 | Train Acc: 0.2092
Average Train Accuracy: 0.7579
 Site-MNIST                         | Val  Loss: 0.0854 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.2585 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5452 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.5549 | Val  Acc: 0.8889
 Site-MNIST                         | Val  Loss: 0.4432 | Val  Acc: 0.8824
 Site-MNIST                         | Val  Loss: 0.3679 | Val  Acc: 0.9032
 Site-MNIST                         | Val  Loss: 0.3669 | Val  Acc: 0.9107
 Site-MNIST                         | Val  Loss: 0.3474 | Val  Acc: 0.9118
 Site-MNIST                         | Val  Loss: 0.4181 | Val  Acc: 0.8852
 Site-MNIST                         | Val  Loss: 0.4269 | Val  Acc: 0.8731
 Site-USPS                          | Val  Loss: 0.1331 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.6511 | Val  Acc: 0.7222
 Site-USPS                          | Val  Loss: 0.6646 | Val  Acc: 0.7500
 Site-USPS                          | Val  Loss: 0.6670 | Val  Acc: 0.7586
 Site-USPS                          | Val  Loss: 0.5562 | Val  Acc: 0.8286
 Site-USPS                          | Val  Loss: 0.4279 | Val  Acc: 0.8783
 Site-SynthDigits                   | Val  Loss: 1.6419 | Val  Acc: 0.3514
 Site-SynthDigits                   | Val  Loss: 1.8843 | Val  Acc: 0.4412
 Site-SynthDigits                   | Val  Loss: 1.6586 | Val  Acc: 0.4262
 Site-MNIST_M                       | Val  Loss: 1.8669 | Val  Acc: 0.4222
 Site-MNIST_M                       | Val  Loss: 1.7025 | Val  Acc: 0.4938
 Site-SVHN                          | Val  Loss: 2.1896 | Val  Acc: 0.1857
Average Valid Accuracy: 0.7415
 Best site-MNIST                     | Epoch:3 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:3 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8889
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8824
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.9032
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.9107
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.9118
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8852
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8731
 Best site-USPS                      | Epoch:3 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.7222
 Best site-USPS                      | Epoch:3 | Val Acc: 0.7500
 Best site-USPS                      | Epoch:3 | Val Acc: 0.7586
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8286
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8783
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.3514
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.4412
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.4262
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.4222
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.4938
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/harmo-fl...
============ Train epoch 4 ============
 Site-MNIST                         | Train Loss: 0.2591 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.4587 | Train Acc: 0.9167
 Site-MNIST                         | Train Loss: 0.1914 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.2150 | Train Acc: 0.9737
 Site-MNIST                         | Train Loss: 0.2223 | Train Acc: 0.9286
 Site-MNIST                         | Train Loss: 0.3184 | Train Acc: 0.9365
 Site-MNIST                         | Train Loss: 0.3169 | Train Acc: 0.9119
 Site-MNIST                         | Train Loss: 0.3997 | Train Acc: 0.8851
 Site-MNIST                         | Train Loss: 0.3408 | Train Acc: 0.9144
 Site-MNIST                         | Train Loss: 0.3085 | Train Acc: 0.9306
 Site-USPS                          | Train Loss: 0.5072 | Train Acc: 0.9250
 Site-USPS                          | Train Loss: 0.3133 | Train Acc: 0.9028
 Site-USPS                          | Train Loss: 0.2966 | Train Acc: 0.9070
 Site-USPS                          | Train Loss: 0.4762 | Train Acc: 0.8627
 Site-USPS                          | Train Loss: 0.3656 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.3829 | Train Acc: 0.9074
 Site-SynthDigits                   | Train Loss: 1.6327 | Train Acc: 0.4371
 Site-SynthDigits                   | Train Loss: 1.6329 | Train Acc: 0.4725
 Site-SynthDigits                   | Train Loss: 1.4718 | Train Acc: 0.5010
 Site-MNIST_M                       | Train Loss: 1.7757 | Train Acc: 0.4033
 Site-MNIST_M                       | Train Loss: 1.6542 | Train Acc: 0.4220
 Site-SVHN                          | Train Loss: 2.1487 | Train Acc: 0.2199
Average Train Accuracy: 0.7747
 Site-MNIST                         | Val  Loss: 0.0446 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.1637 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5414 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.5230 | Val  Acc: 0.8889
 Site-MNIST                         | Val  Loss: 0.3955 | Val  Acc: 0.8824
 Site-MNIST                         | Val  Loss: 0.3021 | Val  Acc: 0.9032
 Site-MNIST                         | Val  Loss: 0.3009 | Val  Acc: 0.9107
 Site-MNIST                         | Val  Loss: 0.2894 | Val  Acc: 0.9216
 Site-MNIST                         | Val  Loss: 0.3768 | Val  Acc: 0.8962
 Site-MNIST                         | Val  Loss: 0.3747 | Val  Acc: 0.9003
 Site-USPS                          | Val  Loss: 0.1129 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.5909 | Val  Acc: 0.7778
 Site-USPS                          | Val  Loss: 0.6795 | Val  Acc: 0.7500
 Site-USPS                          | Val  Loss: 0.6504 | Val  Acc: 0.7759
 Site-USPS                          | Val  Loss: 0.5346 | Val  Acc: 0.8381
 Site-USPS                          | Val  Loss: 0.4004 | Val  Acc: 0.8889
 Site-SynthDigits                   | Val  Loss: 1.5302 | Val  Acc: 0.4324
 Site-SynthDigits                   | Val  Loss: 1.8110 | Val  Acc: 0.4706
 Site-SynthDigits                   | Val  Loss: 1.5528 | Val  Acc: 0.4754
 Site-MNIST_M                       | Val  Loss: 1.8425 | Val  Acc: 0.4444
 Site-MNIST_M                       | Val  Loss: 1.6475 | Val  Acc: 0.5309
 Site-SVHN                          | Val  Loss: 2.1071 | Val  Acc: 0.2000
Average Valid Accuracy: 0.7585
 Best site-MNIST                     | Epoch:4 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:4 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8889
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8824
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.9032
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.9107
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.9216
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8962
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.9003
 Best site-USPS                      | Epoch:4 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.7778
 Best site-USPS                      | Epoch:4 | Val Acc: 0.7500
 Best site-USPS                      | Epoch:4 | Val Acc: 0.7759
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8381
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8889
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.4324
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.4706
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.4754
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.4444
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.5309
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.2000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/harmo-fl...
============ Train epoch 5 ============
 Site-MNIST                         | Train Loss: 0.2277 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.4412 | Train Acc: 0.9167
 Site-MNIST                         | Train Loss: 0.1557 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.1853 | Train Acc: 0.9737
 Site-MNIST                         | Train Loss: 0.2313 | Train Acc: 0.9429
 Site-MNIST                         | Train Loss: 0.2738 | Train Acc: 0.9444
 Site-MNIST                         | Train Loss: 0.2483 | Train Acc: 0.9339
 Site-MNIST                         | Train Loss: 0.3267 | Train Acc: 0.9071
 Site-MNIST                         | Train Loss: 0.2872 | Train Acc: 0.9226
 Site-MNIST                         | Train Loss: 0.2546 | Train Acc: 0.9464
 Site-USPS                          | Train Loss: 0.4734 | Train Acc: 0.9500
 Site-USPS                          | Train Loss: 0.4727 | Train Acc: 0.9028
 Site-USPS                          | Train Loss: 0.2436 | Train Acc: 0.9070
 Site-USPS                          | Train Loss: 0.4162 | Train Acc: 0.8798
 Site-USPS                          | Train Loss: 0.3159 | Train Acc: 0.9190
 Site-USPS                          | Train Loss: 0.3406 | Train Acc: 0.9153
 Site-SynthDigits                   | Train Loss: 1.5841 | Train Acc: 0.4437
 Site-SynthDigits                   | Train Loss: 1.5421 | Train Acc: 0.4762
 Site-SynthDigits                   | Train Loss: 1.4409 | Train Acc: 0.5132
 Site-MNIST_M                       | Train Loss: 1.7799 | Train Acc: 0.3867
 Site-MNIST_M                       | Train Loss: 1.6239 | Train Acc: 0.4465
 Site-SVHN                          | Train Loss: 2.1135 | Train Acc: 0.2199
Average Train Accuracy: 0.7833
 Site-MNIST                         | Val  Loss: 0.0485 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.1960 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5891 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.5220 | Val  Acc: 0.8889
 Site-MNIST                         | Val  Loss: 0.3677 | Val  Acc: 0.9412
 Site-MNIST                         | Val  Loss: 0.2587 | Val  Acc: 0.9677
 Site-MNIST                         | Val  Loss: 0.2635 | Val  Acc: 0.9464
 Site-MNIST                         | Val  Loss: 0.2491 | Val  Acc: 0.9412
 Site-MNIST                         | Val  Loss: 0.3243 | Val  Acc: 0.9071
 Site-MNIST                         | Val  Loss: 0.3158 | Val  Acc: 0.9184
 Site-USPS                          | Val  Loss: 0.1052 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4924 | Val  Acc: 0.8889
