===2023-05-25 10:35:28===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
data_number=[139,417,139,417,139,417,139,417,139,417,139,417,139,417,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[1856,1856,1856,1856,1856,1856,1856,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
 Best site-Indian                    | Epoch:1 | Val Acc: 0.2446
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.3043
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.3165
 Best site-Middle_Eastern            | Epoch:1 | Val Acc: 0.3043
 Best site-Middle_Eastern            | Epoch:1 | Val Acc: 0.2662
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 2 ============
 Site-White                    | Train Loss: 1.8870 | Train Acc: 0.3309
 Site-White                    | Train Loss: 1.8815 | Train Acc: 0.3525
 Site-Latino_Hispanic          | Train Loss: 1.9311 | Train Acc: 0.2950
 Site-Latino_Hispanic          | Train Loss: 1.9517 | Train Acc: 0.2710
 Site-Black                    | Train Loss: 2.0141 | Train Acc: 0.2230
 Site-Black                    | Train Loss: 2.0221 | Train Acc: 0.2494
 Site-East_Asian               | Train Loss: 1.8720 | Train Acc: 0.3813
 Site-East_Asian               | Train Loss: 1.8520 | Train Acc: 0.3909
 Site-Indian                   | Train Loss: 1.9979 | Train Acc: 0.2374
 Site-Indian                   | Train Loss: 2.0125 | Train Acc: 0.2374
 Site-Southeast_Asian          | Train Loss: 1.9782 | Train Acc: 0.3165
 Site-Southeast_Asian          | Train Loss: 1.9553 | Train Acc: 0.3022
 Site-Middle_Eastern           | Train Loss: 1.9660 | Train Acc: 0.2446
 Site-Middle_Eastern           | Train Loss: 1.9796 | Train Acc: 0.2638
 Site-White                         | Val  Loss: 1.9322 | Val  Acc: 0.3370
 Site-White                         | Val  Loss: 1.8800 | Val  Acc: 0.3669
 Site-Latino_Hispanic               | Val  Loss: 1.9546 | Val  Acc: 0.3043
 Site-Latino_Hispanic               | Val  Loss: 1.9286 | Val  Acc: 0.2842
 Site-Black                         | Val  Loss: 1.9931 | Val  Acc: 0.3043
 Site-Black                         | Val  Loss: 2.0022 | Val  Acc: 0.2482
 Site-East_Asian                    | Val  Loss: 1.8057 | Val  Acc: 0.4239
 Site-East_Asian                    | Val  Loss: 1.8627 | Val  Acc: 0.3849
 Site-Indian                        | Val  Loss: 2.0112 | Val  Acc: 0.2283
 Site-Indian                        | Val  Loss: 2.0004 | Val  Acc: 0.2302
 Site-Southeast_Asian               | Val  Loss: 1.9721 | Val  Acc: 0.3152
 Site-Southeast_Asian               | Val  Loss: 1.9669 | Val  Acc: 0.3129
 Site-Middle_Eastern                | Val  Loss: 1.9285 | Val  Acc: 0.3043
 Site-Middle_Eastern                | Val  Loss: 1.9597 | Val  Acc: 0.2626
Average Valid Accuracy: 0.3077
============ Train epoch 3 ============
 Site-White                    | Train Loss: 1.8448 | Train Acc: 0.3885
 Site-White                    | Train Loss: 1.8526 | Train Acc: 0.3621
 Site-Latino_Hispanic          | Train Loss: 1.8908 | Train Acc: 0.2878
 Site-Latino_Hispanic          | Train Loss: 1.9388 | Train Acc: 0.2710
 Site-Black                    | Train Loss: 1.9862 | Train Acc: 0.2302
 Site-Black                    | Train Loss: 1.9832 | Train Acc: 0.2494
 Site-East_Asian               | Train Loss: 1.8312 | Train Acc: 0.3813
 Site-East_Asian               | Train Loss: 1.8426 | Train Acc: 0.3861
 Site-Indian                   | Train Loss: 1.9678 | Train Acc: 0.2374
 Site-Indian                   | Train Loss: 1.9973 | Train Acc: 0.2374
 Site-Southeast_Asian          | Train Loss: 1.9412 | Train Acc: 0.3165
 Site-Southeast_Asian          | Train Loss: 1.9203 | Train Acc: 0.3094
 Site-Middle_Eastern           | Train Loss: 1.9327 | Train Acc: 0.2518
 Site-Middle_Eastern           | Train Loss: 1.9217 | Train Acc: 0.2710
 Site-White                         | Val  Loss: 1.8936 | Val  Acc: 0.3370
 Site-White                         | Val  Loss: 1.8417 | Val  Acc: 0.3741
 Site-Latino_Hispanic               | Val  Loss: 1.9128 | Val  Acc: 0.2935
 Site-Latino_Hispanic               | Val  Loss: 1.8908 | Val  Acc: 0.2878
 Site-Black                         | Val  Loss: 1.9547 | Val  Acc: 0.2826
 Site-Black                         | Val  Loss: 1.9731 | Val  Acc: 0.2482
