===2023-05-24 11:46:06===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1075 | Val  Acc: 0.2365
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1103 | Val  Acc: 0.2320
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1152 | Val  Acc: 0.2008
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1265 | Val  Acc: 0.2500
 Site-Black_Female                  | Val  Loss: 2.1313 | Val  Acc: 0.2159
 Site-Black_Male                    | Val  Loss: 2.1345 | Val  Acc: 0.1732
 Site-Black_Female                  | Val  Loss: 2.1273 | Val  Acc: 0.2114
 Site-East_Asian_Male               | Val  Loss: 2.1157 | Val  Acc: 0.2350
 Site-East_Asian_Female             | Val  Loss: 2.0882 | Val  Acc: 0.2532
 Site-Indian_Male                   | Val  Loss: 2.1448 | Val  Acc: 0.2291
 Site-Indian_Female                 | Val  Loss: 2.1301 | Val  Acc: 0.2479
 Site-Southeast_Asian_Male          | Val  Loss: 2.1463 | Val  Acc: 0.1772
 Site-Middle_Eastern_Female         | Val  Loss: 2.1079 | Val  Acc: 0.3091
Average Valid Accuracy: 0.2327
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2273
 Best site-White_Female              | Epoch:1 | Val Acc: 0.2486
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2291
 Best site-White_Female              | Epoch:1 | Val Acc: 0.2828
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2292
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.2365
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2320
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.2008
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2500
 Best site-Black_Female              | Epoch:1 | Val Acc: 0.2159
 Best site-Black_Male                | Epoch:1 | Val Acc: 0.1732
 Best site-Black_Female              | Epoch:1 | Val Acc: 0.2114
 Best site-East_Asian_Male           | Epoch:1 | Val Acc: 0.2350
 Best site-East_Asian_Female         | Epoch:1 | Val Acc: 0.2532
 Best site-Indian_Male               | Epoch:1 | Val Acc: 0.2291
 Best site-Indian_Female             | Epoch:1 | Val Acc: 0.2479
 Best site-Southeast_Asian_Male      | Epoch:1 | Val Acc: 0.1772
 Best site-Middle_Eastern_Female     | Epoch:1 | Val Acc: 0.3091
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/fedavg...
============ Train epoch 2 ============
 Site-White_Male               | Train Loss: 2.1265 | Train Acc: 0.2626
 Site-White_Female             | Train Loss: 2.0827 | Train Acc: 0.3166
 Site-White_Male               | Train Loss: 2.1230 | Train Acc: 0.2353
