===2023-05-24 04:44:01===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8646 | Val  Acc: 0.2770
 Site-Latino_Hispanic_Male          | Val  Loss: 1.9295 | Val  Acc: 0.2423
 Site-Latino_Hispanic_Female        | Val  Loss: 1.9188 | Val  Acc: 0.2795
 Site-Latino_Hispanic_Male          | Val  Loss: 1.9465 | Val  Acc: 0.2237
 Site-Black_Female                  | Val  Loss: 1.8852 | Val  Acc: 0.3125
 Site-Black_Male                    | Val  Loss: 1.9073 | Val  Acc: 0.2165
 Site-Black_Female                  | Val  Loss: 1.8956 | Val  Acc: 0.3054
 Site-East_Asian_Male               | Val  Loss: 1.8555 | Val  Acc: 0.2991
 Site-East_Asian_Female             | Val  Loss: 1.6789 | Val  Acc: 0.4643
 Site-Indian_Male                   | Val  Loss: 1.9602 | Val  Acc: 0.2514
 Site-Indian_Female                 | Val  Loss: 2.0709 | Val  Acc: 0.2906
 Site-Southeast_Asian_Male          | Val  Loss: 2.0388 | Val  Acc: 0.2816
 Site-Middle_Eastern_Female         | Val  Loss: 1.8389 | Val  Acc: 0.3591
Average Valid Accuracy: 0.2966
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2727
 Best site-White_Female              | Epoch:1 | Val Acc: 0.4104
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2379
 Best site-White_Female              | Epoch:1 | Val Acc: 0.3737
 Best site-White_Male                | Epoch:1 | Val Acc: 0.2417
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.2770
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2423
 Best site-Latino_Hispanic_Female    | Epoch:1 | Val Acc: 0.2795
 Best site-Latino_Hispanic_Male      | Epoch:1 | Val Acc: 0.2237
 Best site-Black_Female              | Epoch:1 | Val Acc: 0.3125
 Best site-Black_Male                | Epoch:1 | Val Acc: 0.2165
 Best site-Black_Female              | Epoch:1 | Val Acc: 0.3054
 Best site-East_Asian_Male           | Epoch:1 | Val Acc: 0.2991
 Best site-East_Asian_Female         | Epoch:1 | Val Acc: 0.4643
 Best site-Indian_Male               | Epoch:1 | Val Acc: 0.2514
 Best site-Indian_Female             | Epoch:1 | Val Acc: 0.2906
 Best site-Southeast_Asian_Male      | Epoch:1 | Val Acc: 0.2816
 Best site-Middle_Eastern_Female     | Epoch:1 | Val Acc: 0.3591
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/CoCoOP...
============ Train epoch 2 ============
 Site-White_Male               | Train Loss: 1.8930 | Train Acc: 0.2778
 Site-White_Female             | Train Loss: 1.7512 | Train Acc: 0.3514
 Site-White_Male               | Train Loss: 1.9062 | Train Acc: 0.2735
 Site-White_Female             | Train Loss: 1.7838 | Train Acc: 0.3677
 Site-White_Male               | Train Loss: 1.8974 | Train Acc: 0.2778
 Site-Latino_Hispanic_Female   | Train Loss: 1.8432 | Train Acc: 0.2883
 Site-Latino_Hispanic_Male     | Train Loss: 1.9013 | Train Acc: 0.2474
 Site-Latino_Hispanic_Female   | Train Loss: 1.8946 | Train Acc: 0.2696
 Site-Latino_Hispanic_Male     | Train Loss: 1.8636 | Train Acc: 0.2385
 Site-Black_Female             | Train Loss: 1.8426 | Train Acc: 0.3220
 Site-Black_Male               | Train Loss: 1.8910 | Train Acc: 0.2370
 Site-Black_Female             | Train Loss: 1.8442 | Train Acc: 0.3058
 Site-East_Asian_Male          | Train Loss: 1.8218 | Train Acc: 0.3324
 Site-East_Asian_Female        | Train Loss: 1.6729 | Train Acc: 0.4654
 Site-Indian_Male              | Train Loss: 1.9234 | Train Acc: 0.2463
 Site-Indian_Female            | Train Loss: 2.0045 | Train Acc: 0.2869
 Site-Southeast_Asian_Male     | Train Loss: 1.9889 | Train Acc: 0.2785
 Site-Middle_Eastern_Female    | Train Loss: 1.7937 | Train Acc: 0.3364
 Site-White_Male                    | Val  Loss: 1.7226 | Val  Acc: 0.2803
 Site-White_Female                  | Val  Loss: 1.7388 | Val  Acc: 0.3931
 Site-White_Male                    | Val  Loss: 1.9363 | Val  Acc: 0.2599
 Site-White_Female                  | Val  Loss: 1.7748 | Val  Acc: 0.3603
 Site-White_Male                    | Val  Loss: 1.9165 | Val  Acc: 0.2375
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8296 | Val  Acc: 0.3041
 Site-Latino_Hispanic_Male          | Val  Loss: 1.9226 | Val  Acc: 0.2010
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8660 | Val  Acc: 0.2874
 Site-Latino_Hispanic_Male          | Val  Loss: 1.9119 | Val  Acc: 0.2303
 Site-Black_Female                  | Val  Loss: 1.8730 | Val  Acc: 0.2784
 Site-Black_Male                    | Val  Loss: 1.8669 | Val  Acc: 0.2424
 Site-Black_Female                  | Val  Loss: 1.8636 | Val  Acc: 0.2953
 Site-East_Asian_Male               | Val  Loss: 1.8329 | Val  Acc: 0.3162
 Site-East_Asian_Female             | Val  Loss: 1.6688 | Val  Acc: 0.4643
 Site-Indian_Male                   | Val  Loss: 1.9236 | Val  Acc: 0.2570
 Site-Indian_Female                 | Val  Loss: 1.9995 | Val  Acc: 0.2735
 Site-Southeast_Asian_Male          | Val  Loss: 1.9896 | Val  Acc: 0.2753
 Site-Middle_Eastern_Female         | Val  Loss: 1.8191 | Val  Acc: 0.3500
Average Valid Accuracy: 0.2948
============ Train epoch 3 ============
 Site-White_Male               | Train Loss: 1.9136 | Train Acc: 0.2626
 Site-White_Female             | Train Loss: 1.7651 | Train Acc: 0.3822
 Site-White_Male               | Train Loss: 1.8376 | Train Acc: 0.2706
 Site-White_Female             | Train Loss: 1.7478 | Train Acc: 0.3744
 Site-White_Male               | Train Loss: 1.8723 | Train Acc: 0.2722
 Site-Latino_Hispanic_Female   | Train Loss: 1.8116 | Train Acc: 0.2928
 Site-Latino_Hispanic_Male     | Train Loss: 1.8680 | Train Acc: 0.2577
 Site-Latino_Hispanic_Female   | Train Loss: 1.8549 | Train Acc: 0.2827
 Site-Latino_Hispanic_Male     | Train Loss: 1.8404 | Train Acc: 0.2648
 Site-Black_Female             | Train Loss: 1.8130 | Train Acc: 0.3333
 Site-Black_Male               | Train Loss: 1.8750 | Train Acc: 0.2514
 Site-Black_Female             | Train Loss: 1.8094 | Train Acc: 0.2969
