===2023-08-17 02:56:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:12===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:17:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.7254 | Train Acc: 0.6444
 Site-photo                         | Train Loss: 1.6313 | Train Acc: 0.8000
 Site-photo                         | Train Loss: 1.6714 | Train Acc: 0.8571
 Site-photo                         | Train Loss: 1.6581 | Train Acc: 0.8571
 Site-photo                         | Train Loss: 1.6835 | Train Acc: 0.7500
 Site-photo                         | Train Loss: 1.6344 | Train Acc: 0.8726
 Site-sketch                        | Train Loss: 1.8861 | Train Acc: 0.1429
 Site-sketch                        | Train Loss: 1.8789 | Train Acc: 0.2606
 Site-cartoon                       | Train Loss: 1.8363 | Train Acc: 0.3889
Average Train Accuracy: 0.6241
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7778
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6087
 Best site-art_painting              | Epoch:2 | Val Acc: 0.5667
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7105
 Best site-art_painting              | Epoch:2 | Val Acc: 0.5200
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6719
 Best site-art_painting              | Epoch:2 | Val Acc: 0.5663
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6262
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6115
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6444
 Best site-photo                     | Epoch:2 | Val Acc: 0.8000
 Best site-photo                     | Epoch:2 | Val Acc: 0.8571
 Best site-photo                     | Epoch:2 | Val Acc: 0.8571
 Best site-photo                     | Epoch:2 | Val Acc: 0.7500
 Best site-photo                     | Epoch:2 | Val Acc: 0.8726
 Best site-sketch                    | Epoch:2 | Val Acc: 0.1429
 Best site-sketch                    | Epoch:2 | Val Acc: 0.2606
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.3889
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 3 ============
 Site-art_painting                  | Train Loss: 1.6303 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.7452 | Train Acc: 0.4783
 Site-art_painting                  | Train Loss: 1.6921 | Train Acc: 0.6667
 Site-art_painting                  | Train Loss: 1.6102 | Train Acc: 0.7632
 Site-art_painting                  | Train Loss: 1.7364 | Train Acc: 0.6200
 Site-art_painting                  | Train Loss: 1.6077 | Train Acc: 0.7344
 Site-art_painting                  | Train Loss: 1.6769 | Train Acc: 0.6386
 Site-art_painting                  | Train Loss: 1.6791 | Train Acc: 0.6542
 Site-art_painting                  | Train Loss: 1.6633 | Train Acc: 0.6691
 Site-art_painting                  | Train Loss: 1.6637 | Train Acc: 0.7389
 Site-photo                         | Train Loss: 1.5587 | Train Acc: 0.9333
 Site-photo                         | Train Loss: 1.5810 | Train Acc: 0.9643
