===2023-05-13 10:33:15===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[371,1115,371,1115,371,1115,371,1115,371,1115,
client_nums=[2,2,2,2,2,domain number = 5
============ Train epoch 0 ============
 Best site-MNIST            | Epoch:2 | Val Acc: 0.8273
 Best site-USPS             | Epoch:2 | Val Acc: 0.7500
 Best site-USPS             | Epoch:2 | Val Acc: 0.7986
 Best site-SynthDigits      | Epoch:2 | Val Acc: 0.4891
 Best site-SynthDigits      | Epoch:2 | Val Acc: 0.4317
 Best site-MNIST-M          | Epoch:2 | Val Acc: 0.4239
 Best site-MNIST-M          | Epoch:2 | Val Acc: 0.4748
 Best site-SVHN             | Epoch:2 | Val Acc: 0.3261
 Best site-SVHN             | Epoch:2 | Val Acc: 0.3345
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/CoCoOP...
============ Train epoch 3 ============
 Site-MNIST           | Train Loss: 0.6970 | Train Acc: 0.8598
 Site-MNIST           | Train Loss: 0.7670 | Train Acc: 0.8296
 Site-USPS            | Train Loss: 0.6091 | Train Acc: 0.8976
 Site-USPS            | Train Loss: 0.6416 | Train Acc: 0.8538
 Site-SynthDigits     | Train Loss: 1.4182 | Train Acc: 0.5310
 Site-SynthDigits     | Train Loss: 1.3008 | Train Acc: 0.5821
 Site-MNIST-M         | Train Loss: 1.6661 | Train Acc: 0.4420
 Site-MNIST-M         | Train Loss: 1.6602 | Train Acc: 0.4386
 Site-SVHN            | Train Loss: 1.8302 | Train Acc: 0.3801
 Site-SVHN            | Train Loss: 1.7778 | Train Acc: 0.3982
 Site-MNIST           | Val  Loss: 0.7655 | Val  Acc: 0.8043
 Site-MNIST           | Val  Loss: 0.7503 | Val  Acc: 0.8453
 Site-USPS            | Val  Loss: 0.7126 | Val  Acc: 0.8152
 Site-USPS            | Val  Loss: 0.6875 | Val  Acc: 0.8597
 Site-SynthDigits     | Val  Loss: 1.3272 | Val  Acc: 0.5326
 Site-SynthDigits     | Val  Loss: 1.2890 | Val  Acc: 0.5504
 Site-MNIST-M         | Val  Loss: 1.7118 | Val  Acc: 0.4457
 Site-MNIST-M         | Val  Loss: 1.6313 | Val  Acc: 0.4856
 Site-SVHN            | Val  Loss: 1.8409 | Val  Acc: 0.4348
 Site-SVHN            | Val  Loss: 1.8495 | Val  Acc: 0.3921
Average Valid Accuracy: 0.6166
 Best site-MNIST            | Epoch:3 | Val Acc: 0.8043
 Best site-MNIST            | Epoch:3 | Val Acc: 0.8453
 Best site-USPS             | Epoch:3 | Val Acc: 0.8152
 Best site-USPS             | Epoch:3 | Val Acc: 0.8597
 Best site-SynthDigits      | Epoch:3 | Val Acc: 0.5326
 Best site-SynthDigits      | Epoch:3 | Val Acc: 0.5504
 Best site-MNIST-M          | Epoch:3 | Val Acc: 0.4457
 Best site-MNIST-M          | Epoch:3 | Val Acc: 0.4856
 Best site-SVHN             | Epoch:3 | Val Acc: 0.4348
 Best site-SVHN             | Epoch:3 | Val Acc: 0.3921
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/CoCoOP...
============ Train epoch 4 ============
 Site-MNIST           | Train Loss: 0.6172 | Train Acc: 0.8733
 Site-MNIST           | Train Loss: 0.6929 | Train Acc: 0.8350
 Site-USPS            | Train Loss: 0.5538 | Train Acc: 0.8895
 Site-USPS            | Train Loss: 0.5844 | Train Acc: 0.8592
 Site-SynthDigits     | Train Loss: 1.2872 | Train Acc: 0.5553
 Site-SynthDigits     | Train Loss: 1.1822 | Train Acc: 0.6099
 Site-MNIST-M         | Train Loss: 1.4907 | Train Acc: 0.5175
 Site-MNIST-M         | Train Loss: 1.5232 | Train Acc: 0.4969
 Site-SVHN            | Train Loss: 1.6938 | Train Acc: 0.4447
 Site-SVHN            | Train Loss: 1.6610 | Train Acc: 0.4359
 Site-MNIST           | Val  Loss: 0.6875 | Val  Acc: 0.8043
 Site-MNIST           | Val  Loss: 0.6745 | Val  Acc: 0.8453
 Site-USPS            | Val  Loss: 0.6497 | Val  Acc: 0.8152
 Site-USPS            | Val  Loss: 0.6358 | Val  Acc: 0.8669
 Site-SynthDigits     | Val  Loss: 1.1802 | Val  Acc: 0.5978
 Site-SynthDigits     | Val  Loss: 1.1807 | Val  Acc: 0.5755
 Site-MNIST-M         | Val  Loss: 1.6076 | Val  Acc: 0.5000
 Site-MNIST-M         | Val  Loss: 1.4839 | Val  Acc: 0.5360
 Site-SVHN            | Val  Loss: 1.7242 | Val  Acc: 0.4239
 Site-SVHN            | Val  Loss: 1.7113 | Val  Acc: 0.4532
Average Valid Accuracy: 0.6418
 Best site-MNIST            | Epoch:4 | Val Acc: 0.8043
 Best site-MNIST            | Epoch:4 | Val Acc: 0.8453
 Best site-USPS             | Epoch:4 | Val Acc: 0.8152
 Best site-USPS             | Epoch:4 | Val Acc: 0.8669
 Best site-SynthDigits      | Epoch:4 | Val Acc: 0.5978
 Best site-SynthDigits      | Epoch:4 | Val Acc: 0.5755
