===2023-06-29 05:23:19===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2399 | Train Acc: 0.3750
 Site-Real                          | Train Loss: 2.3117 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2291 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2136 | Train Acc: 0.3438
 Site-Real                          | Train Loss: 2.2390 | Train Acc: 0.2885
 Site-Real                          | Train Loss: 2.2754 | Train Acc: 0.1905
 Site-Real                          | Train Loss: 2.2356 | Train Acc: 0.2985
 Site-Real                          | Train Loss: 2.2369 | Train Acc: 0.2419
 Site-Real                          | Train Loss: 2.2398 | Train Acc: 0.2377
 Site-Real                          | Train Loss: 2.2428 | Train Acc: 0.2482
 Site-Clipart                       | Train Loss: 2.2432 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2510 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2306 | Train Acc: 0.2593
 Site-Clipart                       | Train Loss: 2.2655 | Train Acc: 0.1860
 Site-Clipart                       | Train Loss: 2.2666 | Train Acc: 0.1449
 Site-Clipart                       | Train Loss: 2.2591 | Train Acc: 0.1757
 Site-Clipart                       | Train Loss: 2.2578 | Train Acc: 0.1606
 Site-Painting                      | Train Loss: 2.2138 | Train Acc: 0.2951
 Site-Painting                      | Train Loss: 2.2328 | Train Acc: 0.2857
 Site-Painting                      | Train Loss: 2.2329 | Train Acc: 0.2994
 Site-Painting                      | Train Loss: 2.2522 | Train Acc: 0.2222
 Site-Sketch                        | Train Loss: 2.2378 | Train Acc: 0.1324
 Site-Sketch                        | Train Loss: 2.2602 | Train Acc: 0.1727
 Site-Sketch                        | Train Loss: 2.2614 | Train Acc: 0.1818
 Site-Infograph                     | Train Loss: 2.2836 | Train Acc: 0.1059
 Site-Infograph                     | Train Loss: 2.2808 | Train Acc: 0.1838
 Site-QuickDraw                     | Train Loss: 2.3168 | Train Acc: 0.1522
Average Train Accuracy: 0.2187
 Site-Real                          | Val  Loss: 2.1910 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.2300 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2648 | Val  Acc: 0.2308
 Site-Real                          | Val  Loss: 2.2864 | Val  Acc: 0.1429
 Site-Real                          | Val  Loss: 2.2741 | Val  Acc: 0.1429
 Site-Real                          | Val  Loss: 2.2540 | Val  Acc: 0.2321
 Site-Real                          | Val  Loss: 2.2501 | Val  Acc: 0.2135
 Site-Real                          | Val  Loss: 2.2439 | Val  Acc: 0.2098
 Site-Real                          | Val  Loss: 2.2388 | Val  Acc: 0.2402
 Site-Real                          | Val  Loss: 2.2360 | Val  Acc: 0.2725
 Site-Clipart                       | Val  Loss: 2.2504 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2432 | Val  Acc: 0.3182
 Site-Clipart                       | Val  Loss: 2.2453 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2573 | Val  Acc: 0.1754
 Site-Clipart                       | Val  Loss: 2.2607 | Val  Acc: 0.1739
 Site-Clipart                       | Val  Loss: 2.2567 | Val  Acc: 0.1959
 Site-Clipart                       | Val  Loss: 2.2709 | Val  Acc: 0.1525
 Site-Painting                      | Val  Loss: 2.2620 | Val  Acc: 0.2195
 Site-Painting                      | Val  Loss: 2.3194 | Val  Acc: 0.2000
 Site-Painting                      | Val  Loss: 2.2451 | Val  Acc: 0.2476
 Site-Painting                      | Val  Loss: 2.2444 | Val  Acc: 0.2381
 Site-Sketch                        | Val  Loss: 2.2708 | Val  Acc: 0.2000
 Site-Sketch                        | Val  Loss: 2.2337 | Val  Acc: 0.1781
 Site-Sketch                        | Val  Loss: 2.2580 | Val  Acc: 0.1709
 Site-Infograph                     | Val  Loss: 2.2693 | Val  Acc: 0.1429
 Site-Infograph                     | Val  Loss: 2.2772 | Val  Acc: 0.1538
 Site-QuickDraw                     | Val  Loss: 2.3087 | Val  Acc: 0.0761
Average Valid Accuracy: 0.2121
 Best site-Real                      | Epoch:1 | Val Acc: 0.4000
 Best site-Real                      | Epoch:1 | Val Acc: 0.3750
 Best site-Real                      | Epoch:1 | Val Acc: 0.2308
 Best site-Real                      | Epoch:1 | Val Acc: 0.1429
 Best site-Real                      | Epoch:1 | Val Acc: 0.1429
 Best site-Real                      | Epoch:1 | Val Acc: 0.2321
 Best site-Real                      | Epoch:1 | Val Acc: 0.2135
 Best site-Real                      | Epoch:1 | Val Acc: 0.2098
 Best site-Real                      | Epoch:1 | Val Acc: 0.2402
 Best site-Real                      | Epoch:1 | Val Acc: 0.2725
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.3182
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1389
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1754
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1739
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1959
