===2023-06-29 03:48:27===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2703 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.2933 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2661 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2786 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2762 | Train Acc: 0.0962
 Site-Real                          | Train Loss: 2.2955 | Train Acc: 0.0952
 Site-Real                          | Train Loss: 2.2865 | Train Acc: 0.1045
 Site-Real                          | Train Loss: 2.2676 | Train Acc: 0.1302
 Site-Real                          | Train Loss: 2.2749 | Train Acc: 0.1420
 Site-Real                          | Train Loss: 2.2834 | Train Acc: 0.1286
 Site-Clipart                       | Train Loss: 2.3132 | Train Acc: 0.0476
 Site-Clipart                       | Train Loss: 2.2508 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.2862 | Train Acc: 0.0926
 Site-Clipart                       | Train Loss: 2.2930 | Train Acc: 0.1744
 Site-Clipart                       | Train Loss: 2.2622 | Train Acc: 0.1522
 Site-Clipart                       | Train Loss: 2.2841 | Train Acc: 0.1216
 Site-Clipart                       | Train Loss: 2.2829 | Train Acc: 0.1127
 Site-Painting                      | Train Loss: 2.2966 | Train Acc: 0.0492
 Site-Painting                      | Train Loss: 2.2747 | Train Acc: 0.1327
 Site-Painting                      | Train Loss: 2.2835 | Train Acc: 0.1401
 Site-Painting                      | Train Loss: 2.2659 | Train Acc: 0.1349
 Site-Sketch                        | Train Loss: 2.2836 | Train Acc: 0.0588
 Site-Sketch                        | Train Loss: 2.2750 | Train Acc: 0.1364
 Site-Sketch                        | Train Loss: 2.2765 | Train Acc: 0.1023
 Site-Infograph                     | Train Loss: 2.3250 | Train Acc: 0.1294
 Site-Infograph                     | Train Loss: 2.3192 | Train Acc: 0.0956
 Site-QuickDraw                     | Train Loss: 2.2899 | Train Acc: 0.1449
Average Train Accuracy: 0.1227
 Site-Real                          | Val  Loss: 2.1850 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.2506 | Val  Acc: 0.1250
 Site-Real                          | Val  Loss: 2.2824 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2614 | Val  Acc: 0.0952
 Site-Real                          | Val  Loss: 2.2631 | Val  Acc: 0.1429
 Site-Real                          | Val  Loss: 2.2695 | Val  Acc: 0.1250
 Site-Real                          | Val  Loss: 2.2928 | Val  Acc: 0.0787
 Site-Real                          | Val  Loss: 2.2865 | Val  Acc: 0.0629
 Site-Real                          | Val  Loss: 2.2740 | Val  Acc: 0.1485
 Site-Real                          | Val  Loss: 2.2708 | Val  Acc: 0.1635
 Site-Clipart                       | Val  Loss: 2.3063 | Val  Acc: 0.0000
 Site-Clipart                       | Val  Loss: 2.3370 | Val  Acc: 0.0455
 Site-Clipart                       | Val  Loss: 2.3158 | Val  Acc: 0.0833
 Site-Clipart                       | Val  Loss: 2.2879 | Val  Acc: 0.1053
 Site-Clipart                       | Val  Loss: 2.2911 | Val  Acc: 0.0761
 Site-Clipart                       | Val  Loss: 2.2846 | Val  Acc: 0.1149
 Site-Clipart                       | Val  Loss: 2.2826 | Val  Acc: 0.1695
 Site-Painting                      | Val  Loss: 2.2658 | Val  Acc: 0.1220
 Site-Painting                      | Val  Loss: 2.2864 | Val  Acc: 0.1846
 Site-Painting                      | Val  Loss: 2.2686 | Val  Acc: 0.1524
 Site-Painting                      | Val  Loss: 2.2752 | Val  Acc: 0.1131
 Site-Sketch                        | Val  Loss: 2.2816 | Val  Acc: 0.1111
