===2023-07-01 04:29:16===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2768 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.3466 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2722 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2557 | Train Acc: 0.2812
 Site-Real                          | Train Loss: 2.2770 | Train Acc: 0.1346
 Site-Real                          | Train Loss: 2.3201 | Train Acc: 0.0595
 Site-Real                          | Train Loss: 2.2770 | Train Acc: 0.1567
 Site-Real                          | Train Loss: 2.2806 | Train Acc: 0.1767
 Site-Real                          | Train Loss: 2.2794 | Train Acc: 0.1362
 Site-Real                          | Train Loss: 2.2844 | Train Acc: 0.1431
 Site-Clipart                       | Train Loss: 2.2718 | Train Acc: 0.1905
 Site-Clipart                       | Train Loss: 2.2856 | Train Acc: 0.1212
 Site-Clipart                       | Train Loss: 2.2607 | Train Acc: 0.2222
 Site-Clipart                       | Train Loss: 2.2927 | Train Acc: 0.1163
 Site-Clipart                       | Train Loss: 2.2916 | Train Acc: 0.0797
 Site-Clipart                       | Train Loss: 2.2872 | Train Acc: 0.1216
 Site-Clipart                       | Train Loss: 2.2850 | Train Acc: 0.1239
 Site-Painting                      | Train Loss: 2.2428 | Train Acc: 0.2295
 Site-Painting                      | Train Loss: 2.2689 | Train Acc: 0.1531
 Site-Painting                      | Train Loss: 2.2660 | Train Acc: 0.1783
 Site-Painting                      | Train Loss: 2.2871 | Train Acc: 0.1310
 Site-Sketch                        | Train Loss: 2.2737 | Train Acc: 0.0735
 Site-Sketch                        | Train Loss: 2.2888 | Train Acc: 0.1545
 Site-Sketch                        | Train Loss: 2.2895 | Train Acc: 0.1307
 Site-Infograph                     | Train Loss: 2.2935 | Train Acc: 0.0706
 Site-Infograph                     | Train Loss: 2.2917 | Train Acc: 0.1324
 Site-QuickDraw                     | Train Loss: 2.3229 | Train Acc: 0.1232
Average Train Accuracy: 0.1453
 Site-Real                          | Val  Loss: 2.2453 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2756 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.3119 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3332 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.3123 | Val  Acc: 0.0857
 Site-Real                          | Val  Loss: 2.2956 | Val  Acc: 0.1250
 Site-Real                          | Val  Loss: 2.2906 | Val  Acc: 0.1236
 Site-Real                          | Val  Loss: 2.2826 | Val  Acc: 0.1259
 Site-Real                          | Val  Loss: 2.2799 | Val  Acc: 0.1354
 Site-Real                          | Val  Loss: 2.2782 | Val  Acc: 0.1499
 Site-Clipart                       | Val  Loss: 2.2684 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2783 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.2769 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2826 | Val  Acc: 0.1228
 Site-Clipart                       | Val  Loss: 2.2855 | Val  Acc: 0.1196
 Site-Clipart                       | Val  Loss: 2.2849 | Val  Acc: 0.1622
 Site-Clipart                       | Val  Loss: 2.2967 | Val  Acc: 0.0975
 Site-Painting                      | Val  Loss: 2.2864 | Val  Acc: 0.1220
 Site-Painting                      | Val  Loss: 2.3387 | Val  Acc: 0.0923
 Site-Painting                      | Val  Loss: 2.2809 | Val  Acc: 0.1524
 Site-Painting                      | Val  Loss: 2.2796 | Val  Acc: 0.1369
 Site-Sketch                        | Val  Loss: 2.2975 | Val  Acc: 0.1778
 Site-Sketch                        | Val  Loss: 2.2594 | Val  Acc: 0.0822
 Site-Sketch                        | Val  Loss: 2.2850 | Val  Acc: 0.1197
 Site-Infograph                     | Val  Loss: 2.2769 | Val  Acc: 0.1607
 Site-Infograph                     | Val  Loss: 2.2868 | Val  Acc: 0.1429
 Site-QuickDraw                     | Val  Loss: 2.3161 | Val  Acc: 0.0761
Average Valid Accuracy: 0.1378
 Best site-Real                      | Epoch:1 | Val Acc: 0.2000
 Best site-Real                      | Epoch:1 | Val Acc: 0.2500
 Best site-Real                      | Epoch:1 | Val Acc: 0.1538
 Best site-Real                      | Epoch:1 | Val Acc: 0.0000
 Best site-Real                      | Epoch:1 | Val Acc: 0.0857
 Best site-Real                      | Epoch:1 | Val Acc: 0.1250
 Best site-Real                      | Epoch:1 | Val Acc: 0.1236
 Best site-Real                      | Epoch:1 | Val Acc: 0.1259
 Best site-Real                      | Epoch:1 | Val Acc: 0.1354
 Best site-Real                      | Epoch:1 | Val Acc: 0.1499
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1818
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1389
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1228
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1196
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1622
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.0975
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1220
 Best site-Painting                  | Epoch:1 | Val Acc: 0.0923
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1524
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1369
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1778
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.0822
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1197
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.1607
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.1429
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.0761
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/fpl...
============ Train epoch 2 ============
 Site-Real                          | Train Loss: 2.2786 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3409 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2811 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2611 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2802 | Train Acc: 0.1731
 Site-Real                          | Train Loss: 2.3169 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2830 | Train Acc: 0.1493
 Site-Real                          | Train Loss: 2.2868 | Train Acc: 0.1488
 Site-Real                          | Train Loss: 2.2808 | Train Acc: 0.1391
 Site-Real                          | Train Loss: 2.2810 | Train Acc: 0.1431
 Site-Clipart                       | Train Loss: 2.2663 | Train Acc: 0.1905
 Site-Clipart                       | Train Loss: 2.2957 | Train Acc: 0.1212
 Site-Clipart                       | Train Loss: 2.2674 | Train Acc: 0.1852
 Site-Clipart                       | Train Loss: 2.2862 | Train Acc: 0.1279
 Site-Clipart                       | Train Loss: 2.2809 | Train Acc: 0.1377
 Site-Clipart                       | Train Loss: 2.2914 | Train Acc: 0.1171
 Site-Clipart                       | Train Loss: 2.2853 | Train Acc: 0.1127
 Site-Painting                      | Train Loss: 2.2415 | Train Acc: 0.1967
 Site-Painting                      | Train Loss: 2.2648 | Train Acc: 0.2347
 Site-Painting                      | Train Loss: 2.2703 | Train Acc: 0.1465
 Site-Painting                      | Train Loss: 2.2851 | Train Acc: 0.1190
 Site-Sketch                        | Train Loss: 2.3165 | Train Acc: 0.0147
 Site-Sketch                        | Train Loss: 2.3032 | Train Acc: 0.1364
 Site-Sketch                        | Train Loss: 2.2947 | Train Acc: 0.1136
 Site-Infograph                     | Train Loss: 2.2926 | Train Acc: 0.1412
 Site-Infograph                     | Train Loss: 2.3024 | Train Acc: 0.1250
 Site-QuickDraw                     | Train Loss: 2.3143 | Train Acc: 0.1014
Average Train Accuracy: 0.1395
 Site-Real                          | Val  Loss: 2.2589 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2730 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.3194 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3300 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.3093 | Val  Acc: 0.1143
 Site-Real                          | Val  Loss: 2.2902 | Val  Acc: 0.1071
 Site-Real                          | Val  Loss: 2.2949 | Val  Acc: 0.1124
 Site-Real                          | Val  Loss: 2.2862 | Val  Acc: 0.1049
 Site-Real                          | Val  Loss: 2.2724 | Val  Acc: 0.1397
 Site-Real                          | Val  Loss: 2.2799 | Val  Acc: 0.1662
 Site-Clipart                       | Val  Loss: 2.2735 | Val  Acc: 0.2143
 Site-Clipart                       | Val  Loss: 2.2850 | Val  Acc: 0.1364
 Site-Clipart                       | Val  Loss: 2.2728 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2853 | Val  Acc: 0.1404
 Site-Clipart                       | Val  Loss: 2.2884 | Val  Acc: 0.0978
 Site-Clipart                       | Val  Loss: 2.2904 | Val  Acc: 0.0946
 Site-Clipart                       | Val  Loss: 2.2924 | Val  Acc: 0.1229
 Site-Painting                      | Val  Loss: 2.2884 | Val  Acc: 0.2195
 Site-Painting                      | Val  Loss: 2.2954 | Val  Acc: 0.1692
 Site-Painting                      | Val  Loss: 2.2818 | Val  Acc: 0.1238
 Site-Painting                      | Val  Loss: 2.2849 | Val  Acc: 0.1250
 Site-Sketch                        | Val  Loss: 2.2785 | Val  Acc: 0.2000
 Site-Sketch                        | Val  Loss: 2.2600 | Val  Acc: 0.1233
 Site-Sketch                        | Val  Loss: 2.2855 | Val  Acc: 0.1624
 Site-Infograph                     | Val  Loss: 2.2815 | Val  Acc: 0.1429
 Site-Infograph                     | Val  Loss: 2.2814 | Val  Acc: 0.1538
 Site-QuickDraw                     | Val  Loss: 2.3221 | Val  Acc: 0.0870
Average Valid Accuracy: 0.1408
 Best site-Real                      | Epoch:2 | Val Acc: 0.2000
 Best site-Real                      | Epoch:2 | Val Acc: 0.2500
 Best site-Real                      | Epoch:2 | Val Acc: 0.1538
 Best site-Real                      | Epoch:2 | Val Acc: 0.0000
 Best site-Real                      | Epoch:2 | Val Acc: 0.1143
 Best site-Real                      | Epoch:2 | Val Acc: 0.1071
 Best site-Real                      | Epoch:2 | Val Acc: 0.1124
 Best site-Real                      | Epoch:2 | Val Acc: 0.1049
 Best site-Real                      | Epoch:2 | Val Acc: 0.1397
 Best site-Real                      | Epoch:2 | Val Acc: 0.1662
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.2143
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1364
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1389
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1404
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.0978
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.0946
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1229
 Best site-Painting                  | Epoch:2 | Val Acc: 0.2195
 Best site-Painting                  | Epoch:2 | Val Acc: 0.1692
 Best site-Painting                  | Epoch:2 | Val Acc: 0.1238
 Best site-Painting                  | Epoch:2 | Val Acc: 0.1250
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.2000
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1233
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1624
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.1429
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.1538
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.0870
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/fpl...
============ Train epoch 3 ============
 Site-Real                          | Train Loss: 2.2972 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3459 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2731 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2721 | Train Acc: 0.1562
