===2023-06-29 10:13:08===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 0.8149 | Train Acc: 0.7500
 Site-Real                          | Train Loss: 0.6462 | Train Acc: 0.8333
 Site-Real                          | Train Loss: 0.5193 | Train Acc: 0.9500
 Site-Real                          | Train Loss: 0.5551 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.6194 | Train Acc: 0.9423
 Site-Real                          | Train Loss: 0.4848 | Train Acc: 0.9762
 Site-Real                          | Train Loss: 0.5446 | Train Acc: 0.9701
 Site-Real                          | Train Loss: 0.4777 | Train Acc: 0.9721
 Site-Real                          | Train Loss: 0.5671 | Train Acc: 0.9420
 Site-Real                          | Train Loss: 0.5337 | Train Acc: 0.9692
 Site-Clipart                       | Train Loss: 1.0550 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 0.9342 | Train Acc: 0.8182
 Site-Clipart                       | Train Loss: 0.9590 | Train Acc: 0.7593
 Site-Clipart                       | Train Loss: 0.9977 | Train Acc: 0.7907
 Site-Clipart                       | Train Loss: 1.0788 | Train Acc: 0.8188
 Site-Clipart                       | Train Loss: 0.9994 | Train Acc: 0.7703
 Site-Clipart                       | Train Loss: 0.9787 | Train Acc: 0.8197
 Site-Painting                      | Train Loss: 0.8709 | Train Acc: 0.8361
 Site-Painting                      | Train Loss: 0.6599 | Train Acc: 0.8469
 Site-Painting                      | Train Loss: 0.8347 | Train Acc: 0.8790
 Site-Painting                      | Train Loss: 0.8180 | Train Acc: 0.8373
 Site-Sketch                        | Train Loss: 0.8253 | Train Acc: 0.7206
 Site-Sketch                        | Train Loss: 0.9624 | Train Acc: 0.7636
 Site-Sketch                        | Train Loss: 1.0192 | Train Acc: 0.7727
 Site-Infograph                     | Train Loss: 1.8867 | Train Acc: 0.3529
 Site-Infograph                     | Train Loss: 1.7524 | Train Acc: 0.4485
 Site-QuickDraw                     | Train Loss: 2.0710 | Train Acc: 0.2826
Average Train Accuracy: 0.7959
 Site-Real                          | Val  Loss: 0.2208 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.3159 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.4853 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.4414 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.6586 | Val  Acc: 0.9429
 Site-Real                          | Val  Loss: 0.5712 | Val  Acc: 0.9821
 Site-Real                          | Val  Loss: 0.5597 | Val  Acc: 0.9326
 Site-Real                          | Val  Loss: 0.6292 | Val  Acc: 0.9510
 Site-Real                          | Val  Loss: 0.5442 | Val  Acc: 0.9563
 Site-Real                          | Val  Loss: 0.5040 | Val  Acc: 0.9619
 Site-Clipart                       | Val  Loss: 1.1275 | Val  Acc: 0.7143
 Site-Clipart                       | Val  Loss: 0.8245 | Val  Acc: 0.8182
 Site-Clipart                       | Val  Loss: 0.9573 | Val  Acc: 0.7778
 Site-Clipart                       | Val  Loss: 1.1012 | Val  Acc: 0.6842
 Site-Clipart                       | Val  Loss: 1.0177 | Val  Acc: 0.7935
 Site-Clipart                       | Val  Loss: 0.8930 | Val  Acc: 0.8176
 Site-Clipart                       | Val  Loss: 1.0699 | Val  Acc: 0.7669
 Site-Painting                      | Val  Loss: 1.0927 | Val  Acc: 0.7805
 Site-Painting                      | Val  Loss: 1.2398 | Val  Acc: 0.7231
