===2023-07-01 07:46:01===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 0.8217 | Train Acc: 0.7500
 Site-Real                          | Train Loss: 0.6177 | Train Acc: 0.8333
 Site-Real                          | Train Loss: 0.4985 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.5497 | Train Acc: 0.9375
 Site-Real                          | Train Loss: 0.5853 | Train Acc: 0.9808
 Site-Real                          | Train Loss: 0.4730 | Train Acc: 0.9881
 Site-Real                          | Train Loss: 0.5910 | Train Acc: 0.9851
 Site-Real                          | Train Loss: 0.4536 | Train Acc: 0.9674
 Site-Real                          | Train Loss: 0.5527 | Train Acc: 0.9565
 Site-Real                          | Train Loss: 0.5116 | Train Acc: 0.9656
 Site-Clipart                       | Train Loss: 0.9866 | Train Acc: 0.8095
 Site-Clipart                       | Train Loss: 0.8794 | Train Acc: 0.8788
 Site-Clipart                       | Train Loss: 0.9137 | Train Acc: 0.7963
 Site-Clipart                       | Train Loss: 1.0029 | Train Acc: 0.8488
 Site-Clipart                       | Train Loss: 1.0586 | Train Acc: 0.8188
 Site-Clipart                       | Train Loss: 0.9831 | Train Acc: 0.7838
 Site-Clipart                       | Train Loss: 0.9790 | Train Acc: 0.8028
 Site-Painting                      | Train Loss: 0.8573 | Train Acc: 0.8361
 Site-Painting                      | Train Loss: 0.6490 | Train Acc: 0.8571
 Site-Painting                      | Train Loss: 0.8034 | Train Acc: 0.8535
