===2023-07-27 04:30:47===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2049 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2541 | Train Acc: 0.3636
 Site-Clipart                       | Train Loss: 2.1689 | Train Acc: 0.4118
 Site-Clipart                       | Train Loss: 2.2029 | Train Acc: 0.3214
 Site-Clipart                       | Train Loss: 2.2057 | Train Acc: 0.3778
 Site-Clipart                       | Train Loss: 2.1999 | Train Acc: 0.3472
 Site-Clipart                       | Train Loss: 2.2068 | Train Acc: 0.3621
 Site-Clipart                       | Train Loss: 2.1980 | Train Acc: 0.3763
 Site-Clipart                       | Train Loss: 2.2032 | Train Acc: 0.3557
 Site-Clipart                       | Train Loss: 2.2039 | Train Acc: 0.3690
 Site-Real                          | Train Loss: 2.2315 | Train Acc: 0.2778
 Site-Real                          | Train Loss: 2.1986 | Train Acc: 0.4138
 Site-Real                          | Train Loss: 2.1822 | Train Acc: 0.5870
 Site-Real                          | Train Loss: 2.1528 | Train Acc: 0.5541
 Site-Real                          | Train Loss: 2.1956 | Train Acc: 0.4706
 Site-Real                          | Train Loss: 2.1849 | Train Acc: 0.5340
 Site-Real                          | Train Loss: 2.1921 | Train Acc: 0.5065
 Site-Painting                      | Train Loss: 2.2074 | Train Acc: 0.3962
 Site-Painting                      | Train Loss: 2.1804 | Train Acc: 0.4235
 Site-Painting                      | Train Loss: 2.2185 | Train Acc: 0.4559
 Site-Painting                      | Train Loss: 2.2040 | Train Acc: 0.3779
 Site-Sketch                        | Train Loss: 2.2075 | Train Acc: 0.3729
 Site-Sketch                        | Train Loss: 2.2106 | Train Acc: 0.4105
 Site-Sketch                        | Train Loss: 2.2147 | Train Acc: 0.3092
