===2023-06-30 02:24:36===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 0.9773 | Train Acc: 0.7429
 Site-MNIST                         | Train Loss: 0.9507 | Train Acc: 0.7751
 Site-SynthDigits                   | Train Loss: 1.8866 | Train Acc: 0.4371
 Site-SynthDigits                   | Train Loss: 1.8360 | Train Acc: 0.4542
 Site-SynthDigits                   | Train Loss: 1.7265 | Train Acc: 0.4664
 Site-SVHN                          | Train Loss: 2.1647 | Train Acc: 0.2486
 Site-SVHN                          | Train Loss: 2.0756 | Train Acc: 0.3242
 Site-MNIST_M                       | Train Loss: 2.0422 | Train Acc: 0.3227
Average Train Accuracy: 0.7194
 Site-USPS                          | Val  Loss: 2.1789 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.4683 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.9617 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.5730 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.6409 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.5702 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.5990 | Val  Acc: 0.8750
 Site-USPS                          | Val  Loss: 0.6097 | Val  Acc: 0.8922
 Site-USPS                          | Val  Loss: 0.6733 | Val  Acc: 0.8525
 Site-USPS                          | Val  Loss: 0.6770 | Val  Acc: 0.8429
 Site-MNIST                         | Val  Loss: 1.0363 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.9471 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.9237 | Val  Acc: 0.7500
 Site-MNIST                         | Val  Loss: 0.9776 | Val  Acc: 0.7586
 Site-MNIST                         | Val  Loss: 0.9076 | Val  Acc: 0.8095
