===2023-06-29 23:24:40===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2453 | Train Acc: 0.2452
 Site-MNIST                         | Train Loss: 2.2474 | Train Acc: 0.2685
 Site-SynthDigits                   | Train Loss: 2.3086 | Train Acc: 0.1192
 Site-SynthDigits                   | Train Loss: 2.2979 | Train Acc: 0.1062
 Site-SynthDigits                   | Train Loss: 2.2854 | Train Acc: 0.1487
 Site-SVHN                          | Train Loss: 2.2930 | Train Acc: 0.1271
 Site-SVHN                          | Train Loss: 2.2932 | Train Acc: 0.0917
 Site-MNIST_M                       | Train Loss: 2.2961 | Train Acc: 0.1277
Average Train Accuracy: 0.3184
 Site-USPS                          | Val  Loss: 2.2107 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2665 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2370 | Val  Acc: 0.4000
 Site-USPS                          | Val  Loss: 2.2575 | Val  Acc: 0.4444
 Site-USPS                          | Val  Loss: 2.2844 | Val  Acc: 0.3529
 Site-USPS                          | Val  Loss: 2.2556 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.2268 | Val  Acc: 0.4643
 Site-USPS                          | Val  Loss: 2.2074 | Val  Acc: 0.5098
 Site-USPS                          | Val  Loss: 2.2121 | Val  Acc: 0.4863
 Site-USPS                          | Val  Loss: 2.2232 | Val  Acc: 0.4350
 Site-MNIST                         | Val  Loss: 2.2993 | Val  Acc: 0.1000
 Site-MNIST                         | Val  Loss: 2.2732 | Val  Acc: 0.0556
 Site-MNIST                         | Val  Loss: 2.2361 | Val  Acc: 0.2188
 Site-MNIST                         | Val  Loss: 2.2371 | Val  Acc: 0.2759
 Site-MNIST                         | Val  Loss: 2.2323 | Val  Acc: 0.3048
 Site-MNIST                         | Val  Loss: 2.2333 | Val  Acc: 0.2857
 Site-SynthDigits                   | Val  Loss: 2.2980 | Val  Acc: 0.0541
 Site-SynthDigits                   | Val  Loss: 2.3227 | Val  Acc: 0.1029
 Site-SynthDigits                   | Val  Loss: 2.3044 | Val  Acc: 0.0902
 Site-SVHN                          | Val  Loss: 2.2722 | Val  Acc: 0.2000
 Site-SVHN                          | Val  Loss: 2.2847 | Val  Acc: 0.1358
 Site-MNIST_M                       | Val  Loss: 2.2807 | Val  Acc: 0.1429
Average Valid Accuracy: 0.2446
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4444
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3529
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4643
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5098
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4863
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4350
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0556
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2188
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2759
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3048
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2857
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.0541
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1029
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.0902
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2000
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1358
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.1429
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedavg...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 2.1273 | Train Acc: 0.6667
 Site-USPS                          | Train Loss: 2.1359 | Train Acc: 0.7500
 Site-USPS                          | Train Loss: 2.2104 | Train Acc: 0.3810
 Site-USPS                          | Train Loss: 2.1899 | Train Acc: 0.3947
 Site-USPS                          | Train Loss: 2.1535 | Train Acc: 0.4429
