===2023-07-01 09:43:55===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 0.8987 | Train Acc: 0.7310
 Site-MNIST                         | Train Loss: 0.8693 | Train Acc: 0.7698
 Site-SynthDigits                   | Train Loss: 1.9056 | Train Acc: 0.3510
 Site-SynthDigits                   | Train Loss: 1.8983 | Train Acc: 0.3407
 Site-SynthDigits                   | Train Loss: 1.8201 | Train Acc: 0.3666
 Site-SVHN                          | Train Loss: 2.2397 | Train Acc: 0.1823
 Site-SVHN                          | Train Loss: 2.1522 | Train Acc: 0.1957
 Site-MNIST_M                       | Train Loss: 2.0454 | Train Acc: 0.3404
Average Train Accuracy: 0.6901
 Site-USPS                          | Val  Loss: 2.0199 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.3336 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.7901 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.4017 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4686 | Val  Acc: 0.9412
 Site-USPS                          | Val  Loss: 0.3983 | Val  Acc: 0.9355
 Site-USPS                          | Val  Loss: 0.4482 | Val  Acc: 0.8929
 Site-USPS                          | Val  Loss: 0.4359 | Val  Acc: 0.9216
 Site-USPS                          | Val  Loss: 0.5136 | Val  Acc: 0.8852
 Site-USPS                          | Val  Loss: 0.5228 | Val  Acc: 0.8580
 Site-MNIST                         | Val  Loss: 0.9750 | Val  Acc: 0.7000
 Site-MNIST                         | Val  Loss: 0.8551 | Val  Acc: 0.7222
 Site-MNIST                         | Val  Loss: 0.8731 | Val  Acc: 0.6562
 Site-MNIST                         | Val  Loss: 0.9397 | Val  Acc: 0.6552
 Site-MNIST                         | Val  Loss: 0.8576 | Val  Acc: 0.7810
 Site-MNIST                         | Val  Loss: 0.7902 | Val  Acc: 0.8042
 Site-SynthDigits                   | Val  Loss: 1.9228 | Val  Acc: 0.2973
 Site-SynthDigits                   | Val  Loss: 2.1232 | Val  Acc: 0.3824
 Site-SynthDigits                   | Val  Loss: 1.9328 | Val  Acc: 0.3525
 Site-SVHN                          | Val  Loss: 2.2605 | Val  Acc: 0.2000
 Site-SVHN                          | Val  Loss: 2.2491 | Val  Acc: 0.1852
 Site-MNIST_M                       | Val  Loss: 2.0000 | Val  Acc: 0.4286
Average Valid Accuracy: 0.6242
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:1 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9412
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9355
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8929
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9216
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8852
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8580
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7222
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6562
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6552
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7810
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8042
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2973
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3824
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3525
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2000
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1852
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.4286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedsam...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 0.1732 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.3334 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.7362 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 0.4365 | Train Acc: 0.8684
 Site-USPS                          | Train Loss: 0.4846 | Train Acc: 0.9429
 Site-USPS                          | Train Loss: 0.3658 | Train Acc: 0.8810
 Site-USPS                          | Train Loss: 0.4633 | Train Acc: 0.8458
 Site-USPS                          | Train Loss: 0.3933 | Train Acc: 0.8900
 Site-USPS                          | Train Loss: 0.3936 | Train Acc: 0.9035
 Site-USPS                          | Train Loss: 0.3523 | Train Acc: 0.9155
 Site-MNIST                         | Train Loss: 0.6428 | Train Acc: 0.8250
 Site-MNIST                         | Train Loss: 0.5752 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.7615 | Train Acc: 0.8062
 Site-MNIST                         | Train Loss: 0.6312 | Train Acc: 0.8541
 Site-MNIST                         | Train Loss: 0.7137 | Train Acc: 0.8000
 Site-MNIST                         | Train Loss: 0.6973 | Train Acc: 0.7963
 Site-SynthDigits                   | Train Loss: 1.8735 | Train Acc: 0.3245
 Site-SynthDigits                   | Train Loss: 1.8209 | Train Acc: 0.3626
 Site-SynthDigits                   | Train Loss: 1.7490 | Train Acc: 0.3849
 Site-SVHN                          | Train Loss: 2.2165 | Train Acc: 0.1934
 Site-SVHN                          | Train Loss: 2.1391 | Train Acc: 0.2508
 Site-MNIST_M                       | Train Loss: 1.9942 | Train Acc: 0.3582
Average Train Accuracy: 0.7143
 Site-USPS                          | Val  Loss: 1.6739 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.2849 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.6667 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.2941 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.3617 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.2818 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.3418 | Val  Acc: 0.8929
 Site-USPS                          | Val  Loss: 0.3235 | Val  Acc: 0.9314
 Site-USPS                          | Val  Loss: 0.3966 | Val  Acc: 0.8907
 Site-USPS                          | Val  Loss: 0.4080 | Val  Acc: 0.8640
 Site-MNIST                         | Val  Loss: 0.8872 | Val  Acc: 0.7000
