===2023-06-29 14:14:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2551 | Train Acc: 0.1714
 Site-MNIST                         | Train Loss: 2.2513 | Train Acc: 0.1720
 Site-SynthDigits                   | Train Loss: 2.2885 | Train Acc: 0.1258
 Site-SynthDigits                   | Train Loss: 2.2935 | Train Acc: 0.1209
 Site-SynthDigits                   | Train Loss: 2.2953 | Train Acc: 0.1731
 Site-SVHN                          | Train Loss: 2.2942 | Train Acc: 0.0829
 Site-SVHN                          | Train Loss: 2.2906 | Train Acc: 0.1223
 Site-MNIST_M                       | Train Loss: 2.3059 | Train Acc: 0.1099
Average Train Accuracy: 0.2734
 Site-USPS                          | Val  Loss: 2.3497 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2873 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 2.2571 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 2.2339 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 2.2614 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.2302 | Val  Acc: 0.2903
 Site-USPS                          | Val  Loss: 2.2140 | Val  Acc: 0.3571
 Site-USPS                          | Val  Loss: 2.1955 | Val  Acc: 0.4118
 Site-USPS                          | Val  Loss: 2.2148 | Val  Acc: 0.3825
 Site-USPS                          | Val  Loss: 2.2136 | Val  Acc: 0.3776
 Site-MNIST                         | Val  Loss: 2.2326 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2322 | Val  Acc: 0.1667
 Site-MNIST                         | Val  Loss: 2.2341 | Val  Acc: 0.1875
 Site-MNIST                         | Val  Loss: 2.2446 | Val  Acc: 0.1897
 Site-MNIST                         | Val  Loss: 2.2478 | Val  Acc: 0.2095
 Site-MNIST                         | Val  Loss: 2.2500 | Val  Acc: 0.1746
 Site-SynthDigits                   | Val  Loss: 2.3023 | Val  Acc: 0.1892
 Site-SynthDigits                   | Val  Loss: 2.3275 | Val  Acc: 0.1912
 Site-SynthDigits                   | Val  Loss: 2.2905 | Val  Acc: 0.1066
 Site-SVHN                          | Val  Loss: 2.3043 | Val  Acc: 0.0667
 Site-SVHN                          | Val  Loss: 2.2945 | Val  Acc: 0.0988
 Site-MNIST_M                       | Val  Loss: 2.3096 | Val  Acc: 0.1286
Average Valid Accuracy: 0.2196
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2903
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3571
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4118
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3825
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3776
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1667
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1875
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1897
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2095
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1746
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1892
