===2023-06-30 00:57:41===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 1.1561 | Train Acc: 0.7167
 Site-MNIST                         | Train Loss: 1.1391 | Train Acc: 0.7434
 Site-SynthDigits                   | Train Loss: 1.8537 | Train Acc: 0.4636
 Site-SynthDigits                   | Train Loss: 1.8347 | Train Acc: 0.4396
 Site-SynthDigits                   | Train Loss: 1.7631 | Train Acc: 0.4705
 Site-SVHN                          | Train Loss: 2.1280 | Train Acc: 0.2818
 Site-SVHN                          | Train Loss: 2.0920 | Train Acc: 0.3119
 Site-MNIST_M                       | Train Loss: 2.0759 | Train Acc: 0.3121
Average Train Accuracy: 0.6901
 Site-USPS                          | Val  Loss: 2.5295 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.7774 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.3255 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.8298 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.8603 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.7974 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.8317 | Val  Acc: 0.8393
 Site-USPS                          | Val  Loss: 0.8472 | Val  Acc: 0.8333
 Site-USPS                          | Val  Loss: 0.9166 | Val  Acc: 0.8087
 Site-USPS                          | Val  Loss: 0.9014 | Val  Acc: 0.8006
 Site-MNIST                         | Val  Loss: 1.1878 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 1.0942 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 1.1054 | Val  Acc: 0.7812
 Site-MNIST                         | Val  Loss: 1.1651 | Val  Acc: 0.7759
 Site-MNIST                         | Val  Loss: 1.1077 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 1.0510 | Val  Acc: 0.8254
 Site-SynthDigits                   | Val  Loss: 1.8422 | Val  Acc: 0.4865
 Site-SynthDigits                   | Val  Loss: 1.8929 | Val  Acc: 0.4706
 Site-SynthDigits                   | Val  Loss: 1.8434 | Val  Acc: 0.4426
 Site-SVHN                          | Val  Loss: 2.1255 | Val  Acc: 0.2667
 Site-SVHN                          | Val  Loss: 2.1159 | Val  Acc: 0.2840
 Site-MNIST_M                       | Val  Loss: 2.1038 | Val  Acc: 0.3857
Average Valid Accuracy: 0.6499
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:1 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8393
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8087
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8006
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7812
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7759
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8254
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4865
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4706
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4426
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2667
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2840
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.3857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/afl...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 0.3186 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.4345 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.9699 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 0.6662 | Train Acc: 0.8158
 Site-USPS                          | Train Loss: 0.6986 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.5923 | Train Acc: 0.8651
 Site-USPS                          | Train Loss: 0.6661 | Train Acc: 0.8282
 Site-USPS                          | Train Loss: 0.6235 | Train Acc: 0.8582
 Site-USPS                          | Train Loss: 0.6069 | Train Acc: 0.8723
 Site-USPS                          | Train Loss: 0.5850 | Train Acc: 0.8808
 Site-MNIST                         | Train Loss: 0.9326 | Train Acc: 0.7750
 Site-MNIST                         | Train Loss: 0.7366 | Train Acc: 0.8472
 Site-MNIST                         | Train Loss: 1.1349 | Train Acc: 0.6899
 Site-MNIST                         | Train Loss: 0.9095 | Train Acc: 0.7897
 Site-MNIST                         | Train Loss: 0.9895 | Train Acc: 0.7143
 Site-MNIST                         | Train Loss: 0.9641 | Train Acc: 0.7540
 Site-SynthDigits                   | Train Loss: 1.6908 | Train Acc: 0.4636
 Site-SynthDigits                   | Train Loss: 1.6633 | Train Acc: 0.4505
 Site-SynthDigits                   | Train Loss: 1.5775 | Train Acc: 0.5010
 Site-SVHN                          | Train Loss: 2.0797 | Train Acc: 0.2762
 Site-SVHN                          | Train Loss: 2.0088 | Train Acc: 0.3303
 Site-MNIST_M                       | Train Loss: 1.9001 | Train Acc: 0.4149
Average Train Accuracy: 0.7177
 Site-USPS                          | Val  Loss: 2.7415 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.8536 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.1148 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.5764 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.5752 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.5009 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.5370 | Val  Acc: 0.8571
 Site-USPS                          | Val  Loss: 0.5682 | Val  Acc: 0.8627
 Site-USPS                          | Val  Loss: 0.6387 | Val  Acc: 0.8579
 Site-USPS                          | Val  Loss: 0.6403 | Val  Acc: 0.8429
 Site-MNIST                         | Val  Loss: 1.0800 | Val  Acc: 0.7000
 Site-MNIST                         | Val  Loss: 0.9486 | Val  Acc: 0.7222
 Site-MNIST                         | Val  Loss: 0.9068 | Val  Acc: 0.6875
 Site-MNIST                         | Val  Loss: 1.0018 | Val  Acc: 0.7241
 Site-MNIST                         | Val  Loss: 0.9487 | Val  Acc: 0.7905
 Site-MNIST                         | Val  Loss: 0.9147 | Val  Acc: 0.7937
