===2023-06-30 07:31:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 0.8781 | Train Acc: 0.7452
 Site-MNIST                         | Train Loss: 0.8487 | Train Acc: 0.7751
 Site-SynthDigits                   | Train Loss: 1.9055 | Train Acc: 0.3377
 Site-SynthDigits                   | Train Loss: 1.8856 | Train Acc: 0.3553
 Site-SynthDigits                   | Train Loss: 1.8218 | Train Acc: 0.3646
 Site-SVHN                          | Train Loss: 2.2386 | Train Acc: 0.1436
 Site-SVHN                          | Train Loss: 2.1589 | Train Acc: 0.2110
 Site-MNIST_M                       | Train Loss: 2.0680 | Train Acc: 0.3121
Average Train Accuracy: 0.6913
 Site-USPS                          | Val  Loss: 1.8465 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.2388 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.7679 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.4155 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4797 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.4133 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.4459 | Val  Acc: 0.8750
 Site-USPS                          | Val  Loss: 0.4280 | Val  Acc: 0.9118
 Site-USPS                          | Val  Loss: 0.5077 | Val  Acc: 0.8798
 Site-USPS                          | Val  Loss: 0.5141 | Val  Acc: 0.8640
 Site-MNIST                         | Val  Loss: 0.9636 | Val  Acc: 0.7000
 Site-MNIST                         | Val  Loss: 0.8406 | Val  Acc: 0.7222
 Site-MNIST                         | Val  Loss: 0.8228 | Val  Acc: 0.7188
 Site-MNIST                         | Val  Loss: 0.8718 | Val  Acc: 0.7069
 Site-MNIST                         | Val  Loss: 0.8128 | Val  Acc: 0.7810
 Site-MNIST                         | Val  Loss: 0.7709 | Val  Acc: 0.8042
 Site-SynthDigits                   | Val  Loss: 1.9364 | Val  Acc: 0.2973
 Site-SynthDigits                   | Val  Loss: 2.0909 | Val  Acc: 0.4118
 Site-SynthDigits                   | Val  Loss: 1.9311 | Val  Acc: 0.3525
 Site-SVHN                          | Val  Loss: 2.2543 | Val  Acc: 0.1556
 Site-SVHN                          | Val  Loss: 2.2483 | Val  Acc: 0.1358
 Site-MNIST_M                       | Val  Loss: 1.9892 | Val  Acc: 0.3857
Average Valid Accuracy: 0.6191
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:1 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8750
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9118
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8798
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8640
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7222
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7188
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7069
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7810
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8042
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2973
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.4118
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3525
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1556
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1358
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.3857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/term...
============ Train epoch 2 ============
 Site-USPS                          | Train Loss: 0.1539 | Train Acc: 1.0000
